"","state","STATE","STATEA","pop.imm.1880","pop.imm.1910","pop.imm.1970","pop.ami.1880","pop.ami.1910","pop.ami.1970","pop.blk.1880","pop.blk.1910","pop.blk.1970"
"1",1,"Alabama","01",0.00784528807006891,0.0100491145831374,0.00818746470920384,0.000180171186840227,0.000329186214057568,0.000645317415503751,0.478278587035043,0.419438257833691,0.281580221021215
"2",2,"Alaska","02",NA,0.290501600853789,0.0416456759026029,NA,0.467830461960665,0.0537363560033585,NA,0.00153986888245159,0.0324097397145256
"3",4,"Arizona","04",0.400920169907811,0.284486329743165,0.0542373843446671,0.0589026869256629,0.160439105219553,0.050263949594142,0.0451648627497305,0.0731721209610605,0.0306238292558324
"4",5,"Arkansas","05",0.0140688053194522,0.0117584349970607,0.00865636348281395,0.000184717027077438,0.000191277003530973,0.000802297103285195,0.263614329263171,0.271517068922205,0.189595473355291
"5",6,"California","06",0.332894074068784,0.249203680949737,0.0983430958144669,0.0214101831303443,0.0076009417629662,0.0044903232280156,0.0067461919717897,0.0104951626182753,0.0701393505336962
"6",8,"Colorado","08",0.206765876610957,0.167996083666213,0.0398571593134431,0.000519489670604003,0.00189886673614458,0.00264946434742541,0.0168966904270919,0.0145411555708082,0.0374380831701417
"7",9,"Connecticut","09",0.212561358872968,0.293205308435674,0.091914499677638,0.000192863659543418,8.84149845715852e-05,0.00074391231753484,0.0200079080357532,0.0101907111217209,0.0590335752425981
"8",10,"Delaware","10",0.0674662347874006,0.0852252741178481,NA,0,0,NA,0.185944289673473,0.197093496547773,NA
"9",11,"District of Columbia","11",0.0965797174146968,0.0723564726450845,0.048928238583411,0,0.000308346001214883,0.0012648116096392,0.343858475098826,0.298164416254768,0.707895087205432
"10",12,"Florida","12",0.0357993143556989,0.0511785524429125,0.0912413388510996,0.000592441588881088,0,0.000895844234092819,0.474031186913284,0.418035565651089,0.153141797079389
"11",13,"Georgia","13",0.00740482460941621,0.00682535494223872,0.0105344032781287,3.48943257273526e-05,0,0.000443913266177224,0.466894711145154,0.450187668005615,0.26906266006488
"12",15,"Hawaii","15",NA,0.498970401647357,0.110339859865104,NA,0,0.00117870473446402,NA,0.00468519250369199,0.0115905965555628
"13",16,"Idaho","16",0.311136439084443,0.118893007014427,NA,0.00329558874863829,0.0086041596471345,NA,0.00345928401036289,0,NA
"14",17,"Illinois","17",0.189553680818986,0.208292569332061,0.0644066622805499,5.36045902202749e-05,3.56341661097343e-05,0.00124658056026871,0.014056709747785,0.0206056347237844,0.136302701419222
"15",18,"Indiana","18",0.0736722115755601,0.0558770346941013,0.023414810388672,0.000129658895289344,7.50785630260378e-05,0.000833761794255381,0.0197977108106646,0.0245967779402828,0.0870169392604533
"16",19,"Iowa","19",0.162139145777765,0.124874958096772,0.0167986965559863,0.00035446179421543,0.000133556104916334,0.000842743974380583,0.00549858896714895,0.00683584663663435,0.011096128996011
"17",20,"Kansas","20",0.112236488795146,0.0810809368071545,0.0181112156053757,0.000543801819262627,0.00149527100526577,0.00397415283803052,0.0440736248845702,0.0324956019696533,0.038164002062919
"18",21,"Kentucky","21",0.03682453165656,0.017870328269788,0.00497578451535859,2.97490747340987e-05,8.57090084881917e-05,0,0.166310263461078,0.114038407063794,0.0622304783387514
"19",22,"Louisiana","22",0.0583997386215802,0.0323044009779951,0.0168828916878163,0.00141339942933823,0.000940967650930976,0.00118227532827845,0.508948527518104,0.431241771675757,0.289468291375696
"20",23,"Maine","23",0.0940698290455949,0.16058303503492,0.0606510094767202,0.0012456287993849,0.000915159486151022,0.00329625051503914,0.00240550929611666,0.00315860759791553,0.00453234445817882
"21",24,"Maryland","24",0.0913782233310183,0.0853031477748488,0.0446585478649607,2.66319673079136e-05,0,0.00114074302451056,0.225472209253566,0.184630175220965,0.183844612301526
"22",25,"Massachusetts","25",0.248596924030478,0.307459895187123,0.096394730319727,9.04236198686038e-05,0,0.000581495109721454,0.0108249622481387,0.00937089802242172,0.0324207355436503
"23",26,"Michigan","26",0.237573129083289,0.216769791650792,0.0527031830271238,0.00473839768166085,0.00202434243425051,0.00230423218816262,0.0088986670067527,0.00618572703911212,0.117638407138217
"24",27,"Minnesota","27",0.343785530836561,0.258428032858294,0.0288401588969842,0.00306700674364233,0.00464021247643755,0.00511249265190516,0.00227351285351457,0.00362302778923509,0.0115610025473395
"25",28,"Mississippi","28",0.00829431812974253,0.00601140369271941,0.00533753866682841,0.00167774106830801,0.00061023847009887,0.00157700006065385,0.577951172018938,0.570098647822503,0.362649360101898
"26",29,"Missouri","29",0.0973638104388618,0.0714139388193594,0.0189813390751564,3.66439106123382e-05,0.000150367074315279,0.000986875833077002,0.0663689366975684,0.0461299385906824,0.121629242284425
"27",30,"Montana","30",0.291855410684441,0.271557039390431,NA,0.0291084841887215,0.0302118952101451,NA,0.00597311576734771,0.00998357610188202,NA
"28",31,"Nebraska","31",0.212057302044375,0.146189073094537,0.0199325360318921,0.000424145585848415,0.00272166802750068,0.00168659920269856,0.00515270355462953,0.00957739764584168,0.00444648880711438
"29",32,"Nevada","32",0.405562521445294,0.26376574425561,0.049353487525041,0.0425255576735698,0.0753980496572816,0.00546348570387907,0.00708042452807563,0.00134136363026653,0.0954288836277545
"30",33,"New Hampshire","33",0.132995381628245,0.240402168939946,0.061471245681772,0.000229361813833933,0,0.000508026823816297,0.00162033857978118,0.000455259951167142,0.0037593984962406
"31",34,"New Jersey","34",0.196446031620208,0.258928105096335,0.0944181241762548,6.72365901894845e-05,0.000200145524136075,0.000470202685854736,0.0344694550248653,0.0387225771726454,0.10741994086845
