"fipscode","datayear","st","cl.blk","ent.blk","lifelos.blk","grp.inst.blk","cl.white","ent.white","lifelos.white","grp.inst.white","cl.nat.am","ent.nat.am","lifelos.nat.am","grp.inst.nat.am","cl.latino","ent.latino","lifelos.latino","grp.inst.latino","cl.asian","ent.asian","lifelos.asian","grp.inst.asian","cl.unk","ent.unk","lifelos.unk","grp.inst.unk","cl.haw.pi","ent.haw.pi","lifelos.haw.pi","grp.inst.haw.pi"
8,2014,"MO",1724,633,759.420324714372,179,10316,4320,583.669567827131,878,80,44,444.658227848101,9,373,168,511.52602739726,25,23,13,410.608695652174,1,326,176,413.105263157895,13,12,8,345.75,1
8,2014,"MS",2668,1097,719.926573426573,0,2693,1241,526.620506999622,0,11,7,445.727272727273,0,142,64,537.007042253521,14,14,5,776.642857142857,5,67,50,275.194029850746,10,5,1,406.6,0
8,2014,"MT",152,61,557.614285714286,16,1793,753,537.619381202569,154,1467,527,741.22380239521,95,154,47,623.594594594595,18,7,1,428.714285714286,1,24,3,684.913043478261,3,5,0,1059.2,0
8,2014,"NC",4368,1663,642.471580406654,0,6521,2681,575.62382348403,0,464,224,444.429805615551,0,832,334,611.158787878788,0,44,27,543.909090909091,10,39,8,532.102564102564,0,32,10,539.870967741935,0
8,2014,"ND",151,94,361.034013605442,0,1098,466,527.005825242718,233,758,341,656.460770328103,107,84,45,477.101265822785,19,13,6,404.769230769231,2,60,38,271.316666666667,11,14,9,345,4
8,2014,"NE",200,82,595.770833333333,15,1973,730,627.089114194237,197,531,207,638.491631799163,41,515,251,491.724,45,10,3,400.1,1,69,31,391.910447761194,5,5,0,896.2,0
8,2014,"NH",115,31,767.580952380952,0,1119,367,651.827067669173,0,17,3,896.882352941176,8,123,39,624.635593220339,0,12,4,498.272727272727,2,70,32,435.611940298507,0,4,2,517.75,1
8,2014,"NJ",3515,1420,695.091018323821,279,3044,1326,535.000344115623,182,24,15,411.571428571429,0,1593,695,570.898093359632,97,82,48,363.493827160494,6,454,255,368.015945330296,17,9,7,312.375,0
8,2014,"NM",163,78,540.898734177215,6,714,358,456.721098265896,0,362,180,504.731428571429,0,1553,755,483.032697547684,0,1,0,425,0,25,23,51.96,0,2,2,5.5,0
8,2014,"NV",39,13,982.435897435897,3,475,169,694.023605150215,0,48,13,1040.47916666667,6,80,41,566.177215189873,2,4,1,655.5,0,6,5,130.5,0,2,0,548.5,0
8,2014,"NY",3666,1356,807.198405668733,0,5588,2105,732.825181327878,0,99,48,633.010989010989,16,881,338,697.652121212121,0,86,47,675.846153846154,0,565,252,580.670411985019,0,4,2,411,0
8,2014,"OH",1668,768,602.827895073576,253,7902,3524,505.413324450366,905,68,35,517.545454545455,3,371,168,539.561452513967,42,20,10,471.8,1,98,69,215.469387755102,12,14,6,432.153846153846,4
8,2014,"OK",1418,490,737.404379562044,0,4422,1791,578.165740740741,0,3517,1326,619.816290653384,0,787,373,534.422480620155,0,38,14,474.945945945946,2,NA,NA,NA,NA,110,34,669.166666666667,10
8,2014,"OR",262,64,893,15,4598,1668,765.567610781179,199,768,243,996.683139534884,46,919,282,712.037714285714,15,46,15,921.666666666667,3,63,47,142.698412698413,3,43,7,622.365853658537,0
8,2014,"PA",3731,1621,655.452082144894,0,8542,4016,548.376870748299,1531,65,25,526.140625,18,1577,729,559.056,330,64,33,593.916666666667,17,50,31,323.3,7,25,10,550.782608695652,3
8,2014,"PR",646,67,1757.18225806452,116,31,5,1362.29032258065,6,9,2,1757.77777777778,3,3495,673,1582.19231896804,617,3,0,2991.33333333333,0,49,13,846.836734693878,14,7,0,2621.85714285714,1
8,2014,"RI",232,94,688.633802816901,58,597,242,640.030965391621,187,21,8,566.210526315789,4,151,58,565.89928057554,49,12,7,501.083333333333,1,12,5,433,1,NA,NA,NA,NA
8,2014,"SC",2820,1430,597.055514157973,676,3234,1701,469.198339188758,814,17,10,266.75,1,333,180,411.860182370821,80,16,8,765.285714285714,3,89,74,149.629213483146,18,11,4,499.454545454545,0
8,2014,"SD",169,59,689.363057324841,30,642,265,683.646774193548,100,1283,581,690.960980036298,185,70,39,437.058823529412,11,13,4,816.833333333333,1,8,8,2.75,0,2,0,1562,1
8,2014,"TN",2120,894,517.068656716418,395,7987,3267,485.314226429776,1028,34,13,721.969696969697,8,604,242,460.280672268908,72,26,17,304.653846153846,4,23,21,110.347826086957,4,15,6,598,4
8,2014,"TX",4921,1813,711.620116375727,0,10857,4508,583.218419062027,0,225,89,622.582568807339,0,9482,3605,657.380354824751,0,91,41,454.933333333333,0,304,141,381.435215946844,0,34,22,380.264705882353,3
8,2014,"UT",106,37,647.372549019608,10,1817,887,452.536141149687,124,113,45,593.87619047619,11,484,233,469.720085470085,27,11,6,302.636363636364,1,10,5,470.3,0,9,1,431.444444444444,1
8,2014,"VA",2973,1220,694.297520661157,0,3633,1472,590.504215851602,0,23,6,863.304347826087,2,567,238,606.049822064057,65,69,30,528.014492753623,4,100,61,397.824742268041,8,28,13,464.666666666667,2
8,2014,"VT",52,23,586,13,1604,730,562.877524429967,205,2,1,466,1,11,4,437.333333333333,1,11,0,591.3,0,41,30,256.153846153846,0,NA,NA,NA,NA
8,2014,"WA",430,145,779.836185819071,23,3783,1387,681.788367012561,155,1052,341,828.966497461929,0,1366,524,670.748854961832,50,69,33,550.521739130435,3,51,46,147.34,2,44,14,571.809523809524,1
8,2014,"WI",1681,712,643.432311621967,276,4488,2078,580.1732791587,586,627,285,521.833910034602,70,675,296,569.2671875,88,102,55,606.494736842105,7,145,98,292.746376811594,20,22,8,692.619047619048,5
8,2014,"WV",887,402,490.427738927739,0,6983,3315,479.77824456114,0,12,3,1285.5,8,90,35,562.781609195402,0,14,3,824.642857142857,0,75,63,168.213333333333,16,8,4,461.857142857143,5
8,2014,"WY",86,41,530.525,12,1435,740,444.633564280216,0,56,32,476.392156862745,12,290,157,432.511278195489,69,1,1,67,0,10,7,208.7,1,1,1,67,0
1073,2014,"AL",1054,423,798.445564516129,0,330,134,621.596026490066,64,1,0,770,0,72,17,582.47619047619,2,6,2,435.666666666667,0,10,9,47.8,0,NA,NA,NA,NA
2020,2014,"AK",173,45,612.359281437126,11,275,86,722.630188679245,8,664,251,656.080916030534,21,29,12,739.827586206897,2,26,5,513.384615384615,1,61,45,241.229508196721,0,41,23,550.80487804878,1
4013,2014,"AZ",2768,1291,498.804514154552,0,5259,2426,474.979865771812,0,1195,519,513.467076382792,0,5874,2637,491.348375768218,0,103,65,373.29702970297,0,713,468,272.094499294781,0,57,38,327.964912280702,0
4019,2014,"AZ",638,261,554.174358974359,0,1890,798,512.439886039886,0,411,143,587.145888594164,0,2182,964,511.531707317073,0,36,20,527.914285714286,4,389,194,358.910025706941,0,18,6,509.888888888889,3
4021,2014,"AZ",164,85,465.453947368421,0,724,338,463.872434017595,0,133,53,549.604651162791,15,482,252,491.554371002132,0,5,2,308.8,0,82,65,193.170731707317,0,11,7,339.454545454545,2
6001,2014,"CA",1369,397,1165.82276422764,230,267,110,633.228915662651,31,41,7,1057.33333333333,4,501,203,753.197452229299,75,117,45,587.844036697248,14,6,2,268,0,21,11,769.95,4
6013,2014,"CA",728,236,999.490427098675,147,451,170,707.938679245283,68,26,7,1364.36363636364,4,378,140,662.077348066298,75,54,16,819.173076923077,12,8,7,192.5,4,15,1,2270.25,6
6019,2014,"CA",487,203,927.756578947368,34,315,127,824.049668874172,25,435,126,956.885856079404,17,1352,592,761.389489953632,62,98,31,839.747368421053,3,3,3,32.3333333333333,0,NA,NA,NA,NA
6029,2014,"CA",381,185,777.585714285714,47,721,269,825.127436281859,80,30,11,1124.48148148148,3,1229,482,789.817785527463,107,35,17,617.787878787879,3,5,0,2204.6,0,8,3,582.25,0
6037,2014,"CA",8727,2931,1127.37579143389,1002,2637,1041,728.327330932373,244,227,73,1041.29383886256,18,17688,7012,707.503233461881,1472,535,190,683.497076023392,37,51,38,194.745098039216,19,131,41,735.883720930233,7
6059,2014,"CA",230,84,922.418604651163,33,828,260,822.041719342604,81,12,3,750.818181818182,1,2045,653,853.452820768847,175,153,55,737.377483443709,9,7,3,280.333333333333,2,26,6,825.384615384615,2
6065,2014,"CA",1344,557,718.614457831325,157,1652,772,545.281547241598,126,185,73,738.247126436782,10,3488,1599,585.753183747726,237,120,57,597.094017094017,3,4,4,40.25,0,49,31,398.448979591837,1
6067,2014,"CA",1664,688,840.915775401069,319,1112,542,586.238048780488,156,134,60,617.27731092437,14,777,357,677.725874125874,96,199,88,513.308571428571,27,37,34,231.405405405405,11,31,12,673.142857142857,3
6071,2014,"CA",1633,577,731.869250985545,230,1675,636,704.0625,162,84,30,753.722891566265,6,2950,1166,661.225396825397,229,63,32,589.806451612903,7,53,19,1098.03921568627,4,26,14,683.708333333333,6
6073,2014,"CA",1190,377,994.597285067873,197,1047,371,672.639227642276,150,151,53,893.160305343511,17,2255,831,766.531651376147,288,178,72,770.224137931035,25,13,9,312.615384615385,5,52,20,694.448979591837,3
6075,2014,"CA",781,216,1721.51230101302,109,113,56,843.166666666667,9,26,16,797.045454545455,0,233,87,936.073059360731,26,97,30,1047.73626373626,9,2,2,175,0,32,6,791.866666666667,3
6077,2014,"CA",617,210,990.274442538593,107,427,112,987.759305210918,65,72,31,970.469696969697,7,767,225,927.371546961326,76,118,51,764.551724137931,8,8,2,1218,2,7,2,783.142857142857,3
6085,2014,"CA",281,124,915.432,46,243,102,785.5,36,85,34,783.657142857143,13,1175,481,727.886111111111,166,138,70,591.221374045802,18,NA,NA,NA,NA,23,10,762.608695652174,2
6099,2014,"CA",115,42,824.267326732673,21,422,137,605.674757281553,44,5,3,471.8,1,418,141,640.105911330049,54,33,15,725.909090909091,1,1,0,600,0,10,5,408,0
6107,2014,"CA",78,31,829.253521126761,5,373,147,707.156862745098,15,35,12,1028.94117647059,2,1020,461,572.951695786228,41,18,7,526.333333333333,4,6,3,1032.2,2,1,0,5386,0
6111,2014,"CA",95,26,885.443181818182,20,321,137,600.530546623794,40,10,0,1735.77777777778,2,850,352,612.575210589651,78,26,13,661.95652173913,4,4,3,177.75,0,3,2,325.333333333333,0
8001,2014,"CO",176,71,580.895061728395,0,406,179,658.664864864865,0,25,14,796.565217391304,3,486,258,494.013363028953,0,16,2,839.875,2,4,3,243.75,0,1,1,322,0
8031,2014,"CO",580,221,846.974736842105,0,330,155,749.694630872483,0,52,17,620.31914893617,7,745,329,574.951923076923,0,22,8,918.35,0,10,5,478.1,0,5,3,901.4,1
8041,2014,"CO",345,170,504.247588424437,0,673,306,554.122413793103,0,25,18,240.652173913043,5,347,189,471.732087227414,0,44,17,705.853658536585,10,5,3,453.4,1,8,2,711.625,4
8059,2014,"CO",117,56,537.474226804124,0,575,249,631.898039215686,0,28,15,612.37037037037,0,296,133,603.018656716418,0,10,8,228.6,1,13,3,585.090909090909,9,4,1,1262,2
9003,2014,"CT",548,135,1261.56479690522,0,274,88,1097.55056179775,0,5,1,1300,0,539,165,1092.53846153846,0,9,2,675.888888888889,1,24,12,363.625,5,NA,NA,NA,NA
9009,2014,"CT",630,183,1180.67445742905,0,433,143,1035.00235294118,0,4,0,2915.25,2,492,184,835.561181434599,0,5,3,544.2,2,21,12,318.238095238095,0,2,0,1695.5,0
11001,2014,"DC",1463,346,1374.03826714801,0,3,2,1184.66666666667,1,NA,NA,NA,NA,50,22,1022.375,0,5,4,289,0,10,8,138.1,0,NA,NA,NA,NA
12011,2014,"FL",1710,847,535.547440699126,277,608,281,475.10553633218,65,37,16,345.833333333333,0,398,184,465.234210526316,37,24,14,397.583333333333,8,6,4,250.5,2,4,3,268.25,0
12031,2014,"FL",773,426,460.918620689655,66,482,266,445.373931623932,32,NA,NA,NA,NA,63,32,315.301587301587,2,9,5,393.375,0,6,3,204,0,1,1,106,0
12057,2014,"FL",1363,648,619.297721916732,182,1122,451,603.41610738255,110,5,3,411.6,0,492,234,526.091489361702,42,12,5,350.416666666667,0,13,10,516.384615384615,0,NA,NA,NA,NA
12071,2014,"FL",280,134,606.841509433962,24,558,271,455.095327102804,42,5,0,431.6,0,238,142,427.718061674009,12,NA,NA,NA,NA,1,1,446,0,3,2,215.333333333333,0
12086,2014,"FL",2089,1010,595.261714855434,336,167,102,359.456790123457,25,2,0,829,0,1248,678,461.067937033969,172,9,7,256.777777777778,1,27,15,301.074074074074,2,NA,NA,NA,NA
12095,2014,"FL",725,356,541.380882352941,90,448,221,437.689252336449,39,NA,NA,NA,NA,257,131,439.638888888889,22,6,2,569.5,1,2,1,236.5,0,NA,NA,NA,NA
12099,2014,"FL",1043,528,491.956032719836,207,595,302,457.925925925926,76,2,0,1100,0,356,164,429.333333333333,63,12,6,456.166666666667,2,NA,NA,NA,NA,NA,NA,NA,NA
12101,2014,"FL",156,99,352.41059602649,11,1010,482,469.497942386831,73,4,1,1061.75,2,95,40,461.641304347826,9,9,2,583.888888888889,0,3,0,516.5,0,1,0,501,0
12103,2014,"FL",650,261,628.801652892562,64,1029,448,563.429606625259,123,6,2,953.333333333333,0,105,39,544.735294117647,11,9,3,719.777777777778,1,3,2,334,0,1,0,641,0
12105,2014,"FL",389,158,656.316091954023,60,920,458,467.53781512605,116,8,4,801.333333333333,1,226,108,432.097674418605,31,2,1,331,1,6,1,496,0,5,3,309.2,0
13089,2014,"GA",1004,562,446.310699588477,195,65,45,362.03125,7,2,1,481.5,0,34,24,413.294117647059,5,9,6,398.777777777778,1,3,3,93,0,NA,NA,NA,NA
13121,2014,"GA",1107,632,523.784541062802,0,76,50,348.602739726027,15,1,0,0,0,37,28,238.806451612903,7,NA,NA,NA,NA,4,3,43.25,0,NA,NA,NA,NA
15003,2014,"HI",137,70,415.3359375,0,118,74,378.771929824561,15,69,32,545.4375,7,16,11,295.6875,1,559,269,538.125725338491,0,25,20,187.291666666667,4,327,146,600.581939799331,0
17031,2014,"IL",6062,1109,1730.85836762689,0,987,172,1365.6635610766,0,7,1,1596.71428571429,0,852,212,1262.04290822408,0,32,8,1076.84375,0,100,33,725.7,8,1,0,1149,0
17143,2014,"IL",812,174,1158.83228247163,55,671,129,1054.76399394856,0,5,0,2252,0,25,7,1415.33333333333,1,3,0,1456.33333333333,0,12,9,204.916666666667,0,1,0,938,0
17163,2014,"IL",543,95,1290.52551984877,0,610,124,1087.3631840796,31,2,1,1039,0,21,1,1280.1,2,NA,NA,NA,NA,10,2,1099.2,0,1,0,2392,0
17201,2014,"IL",801,202,1009.44962216625,0,731,183,831.209431345354,33,7,1,718.714285714286,0,89,29,716.720930232558,2,14,5,428.571428571429,0,36,14,713.114285714286,0,1,0,1253,0
18003,2014,"IN",503,155,820.596916299559,0,627,247,691.959252971138,0,6,0,871.666666666667,0,85,33,610.25641025641,0,16,10,460.9375,3,3,1,726.333333333333,2,4,2,418,0
18089,2014,"IN",1666,518,905.2065351418,0,610,207,748.464163822526,0,11,5,726.727272727273,1,340,150,672.295950155763,0,9,2,887.444444444444,1,4,0,668,1,1,1,131,0
18097,2014,"IN",2207,983,612.738760056791,0,1819,763,552.989173789174,0,26,6,711.333333333333,1,343,196,476.131343283582,0,11,7,218.222222222222,2,8,4,450.875,0,11,2,810.909090909091,0
18163,2014,"IN",258,139,501.376033057851,26,706,364,405.723823975721,39,5,1,1658.6,1,36,25,277.424242424242,4,1,1,431,0,1,1,78,1,NA,NA,NA,NA
19153,2014,"IA",446,133,673.15935334873,95,907,330,597.484126984127,103,9,2,695.666666666667,2,158,57,582.331210191083,15,34,9,594.606060606061,3,355,143,435.216524216524,28,23,13,340.318181818182,9
20091,2014,"KS",208,76,623.05,13,674,279,557.571860816944,0,14,1,813,0,136,64,569.718518518519,3,5,1,498.8,0,NA,NA,NA,NA,NA,NA,NA,NA
20173,2014,"KS",471,124,881.184713375796,48,820,307,670.148194271482,40,46,14,779.478260869565,2,222,73,681.683257918552,14,13,1,563.230769230769,0,NA,NA,NA,NA,4,4,253.75,0
21067,2014,"KY",431,180,627.526184538653,70,519,215,654.568507157464,73,NA,NA,NA,NA,120,44,564.623931623932,12,1,1,36,0,13,5,725.846153846154,1,1,0,161,0
21111,2014,"KY",731,340,516.222381635581,144,654,239,562.754045307443,94,2,0,737,0,71,42,390.632352941176,7,1,0,677,0,58,26,469.929824561404,10,1,1,172,0
24510,2014,"MD",2314,758,1237.9286740067,0,302,98,922.949275362319,0,1,0,601,0,39,17,656.972972972973,1,2,2,152.5,0,61,30,432.576271186441,1,NA,NA,NA,NA
25005,2014,"MA",424,179,817.1025,0,1075,428,727.192195121951,135,36,12,635.083333333333,1,299,112,690.473684210526,36,13,3,551.769230769231,0,171,99,416.650602409639,8,1,0,2165,0
25009,2014,"MA",262,111,768.844537815126,55,661,292,727.216693418941,0,19,12,438.722222222222,2,491,253,587.337899543379,74,15,7,579.428571428571,1,78,44,468.226666666667,6,2,0,1625.5,1
25013,2014,"MA",331,155,741.37074829932,0,650,291,578.880258899676,84,25,3,1045.12,1,894,432,647.091130012151,0,8,7,185.625,0,112,59,474.836363636364,10,NA,NA,NA,NA
25017,2014,"MA",347,190,587.180379746835,0,876,381,635.406674907293,208,28,7,1310.92307692308,0,442,212,626.892230576441,0,105,47,742.952380952381,13,118,69,440.263157894737,19,2,0,428,0
25025,2014,"MA",990,436,665.421281216069,0,342,136,744.366153846154,41,12,6,481.75,1,382,169,588.943820224719,61,37,19,590.621621621622,5,81,53,451.727272727273,8,NA,NA,NA,NA
25027,2014,"MA",422,194,645.83631713555,0,1395,587,649.006777108434,162,26,7,664.652173913043,1,694,287,680.238828967643,92,27,15,480.884615384615,4,116,65,484.982142857143,11,15,11,461,1
26081,2014,"MI",773,298,570.155963302752,0,486,169,589.654736842105,0,26,10,800.807692307692,2,235,129,415.148936170213,0,36,22,322.861111111111,2,56,51,147.375,6,NA,NA,NA,NA
26125,2014,"MI",538,185,743.236842105263,0,409,139,642.181141439206,0,7,1,685.428571428571,0,63,28,564.190476190476,0,13,5,614.692307692308,1,6,5,238,2,NA,NA,NA,NA
26163,2014,"MI",3908,1281,925.884005201561,0,1066,404,661.001899335233,0,26,13,591.115384615385,8,131,49,711.283464566929,0,9,7,771,2,74,67,297.013698630137,0,26,7,798.769230769231,0
27053,2014,"MN",1301,737,452.461821527139,362,289,159,453.287878787879,95,454,242,608.392764857881,68,86,41,428.865853658537,24,60,35,446.220338983051,11,21,15,159.25,11,1,0,483,0
27123,2014,"MN",701,405,510.119922630561,262,267,120,499.455399061033,81,140,79,477.121739130435,26,97,51,402.8,23,131,76,365.579831932773,43,9,7,142.555555555556,2,1,1,7,1
28047,2014,"MS",488,242,449.050209205021,0,587,303,429.361591695502,0,8,3,384.125,0,43,22,428.595238095238,0,8,6,179,0,32,13,336.65625,3,NA,NA,NA,NA
29077,2014,"MO",118,30,905.422413793103,17,933,324,644.401982378855,91,1,0,481,0,51,18,777.588235294118,6,4,1,1312,0,24,13,405.958333333333,3,2,0,499.5,0
29095,2014,"MO",1205,391,674.065825067628,103,1133,422,546.721554116559,90,10,2,631.777777777778,0,122,45,506.591304347826,3,9,1,778.333333333333,1,112,57,448.663636363636,14,8,5,56.875,0
29189,2014,"MO",711,235,730.979472140762,53,378,162,619.713114754098,16,NA,NA,NA,NA,19,13,393.210526315789,4,2,0,1129.5,0,64,40,373.269841269841,0,NA,NA,NA,NA
31055,2014,"NE",934,279,855.752821670429,93,801,281,737.073011734029,55,178,39,833.210843373494,16,284,84,714.125448028674,24,13,6,697.230769230769,0,67,45,406.522388059701,7,4,1,565,0
31109,2014,"NE",326,57,884.376205787781,58,670,170,767.440060698027,95,93,22,1031.97777777778,10,83,13,859.5375,20,18,4,850.777777777778,5,47,12,833.468085106383,7,3,0,756.666666666667,1
32003,2014,"NV",2165,947,583.11013215859,143,1791,715,535.271873165003,90,69,24,688.666666666667,2,1335,589,484.140224358974,0,107,32,601.660194174757,8,13,11,142.692307692308,5,75,26,480.594202898551,0
32031,2014,"NV",254,115,634.07949790795,44,871,408,517.586040914561,131,84,39,587.884615384615,15,331,177,472.259615384615,68,21,11,406.7,4,NA,NA,NA,NA,23,7,753.2,7
34007,2014,"NJ",680,349,463.278846153846,62,372,192,476.334277620397,21,NA,NA,NA,NA,248,127,425.62389380531,26,9,5,256,0,55,27,279.283018867925,2,1,1,286,1
34013,2014,"NJ",1443,458,731.383009359251,103,87,29,527.439024390244,3,NA,NA,NA,NA,220,94,578.544600938967,9,6,4,792.666666666667,0,5,4,172.2,0,NA,NA,NA,NA
35001,2014,"NM",138,60,561.091603053435,0,308,181,465.986842105263,21,161,100,467.320512820513,22,717,361,498.677697841727,0,10,6,307.7,1,17,16,121.117647058824,0,3,0,1010,0
36029,2014,"NY",767,307,853.296089385475,0,430,197,597.971223021583,0,22,8,746.235294117647,0,119,49,832.828828828829,0,11,6,372,0,123,47,665.265486725664,0,NA,NA,NA,NA
36061,2014,"NY",6144,924,1730.60244755245,0,411,105,1520.02842377261,0,18,1,1916.11764705882,0,2582,264,1754.36374795417,0,82,18,1492.0253164557,0,9460,3121,765.734268800702,0,1,0,1012,0
36103,2014,"NY",483,194,846.201793721973,0,405,163,625.066326530612,0,4,2,485.75,2,177,89,613.684210526316,0,14,8,818.538461538462,3,134,40,613.298387096774,0,NA,NA,NA,NA
37051,2014,"NC",600,217,716.145484949833,0,291,127,588.780068728522,0,30,18,504.233333333333,8,46,17,754.869565217391,0,5,0,690.4,0,25,13,461.88,2,6,1,626.5,0
37119,2014,"NC",755,321,666.130201342282,63,121,53,593.666666666667,3,13,3,599.615384615385,3,95,48,590.021505376344,4,28,18,274.785714285714,0,31,16,372.870967741935,2,NA,NA,NA,NA
39035,2014,"OH",1806,701,834.727488151659,341,564,224,673.448789571695,72,10,5,850,2,111,47,541.339449541284,20,4,1,747,0,3,1,493.333333333333,1,NA,NA,NA,NA
39049,2014,"OH",2060,1122,440.276123759486,451,1437,713,456.347049689441,227,22,12,572.5625,3,169,86,388.206451612903,18,28,20,222.48,4,20,17,174.25,1,6,4,532.166666666667,2
39061,2014,"OH",1324,496,732.803984063745,233,719,281,632.089361702128,64,7,3,634.428571428571,0,48,12,592.229166666667,1,1,1,40,0,33,18,245.121212121212,10,1,0,1208,0
39095,2014,"OH",566,285,473.097014925373,42,336,148,426.412844036697,13,14,4,545.785714285714,0,74,42,381.242857142857,3,4,4,309.5,0,11,9,77.5454545454545,3,NA,NA,NA,NA
39113,2014,"OH",573,214,734.533707865169,140,498,177,678.897703549061,74,NA,NA,NA,NA,26,10,543.375,1,11,0,1360.7,0,5,4,260.6,0,1,1,160,0
39153,2014,"OH",561,328,396.106157112527,33,629,336,392.371024734982,43,5,2,660,1,20,8,275.125,4,7,5,585.833333333333,1,3,2,16.6666666666667,2,1,1,0,0
