"","state","year","pop","whtpop","blkpop","child","blkchild","whtchild","adult","blkadult","whtadult","pov","childpov","blkpov","whtpov","blkchildpov","whtchildpov","unemp","whtunemp","blkunemp","emp","whtemp","blkemp","LessHS","wLessHS","bLessHS","kidskincare","wkidskincare","bkidskincare","kids2par","wkids2par","bkids2par","avgrent"
"25",25,2000,6128018,5041858,318171,1480047,108910,1115137,4647971,209261,3926721,559761,179407,67684,323307,32232,77659,131158,97865,11538,3135008,2684238,134551,0.113274805266302,0.0942049709152217,0.145609468257509,73976,42039,10539,996043,836785,38968,763.555111395374
"26",26,2000,9684085,7627373,1334452,2578919,437463,1874392,7105166,896989,5752981,1009271,361760,338069,552861,153373,158751,264090,170133,71400,4606402,3812435,497234,0.127499158335597,0.111901057908797,0.189892062230374,170853,73181,73636,1597518,1341400,107277,586.607660961695
"27",27,2000,4784168,4219945,154844,1275494,60008,1045333,3508674,94836,3174612,369309,131781,40964,248389,20130,70589,97856,75456,7930,2554891,2331446,60935,0.0888599089809153,0.07756290625909,0.144338221886478,43180,21977,4728,899781,793214,19031,591.678081261041
"28",28,2000,2750354,1675781,992172,770706,344316,399411,1979648,647856,1276370,562740,212252,354198,186147,154092,48883,82513,32081,48815,1163489,791544,338162,0.21740783954185,0.16628421096377,0.319256308615271,96470,25081,68092,389190,270354,105543,453.173183473168
"29",29,2000,5429676,4547843,600517,1414349,199917,1117224,4015327,400600,3430619,638352,223438,153510,430990,67278,133753,124520,86279,30033,2650692,2295210,234865,0.148028080760327,0.139803148670398,0.18142955421437,89664,49712,28544,847216,753042,45558,513.059245812361
"30",30,2000,877609,793804,1606,227421,460,196612,650188,1146,597192,133956,48097,642,106071,184,35912,28181,22779,69,417539,386843,711,0.0994088805552626,0.0943252215381881,0,11340,4729,138,153438,140631,92,488.724396782842
"31",31,2000,1660002,1456084,61298,445220,21462,365263,1214782,39836,1090821,155663,54393,15305,108409,7049,30244,26060,18392,2734,885211,805536,24945,0.0962009120912673,0.0796100209376111,0.159631128830995,14987,9214,1939,314924,275258,5543,512.615008156607
"32",32,2000,1963663,1288593,129026,507281,40775,279503,1456382,88251,1009090,199506,71666,25466,93287,11509,26171,62138,34968,6952,935329,657293,52538,0.1343309169279,0.0799386605194894,0.137595665424992,42226,18143,4879,297982,173078,14285,750.844681797953
"33",33,2000,1200980,1138935,7221,310153,1753,287588,890827,5468,851347,77939,21738,1295,67929,293,17906,21479,20875,156,635584,609157,3828,0.0990304074948033,0.0975160066630638,0.13774770420493,11362,10912,52,219402,208865,328,720.265742574257
"34",34,2000,8220386,5458758,1051795,2074100,324008,1241047,6146286,727787,4217711,686272,236327,197822,243234,84047,58350,221807,107085,54669,3932376,2731757,442186,0.131201843331226,0.0983581599567861,0.174746294041851,152458,48752,58181,1405682,989894,105934,823.511712491881
"35",35,2000,1781201,800730,28549,503334,8730,165292,1277867,19819,635438,341563,136399,6576,80965,2945,24251,50531,14962,1100,774561,403214,11819,0.172999280104891,0.0616376703562538,0.126190763294345,48851,7862,1176,283014,102802,2014,539.169409977209
