"","state","year","pop","whtpop","blkpop","child","blkchild","whtchild","adult","blkadult","whtadult","pov","childpov","blkpov","whtpov","blkchildpov","whtchildpov","unemp","whtunemp","blkunemp","emp","whtemp","blkemp","LessHS","wLessHS","bLessHS","kidskincare","wkidskincare","bkidskincare","kids2par","wkids2par","bkids2par","avgrent"
"112",1,2002,4370221,3057240,1118871,1103708,346949,693876,3266513,771922,2363364,748582,277460,361550,335660,161451,94670,162743,87987,68419,1947679,1432354,432432,0.184772462976623,0.169609012417413,0.222791725541717,123588,52640,65654,661755,528703,94326,571.147997032641
"212",2,2002,624252,422341,18711,190789,6074,112354,433463,12637,309987,51719,22702,1468,27774,732,11233,31163,15528,1269,302613,224354,9007,0.0814837547534859,0.0451300674315252,0.0649362645483096,11781,3642,427,130354,80831,3031,924.018039980497
"410",4,2002,5349497,3306205,147334,1478982,44413,712125,3870515,102921,2594080,811095,333725,32079,308043,14505,88967,201263,116513,6582,2342720,1525207,66367,0.144049692647118,0.0744775757089756,0.0978116238178967,135989,35722,8005,929656,504802,16073,751.628964059197
"57",5,2002,2638797,2056042,420151,676874,144448,476061,1961923,275703,1579981,414113,155225,146479,229657,65138,72005,96007,61191,29909,1207725,972303,160314,0.172009458468053,0.148383027389447,0.262136275902254,75727,43233,24883,430363,345585,51875,563.74178154825
"62",6,2002,34325414,15509528,2076511,9422263,626664,3239473,24903151,1449847,12270055,4636502,1859025,395520,1169286,175892,284410,1369963,529604,124176,15608390,7637351,873046,0.1709739769859,0.0576943832807286,0.103677192787004,898000,211587,74624,6164187,2346216,207131,993.061383761069
"82",8,2002,4403659,3222390,162804,1143301,49997,742658,3260358,112807,2479732,434559,149831,32868,210296,14822,46690,166909,108429,12211,2228701,1712358,72894,0.101298664082831,0.0473463994714821,0.0765236619217784,62683,30054,4626,808010,566082,14782,865.689675343668
"92",9,2002,3350345,2570666,309396,866966,106277,600100,2483379,203119,1970566,248165,89918,60816,111801,30096,24498,107822,69104,16828,1645975,1311017,129962,0.113702291705065,0.0833133043459261,0.207585906178462,49866,21021,13261,609644,485835,38725,853.899958660604
"102",10,2002,782221,563744,147167,189158,44553,120487,593063,102614,443257,66180,23578,24098,34300,9707,9976,26111,14272,10316,398756,297578,67568,0.127039119727699,0.111257603375182,0.164850443855542,14641,6628,6326,116339,87773,14829,765.418734491315
"122",12,2002,16342243,10410339,2473414,3888522,858664,2099540,12453721,1614750,8310799,2166679,760182,663379,917766,310707,256410,557369,286444,132278,7359873,4749057,1022184,0.13553727233822,0.0933550351480735,0.223134145810729,372108,137270,138311,2347180,1430395,318889,804.808680403332
"132",13,2002,8328862,5179613,2357709,2260370,769688,1243291,6068492,1588021,3936322,1076216,416021,535282,404273,233575,122432,282336,129379,126861,4038069,2603456,1044107,0.161945194666741,0.134896175151813,0.197903687379463,239121,84255,132577,1376597,938661,273298,722.158298338506
"152",15,2002,1208537,278933,21163,293149,5292,51672,915388,15871,227261,124886,42210,2134,24019,346,5274,37363,8932,557,581975,145654,11155,0.113116352423085,0.0472796458955628,0.0327568667344863,51038,3160,418,189062,36685,3252,991.508146639511
"162",16,2002,1308320,1146296,4039,362915,897,306344,945405,3142,839952,185343,59934,1222,135426,323,40128,44764,36434,0,613049,542839,1767,0.116190726031233,0.0843873874891301,0.0237683664649957,17082,10991,0,278022,236508,377,609.970507544582
"172",17,2002,12307000,8198731,1767571,3259730,580730,1891778,9047270,1186841,6306953,1468007,558151,479299,623039,230189,169150,561585,290132,154991,5866488,4189685,652070,0.13299388119698,0.0890966235460908,0.183541807014669,244460,80835,109208,2184357,1481270,146418,775.023414412366
"182",18,2002,5985228,5117030,483494,1583951,161402,1286239,4401277,322092,3830791,677755,254034,119683,473585,62765,161125,213044,163905,35140,2882074,2522191,201169,0.148810637279992,0.139296282323423,0.158247191011236,91160,62062,20030,1035143,924080,28550,622.412054120541
"192",19,2002,2838815,2612670,61451,692983,26106,612578,2145832,35345,2000092,331015,104205,24815,263788,12322,75667,85988,72616,4240,1460298,1370091,18782,0.0999869703572902,0.0901567555214763,0.182705237389236,36677,26911,3697,482050,447389,8357,538.393343898574
"202",20,2002,2634122,2164415,155623,693822,53513,525404,1940300,102110,1639011,331334,122220,41320,205693,19846,61930,90252,63925,9390,1327685,1130499,67450,0.101221969963699,0.0820712192603477,0.106525911708253,35333,21570,3473,489016,397901,21866,604.341176470588
"213",21,2002,3978103,3545467,265504,928268,79429,795927,3049835,186075,2749540,634538,199683,70544,517213,29596,151653,142096,119300,16133,1808022,1625483,111579,0.212860158456013,0.214632049980844,0.177223728417803,66100,53818,8516,609008,551462,26563,521.671525508922
"222",22,2002,4348960,2717852,1403317,1176052,472843,640046,3172908,930474,2077806,839638,335871,479433,317502,227947,92286,169976,75157,87625,1917333,1293989,522477,0.194664868318949,0.163527683181833,0.262292264225939,141943,43802,88697,627803,455119,134207,550.259259259259
"232",23,2002,1259547,1215365,5262,278009,1953,262192,981538,3309,953173,142175,45319,2320,130264,1235,38948,46704,44505,447,639801,623777,1067,0.111856728039134,0.110545032244026,0.394182931496364,11684,10178,0,186706,178861,705,615.738636363636
"242",24,2002,5329992,3296163,1440987,1379758,426524,770880,3950234,1014463,2525283,443627,164562,205969,197549,90715,60293,180115,68963,90198,2703390,1736355,671563,0.118795147081489,0.0938517296660972,0.161307312713933,126901,35626,75732,884513,598681,156872,830.028054718294
"252",25,2002,6211595,5038297,358193,1453826,109221,1079740,4757769,248972,3958557,555370,185850,81722,308987,34232,75303,228442,153093,24820,3139625,2632247,156012,0.103906038502747,0.0848157208240503,0.141690629005391,89379,54121,13728,1006857,830869,39606,947.341911069063
"262",26,2002,9797198,7699798,1361231,2562669,442457,1848727,7234529,918774,5851071,1108992,423662,330709,660036,161071,208772,426333,296013,92198,4490273,3679408,512085,0.118534332398454,0.10372940649883,0.184384375796211,195069,92547,76233,1705268,1405317,121783,674.598789305532
"272",27,2002,4882303,4268428,178943,1248107,70622,1011802,3634196,108321,3256626,425221,154328,58551,284591,31867,83606,159855,125652,12820,2613656,2351689,70964,0.0902146009764097,0.0747442986223001,0.16548414264124,40419,25874,1799,912817,786608,18696,746.531088082902
"282",28,2002,2774882,1674205,1026214,754237,345287,386487,2020645,680927,1287718,562437,224282,365571,181425,163647,55001,131738,55623,71957,1209374,804703,372140,0.209065716338581,0.157471161263702,0.310454069350778,108517,30087,76334,387916,277398,98807,548.886545039909
"292",29,2002,5506873,4604132,605874,1383534,193467,1089056,4123339,412407,3515076,668375,243301,142788,477489,68263,153496,169591,122885,33288,2688878,2303578,250693,0.131912372412725,0.126902505401684,0.142151575696495,94781,53039,30672,920232,811517,51043,618.001764112903
"302",30,2002,887655,792109,3571,214570,779,179025,673085,2792,613084,133076,45327,475,104570,21,33220,27344,21842,0,430912,396880,1500,0.0880126805261865,0.0813538074658555,0.113110539845758,14973,10439,0,150151,129626,0,532.260944700461
"312",31,2002,1678166,1456339,60256,435891,18834,357958,1242275,41422,1098381,190940,60371,16729,132807,5813,37275,47664,31018,6669,876134,780317,24257,0.0848636883111956,0.0681509586996379,0.130018843310625,18456,10111,2510,316521,273322,9382,588.402239448751
"322",32,2002,2139794,1369855,135557,567917,41493,303360,1571877,94064,1066495,253063,96021,30963,121905,14908,34916,84345,44760,7653,1003318,675866,60942,0.136764394826581,0.0744954120713687,0.0645041444072921,46433,26198,4495,369469,199842,14534,867.079861111111
"332",33,2002,1238917,1174671,10527,306948,3031,284930,931969,7496,889741,80810,25499,621,72241,73,21790,35027,32122,726,664403,634183,5763,0.0861026126651127,0.0838908674637497,0.0986196319018405,12725,11966,124,224909,211865,2403,824.187281213536
"342",34,2002,8395357,5459103,1095576,2119972,338896,1239029,6275385,756680,4220074,639174,237735,182827,251697,89840,69104,324907,172663,66187,4054068,2695585,483815,0.115095372558059,0.0872373264554457,0.138169965678762,168257,65490,48907,1489838,1012115,116587,936.321342925659
"352",35,2002,1823047,803145,28305,500734,6913,165501,1322313,21392,637644,348256,137375,5100,77535,902,20023,70372,19852,2191,790046,387954,11933,0.169246437996581,0.0641309379285047,0.22742019884877,49256,14268,2262,282393,115991,2719,580.281068524971
"362",36,2002,18529790,11285199,2948889,4547564,860761,2443046,13982226,2088128,8842153,2468141,905487,659212,876047,282045,249707,727116,349208,179775,8616582,5531071,1231773,0.141282734801929,0.0950983848960102,0.166951029813051,414642,115550,151819,2820179,1901012,275368,872.074017799001
"372",37,2002,8063874,5604027,1709320,2061507,524322,1276715,6002367,1184998,4327312,1183008,448509,492977,540341,229380,152043,346373,191764,115300,3792772,2747280,710093,0.180015556519355,0.157525234729186,0.206730313439851,180307,76661,83384,1274203,936665,177779,661.869824561404
"382",38,2002,610245,557401,5098,146712,1865,125974,463533,3233,431427,78483,21050,1776,60028,1078,11742,14069,11510,0,312849,292393,2341,0.11592614364153,0.111914475072125,0.14630021141649,5186,2122,131,109541,99996,386,503.421184738956
"392",39,2002,11106524,9318585,1248109,2851406,415558,2241311,8255118,832551,7077274,1341125,504613,347471,888605,168215,284456,430092,319097,87816,5218968,4499926,488049,0.129575593857142,0.120268616394172,0.185103809253542,199254,132686,50590,1801357,1575936,106129,631.503665051559
"402",40,2002,3379515,2487765,243227,868372,84194,562837,2511143,159033,1924928,525045,201519,71992,317650,34257,111121,107688,67152,15754,1556223,1180318,101871,0.14424905522942,0.126768185911774,0.168687164031398,66794,39351,8082,551892,388008,31856,588.827179890024
"412",41,2002,3434797,2841806,59882,852079,21594,641541,2582718,38288,2200265,445895,146884,11006,332925,3868,100090,154127,124736,4180,1619624,1364160,22443,0.103365507265317,0.0800289412265275,0.150378006872852,57218,42158,2220,576223,458001,6001,771.491588785047
"422",42,2002,11913892,9992869,1167340,2850624,366186,2214739,9063268,801154,7778130,1282711,467188,298347,791240,134322,238555,423835,314519,75491,5618635,4870975,455928,0.12889452950565,0.118027010900602,0.173334970392406,210360,116383,71323,1874018,1653363,89358,662.798694650627
"442",44,2002,1030762,841520,46345,238203,16383,172700,792559,29962,668820,107170,36726,10249,58753,5579,14685,33068,25500,1743,513187,436514,19763,0.158598357103143,0.131049025668821,0.217880822317668,13276,9288,1242,151408,122510,5623,715.172789664917
"452",45,2002,3971899,2610561,1173991,972107,351465,564498,2999792,822526,2046063,586801,207758,314512,243066,134609,61968,159803,76904,76706,1892541,1309701,490775,0.173083225612067,0.142756904028618,0.243988740260994,98610,33630,57838,571693,422893,112021,643.083089770355
"462",46,2002,731963,685807,4830,193250,1814,174442,538713,3016,511365,85125,29558,449,71395,66,22813,14267,12667,158,380868,362811,2691,0.107209122325059,0.10261322566395,0.0905624404194471,5757,4725,0,139945,131349,1052,558.807846277022
"472",47,2002,5656036,4462206,909120,1393525,290457,1013918,4262511,618663,3448288,828902,284730,255023,510062,109899,149320,187865,122562,49887,2694888,2189945,375590,0.182690745617633,0.176801206703748,0.201037552133841,111166,61862,42508,889620,744986,86725,603.800348953141
"482",48,2002,21288789,10819612,2313580,6107240,742293,2532353,15181549,1571287,8287259,3446898,1408798,499782,850775,217497,232548,810642,334723,147888,9690309,5363795,978224,0.198435404146968,0.0911170895000932,0.154144935140914,631646,164068,134029,4031892,1937522,280018,710.813898109395
"492",49,2002,2275861,1921483,17813,707987,4849,575658,1567874,12964,1345825,245415,101361,1312,176097,389,66131,74689,60194,1701,1067828,913924,10601,0.0781706135700166,0.0571212275980445,0.10153789142116,40088,27720,1616,553728,457167,2180,723.281234444997
"502",50,2002,595826,572024,3412,138697,1066,131380,457129,2346,440644,52876,15232,200,49061,154,13880,15038,13929,257,321275,309635,1647,0.108112412620912,0.104810474611527,0.250392875851231,6251,5830,62,99359,94651,821,727.190243902439
"512",51,2002,7063475,4920448,1370382,1769730,408647,1127266,5293745,961735,3793182,717096,252081,260661,361708,112679,102381,207213,120805,61107,3571765,2550883,635375,0.14340288648414,0.120160106400737,0.210594971359485,133705,56052,58634,1199518,879744,158525,858.149835946045
"532",53,2002,5937852,4638841,194612,1511179,58294,1063878,4426673,136318,3574963,707454,251739,38417,442439,13997,133222,279275,201774,18776,2848456,2289099,87221,0.0860988396482504,0.0614937524468692,0.0786219159813292,83249,46692,4539,1039205,768277,27571,830.28650400305
"542",54,2002,1761291,1666226,55204,387677,13556,360464,1373614,41648,1305762,309100,100758,12729,289121,5142,91565,56117,52573,2640,724075,685817,24268,0.199524167376594,0.20104297059999,0.150297700333206,24389,22817,1024,257433,242485,8748,471.351224105461
"552",55,2002,5294592,4593852,282439,1324333,104027,1062464,3970259,178412,3531388,535911,202228,99900,341203,51446,102736,201769,151403,26620,2688183,2413436,100837,0.110704938656731,0.0942433296071428,0.205836908687075,60340,46604,10508,897424,781912,19118,666.676477247
"562",56,2002,484833,429726,3070,121704,552,102143,363129,2518,327583,56188,19467,314,44517,71,13778,15403,12694,348,251541,227535,1495,0.0798143505833123,0.0606559371399538,0.236266666666667,5581,4158,79,81115,70027,320,584.847164179104
"114",1,2003,4385446,3066260,1146950,1100434,355021,692589,3285012,791929,2373671,762844,266389,384681,339262,163066,89138,184506,98973,78852,1944275,1439797,424418,0.184915456325267,0.171348291596012,0.218380355666611,116627,44881,65867,650254,527748,90393,569.10341188885
"214",2,2003,629832,425512,22014,188097,7524,109771,441735,14490,315741,61949,26855,2186,25025,864,8179,35786,16799,874,304484,227748,11552,0.0733999962357597,0.0388005889112851,0.0830169995048688,15195,5442,686,121118,80789,3487,926.884248751702
"413",4,2003,5490147,3353504,167409,1527748,53639,727306,3962399,113770,2626198,856125,328989,37983,285005,17974,64239,195423,100807,8825,2417356,1582487,69225,0.137728632966089,0.0633465974282633,0.104511214913942,152213,51505,4666,904761,501194,23244,765.121724630777
"58",5,2003,2650703,2064194,407853,675640,133098,480889,1975063,274755,1583305,437097,169541,153496,235715,68373,78400,98761,60217,33121,1205446,970765,148659,0.180155117231113,0.158436666485221,0.246666917746309,61823,36424,21595,421718,343518,38266,580.158360503027
"63",6,2003,34644509,15521082,2152203,9345767,650211,3118241,25298742,1501992,12402841,4733140,1855970,448485,1229747,196613,284920,1452254,556924,146885,15727446,7684982,882380,0.168095097649082,0.0568046669910444,0.094553041604378,828917,165692,99417,6186466,2301230,196805,1031.32084176447
"83",8,2003,4447892,3235652,182182,1146356,60963,736237,3301536,121219,2499415,445160,158655,33646,255476,16126,70992,169634,109100,10808,2283761,1743934,81921,0.0957453053926183,0.0481721684389808,0.0740755059828729,72883,33640,10818,795398,546355,28308,873.692307692308
"93",9,2003,3371241,2584031,307200,831891,97321,570636,2539350,209879,2013395,282579,97986,60693,128612,22769,33361,125910,81572,18155,1678273,1340568,134536,0.102306143528703,0.0776091400870767,0.173661459643666,46500,23345,8895,570776,448849,32264,895.278676734987
"103",10,2003,792494,569633,150289,198053,47887,124945,594441,102402,444688,69919,25496,29054,32068,13699,8082,25825,15117,8601,390892,292230,65641,0.120326771430192,0.0953911561132905,0.160163583531635,17327,7148,6487,125716,92997,16869,813.53729669097
"123",12,2003,16667245,10470551,2546136,3929804,856652,2072502,12737441,1689484,8398049,2284050,812451,694392,938348,316622,251388,588241,293644,156802,7503775,4791202,1044715,0.129633049843872,0.0897165426415667,0.213849649053406,366788,142732,145986,2326947,1412409,298062,818.604689460477
"133",13,2003,8438710,5284638,2327736,2283233,757793,1265981,6155477,1569943,4018657,1154477,446023,553210,465601,247028,145547,322492,145176,155196,4038202,2651778,979785,0.1670456249206,0.133165197258118,0.192118737542814,228147,82683,127973,1409041,950706,272812,751.549756097561
"153",15,2003,1221885,275215,25468,294914,7372,45613,926971,18096,229602,136038,47892,1287,27649,449,4706,39160,8050,843,591245,149697,14541,0.10304925762252,0.0456347454051243,0.037564415513968,49564,2401,305,182208,34075,5229,999.22870249017
"163",16,2003,1333165,1163218,7661,369593,3510,305436,963572,4151,857782,186100,67376,3147,142968,1130,47960,46377,37606,380,630954,558156,3164,0.102184505138918,0.0749554467854202,0.0817855002995806,22892,13908,477,275193,235852,1035,596.340909090909
"173",17,2003,12338235,8200748,1816038,3231863,595470,1861303,9106372,1220568,6339445,1426303,532458,483122,603518,211751,169847,537667,273944,152371,5823565,4171616,641588,0.124195033611394,0.0813767869411771,0.15897626171323,246407,68761,118680,2159857,1473230,145979,796.88099767491
"183",18,2003,6021480,5135922,475353,1602370,151966,1296464,4419110,323387,3839458,656146,231422,108852,461333,48850,144851,243374,181439,39344,2861203,2496807,200447,0.142340249059354,0.136188339737732,0.158976633580702,93997,63346,19102,1084092,944077,47354,653.50433429651
"193",19,2003,2846089,2618679,53951,690462,17430,607592,2155627,36521,2011087,300061,91298,17988,257851,8345,70662,84205,74954,3532,1469532,1372059,20893,0.0946883034241143,0.0833287498255855,0.203133210719916,35065,25563,1791,497645,460060,4382,568.095168800931
"203",20,2003,2641747,2166188,151500,684911,51037,524761,1956836,100463,1641427,289874,101218,44957,192680,22108,58955,88427,65658,5547,1326823,1116301,62889,0.0943923413254356,0.0757384233970135,0.147586224437888,43432,27269,6898,477521,391588,16191,600.320123839009
"215",21,2003,4003036,3568511,292333,989299,91851,850530,3013737,200482,2717981,710718,244462,90488,577283,41887,187524,144221,113362,22819,1783007,1606811,120544,0.196180191447028,0.197404983321218,0.184679162996409,72900,62664,6252,645066,583812,31060,530.715225976305
"223",22,2003,4364568,2722881,1400183,1169963,467894,635067,3194605,932289,2087814,905744,358034,512923,354187,233426,110549,173381,78382,84703,1890516,1270810,510499,0.176535807412093,0.143722906979536,0.238886046654899,126715,44513,75288,623726,451086,128435,570.492667928098
"233",23,2003,1270602,1224581,5204,284956,1845,269732,985646,3359,954849,137758,40483,771,128249,305,36604,41551,38292,476,650506,632060,1844,0.10005593188739,0.0987783880698958,0.0945386064030132,10490,9653,0,195443,188387,907,643.608163265306
"243",24,2003,5380487,3310658,1484145,1373973,442283,763122,4006514,1041862,2547536,453767,153027,207021,191619,81952,49839,181295,81753,83285,2716537,1732036,694265,0.109553052840752,0.0917001644335068,0.127630977022687,119806,34906,69980,870975,584465,169283,890.686661073825
"253",25,2003,6218757,5029010,373057,1490467,118066,1100299,4728290,254991,3928711,596755,190859,72399,346618,31069,83315,244514,173595,27913,3077990,2576496,159438,0.100560349900444,0.0836663853910102,0.152941399834822,83467,50572,13684,1025917,841370,46181,959.61210405238
"263",26,2003,9825840,7709455,1362762,2526544,439122,1819406,7299296,923640,5890049,1148389,412707,388077,627453,177899,172813,451516,299749,109933,4556816,3748163,500269,0.110847648829035,0.096049408654496,0.170722090506133,173149,77449,68705,1670841,1395845,113929,697.970363580813
"273",27,2003,4919584,4290894,185355,1242407,70174,1004715,3677177,115181,3286179,393840,122683,64265,265623,34309,58566,150423,121698,10193,2607435,2336858,76460,0.0784716347664272,0.0666399554797918,0.143821629041078,45467,30091,4608,929518,787760,22500,775.866159947125
"283",28,2003,2783594,1675401,1019961,754791,345012,384810,2028803,674949,1290591,565609,222746,360491,184514,162010,52294,126988,51575,69530,1219347,806557,373680,0.200668786580675,0.142980919603746,0.313128621367991,109231,35802,69833,388958,270393,102160,557.725933719095
"293",29,2003,5537884,4615898,625704,1401362,203050,1101166,4136522,422654,3514732,668514,233774,158942,453105,72798,143222,191286,135759,43816,2696173,2313587,257468,0.128169570932118,0.123635185410423,0.140348513943424,102631,62756,32062,922819,795435,64311,633.839796860573
"303",30,2003,892023,795023,1634,214668,339,178892,677355,1295,616131,125761,39200,436,92009,91,23812,26494,19890,0,450062,416239,682,0.0771660280948414,0.0700395442562347,0.121676891615542,11757,6014,0,145844,130554,248,540.464140730717
"313",31,2003,1686921,1449111,70944,436960,26091,347663,1249961,44853,1101448,188933,61551,24245,127760,12104,33982,47474,35686,5779,874105,773859,28539,0.0882016585167992,0.0694943240889335,0.110925585796182,21798,12968,2222,330825,279652,10389,606.416857360793
"323",32,2003,2207574,1392900,142087,577312,44396,300861,1630262,97691,1092039,260155,91758,31490,124274,13449,32849,85370,50644,9934,1049362,686646,59219,0.145484310161382,0.0753756222781737,0.0937538393493378,53840,23180,3173,371889,207457,17822,856.112504751045
"333",33,2003,1251572,1183088,11100,303857,2897,281751,947715,8203,901337,99732,27709,3957,86632,651,23708,42344,38036,484,664988,634562,4378,0.0859743532263459,0.0825755642891886,0.167354424575883,11753,10862,562,215258,202159,1472,878.236162361624
"343",34,2003,8444076,5448142,1133934,2123725,350949,1224020,6320351,782985,4224122,726186,265082,208266,253689,91376,70567,336696,179687,78267,4056933,2682756,494672,0.120796591444563,0.0867861142217245,0.144523919443129,160537,56423,59996,1483381,1002328,116187,984.721685689201
"353",35,2003,1837417,794037,33223,497996,9103,159309,1339421,24120,634728,350309,133611,10454,89264,5084,24988,66945,23156,376,806844,386273,16744,0.179135263784213,0.0617168443211815,0.0748035223937127,39859,7756,1118,291605,116207,2770,576.509051014811
"363",36,2003,18601689,11293611,2945055,4516731,858066,2404184,14084958,2086989,8889427,2578048,915726,606019,1005540,246599,294684,690172,345668,167060,8555800,5533131,1193024,0.13603768623842,0.0880389028374169,0.166001969347129,367251,99764,132134,2793252,1858274,254367,905.862862622872
"373",37,2003,8146508,5639696,1727471,2073837,528818,1277616,6072671,1198653,4362080,1185333,419440,454483,565331,196259,157026,352265,194668,121751,3828407,2761494,712642,0.179013927481996,0.154052218102621,0.20285563363373,187117,78654,78676,1275361,933082,174731,682.025778057215
"383",38,2003,609236,556722,4827,145631,1772,125672,463605,3055,431050,72566,20825,1434,55737,696,13367,13923,11392,0,321870,301583,2013,0.103332195949215,0.0997670849704503,0.259140767824497,6183,3241,350,106516,97307,1134,509.649474211317
"393",39,2003,11131980,9321203,1274351,2818488,413293,2206024,8313492,861058,7115179,1382515,528791,352658,919542,163812,307742,449857,334466,92342,5234149,4533269,490456,0.117980797957254,0.111840457071657,0.161021076402485,168332,108982,42497,1810575,1595011,112414,654.196256626636
"403",40,2003,3396794,2495001,257140,877504,86110,566311,2519290,171030,1928690,558520,202612,62204,352835,26524,114814,117754,74906,14581,1527256,1174509,100537,0.137900921521108,0.118337444644101,0.114804247433597,73888,46689,9908,580072,392751,37462,608.146729309722
"414",41,2003,3488398,2874915,59387,842893,19229,631571,2645505,40158,2243344,490336,153444,15588,344020,6698,92993,146926,118237,5388,1651241,1385602,23589,0.10175849869681,0.0789790189741186,0.106591348663003,49043,36859,645,576292,447638,7103,765.667432510052
"423",42,2003,11935566,9996449,1166007,2817473,370430,2182353,9118093,795577,7814096,1331217,465108,319959,826013,142498,243001,435812,308726,85651,5624294,4884781,442410,0.121124718430725,0.110216251378908,0.168189648825738,193015,103021,65921,1860073,1624788,88254,695.499715034766
"443",44,2003,1037196,836786,54039,242562,17020,173439,794634,37019,663347,120032,42140,12883,62264,5778,14426,37390,23946,3955,522080,441824,24618,0.166355172658402,0.137900758552862,0.241729662251196,14820,8400,1370,156901,124935,8329,752.710128055879
"453",45,2003,4008553,2626755,1195542,1015883,367950,588203,2992670,827592,2038552,572502,196211,331219,211455,128821,56513,168104,88347,72236,1843499,1283362,475416,0.162697656844326,0.130929518758371,0.239220906750213,107481,34724,67233,586926,436274,112487,670.307835820896
"463",46,2003,735349,691114,5249,193132,1824,174809,542217,3425,516305,83059,27727,1110,69051,563,20636,17915,15021,436,383003,365934,2302,0.0983282096961665,0.0931005724593998,0.335850733007552,5422,3711,119,144928,137405,908,579.042987249545
"473",47,2003,5695563,4483861,934921,1392973,297287,1006854,4302590,637634,3477007,807275,292447,241684,495798,110802,150712,201776,128707,60149,2725334,2198895,399281,0.169261796440211,0.15916795054117,0.19349992864493,119403,68213,39007,870786,720473,104696,621.458928571429
"483",48,2003,21575409,10640642,2389110,6242457,769691,2474344,15332952,1619419,8166298,3572298,1454850,581372,788973,253104,217034,834646,336796,155060,9783790,5326884,985432,0.197051544097952,0.0851994540586076,0.139344927782359,606784,147015,128102,4132427,1897434,279369,720.135499459528
"493",49,2003,2309555,1947280,26173,738114,8874,600688,1571441,17299,1346592,249042,91745,1027,160563,0,50099,83507,66191,201,1068787,914272,13455,0.0767620246482448,0.051442113936392,0.115291628890904,42262,26988,1150,586886,492024,6885,740.147584973166
"503",50,2003,598352,574371,2340,135948,442,129978,462404,1898,444393,59381,17111,957,55349,242,16008,17975,17326,41,321509,310475,1124,0.100084177168181,0.0977149628928894,0,5422,5091,0,92460,89160,0,754.816210045662
"513",51,2003,7150715,4958906,1376509,1790041,403943,1127050,5360674,972566,3831856,657756,217832,229840,342157,92498,90332,211235,112032,75708,3596619,2572106,624265,0.136445010173438,0.111031293760035,0.207811841895612,134197,57126,62537,1216697,874318,161308,892.713212163579
"533",53,2003,5988638,4656894,196438,1487072,60352,1042596,4501566,136086,3614298,668780,215345,42307,438242,19715,115121,298814,212692,18092,2867091,2288331,87764,0.0799331302589457,0.0589711437722063,0.0701595374908704,73479,48399,2798,1004589,728606,27950,848.328236493374
"543",54,2003,1767580,1674162,52661,388997,14338,364028,1378583,38323,1310134,331232,101359,21677,297648,8850,88044,67310,62004,3691,724112,690065,18715,0.198809084310904,0.200801183383239,0.136134508439299,36997,32838,2886,249289,241952,3018,502.158355205599
"553",55,2003,5313443,4597082,303396,1323445,118340,1051830,3989998,185056,3545252,570972,202608,105311,383567,57550,108353,199711,147816,29242,2704079,2421900,104015,0.105758220617207,0.0898315131619039,0.206199021207178,58314,33637,15410,918026,795134,29599,690.451507919288
"563",56,2003,487341,430938,3526,119666,1091,100871,367675,2435,330067,48733,15553,1245,39214,505,11126,14690,12105,330,255370,229268,1769,0.0751935790908857,0.0615651381307925,0.175614651279478,6249,3580,32,85513,74466,626,604.720612356479
"116",1,2004,4414559,3084123,1149346,1088943,350751,683921,3325616,798595,2400202,728933,267185,356496,320681,148285,96243,152048,78974,66765,1991575,1468051,444609,0.176384211673792,0.161413191377623,0.211976174160561,111598,52083,50859,647371,498068,117952,594.394111387017
"216",2,2004,635963,427008,21428,187721,7458,107394,448242,13970,319614,54112,22307,2567,21859,1398,6533,31164,15047,1362,310179,228906,9711,0.0717824357527592,0.0470964187327824,0.0649651972157773,9962,3990,555,123222,78399,3554,966.832661290323
"415",4,2004,5638345,3427787,168560,1544908,52621,716909,4093437,115939,2710878,846872,344021,46309,323354,21694,90296,176223,89671,11527,2510302,1644694,67143,0.139716777950889,0.0649865350671324,0.0923046189109338,146586,38648,6530,986847,511262,21095,804.197031362222
"59",5,2004,2668372,2072991,402411,666878,130550,469933,2001494,271861,1603058,497757,184279,177570,278156,77123,87945,98514,56322,34789,1211904,979487,149970,0.175576278363564,0.160776487142303,0.233962437013284,75744,44791,22921,371905,301345,28630,589.448391742679
"64",6,2004,35057375,15488560,2161975,9562689,661652,3153214,25494686,1500323,12335346,4824123,1900293,470288,1178020,200834,280043,1308361,491487,122964,15965599,7682593,874450,0.166142396864927,0.0529805946276114,0.0974062350089631,870002,184547,93380,6382416,2334470,221755,1072.88439771403
"84",8,2004,4498611,3256090,178731,1172660,57368,746467,3325951,121363,2509623,519230,184586,38355,268438,13509,74209,173127,109803,13833,2269524,1725378,75750,0.100162062398799,0.046508654679015,0.1241568874058,84611,33366,8025,807333,555566,20597,879.364383561644
"94",9,2004,3389483,2565500,316898,833225,100335,566482,2556258,216563,1999018,262159,90518,48533,122231,19481,32024,115965,72993,20104,1695120,1318059,136488,0.090615171608417,0.0681363647704937,0.123875301680513,50435,16172,22173,582090,453154,37456,930.716063788409
"104",10,2004,805421,567022,159870,193004,48283,117885,612417,111587,449137,81842,28380,28961,38287,12827,8470,29883,15455,10947,397824,290514,72614,0.118684294632371,0.0965431038836422,0.150484806510259,23380,10930,8601,115792,84531,15591,814.790950744559
"124",12,2004,16957665,10621778,2557254,3949443,844377,2070035,13008222,1712877,8551743,2130126,739688,640987,855899,298765,216291,589724,285364,150593,7734022,4889975,1091635,0.124031711351449,0.0848165748516606,0.212061863313086,369577,145177,125214,2342793,1412578,299728,873.163529969951
