"FIPS","3-Yr WhMale InfantDeath, tot <1 yr (2010-12)","3-Yr WhMale InfantDeath, tot <1 yr (2009-11)","3-Yr WhMale InfantDeath, tot <1 yr (2008-10)","3-Yr WhMale InfantDeath, tot <1 yr (2007-09)","3-Yr WhMale InfantDeath, tot <1 yr (2006-08)","3-Yr WhMale InfantDeath, tot <1 yr (2005-07)","3-Yr WhMale InfantDeath, tot <1 yr (2004-06)","3-Yr WhMale InfantDeath, tot <1 yr (2003-05)","3-Yr WhMale InfantDeath, tot <1 yr (2002-04)","3-Yr WhMale InfantDeath, tot <1 yr (2001-03)","3-Yr WhMale InfantDeath, tot <1 yr (2000-02)","3-Yr WhMale InfantDeath, tot <1 yr (1999-01)","3-Yr WhMale InfantDeath, tot <1 yr (1998-00)","3-Yr WhFmle InfantDeath, tot <1 yr (2010-12)","3-Yr WhFmle InfantDeath, tot <1 yr (2009-11)","3-Yr WhFmle InfantDeath, tot <1 yr (2008-10)","3-Yr WhFmle InfantDeath, tot <1 yr (2007-09)","3-Yr WhFmle InfantDeath, tot <1 yr (2006-08)","3-Yr WhFmle InfantDeath, tot <1 yr (2005-07)","3-Yr WhFmle InfantDeath, tot <1 yr (2004-06)","3-Yr WhFmle InfantDeath, tot <1 yr (2003-05)","3-Yr WhFmle InfantDeath, tot <1 yr (2002-04)","3-Yr WhFmle InfantDeath, tot <1 yr (2001-03)","3-Yr WhFmle InfantDeath, tot <1 yr (2000-02)","3-Yr WhFmle InfantDeath, tot <1 yr (1999-01)","3-Yr WhFmle InfantDeath, tot <1 yr (1998-00)","3-Yr BlMale InfantDeath, tot <1 yr (2010-12)","3-Yr BlMale InfantDeath, tot <1 yr (2009-11)","3-Yr BlMale InfantDeath, tot <1 yr (2008-10)","3-Yr BlMale InfantDeath, tot <1 yr (2007-09)","3-Yr BlMale InfantDeath, tot <1 yr (2006-08)","3-Yr BlMale InfantDeath, tot <1 yr (2005-07)","3-Yr BlMale InfantDeath, tot <1 yr (2004-06)","3-Yr BlMale InfantDeath, tot <1 yr (2003-05)","3-Yr BlMale InfantDeath, tot <1 yr (2002-04)","3-Yr BlMale InfantDeath, tot <1 yr (2001-03)","3-Yr BlMale InfantDeath, tot <1 yr (2000-02)","3-Yr BlMale InfantDeath, tot <1 yr (1999-01)","3-Yr BlMale InfantDeath, tot <1 yr (1998-00)","3-Yr BlFmle InfantDeath, tot <1 yr (2010-12)","3-Yr BlFmle InfantDeath, tot <1 yr (2009-11)","3-Yr BlFmle InfantDeath, tot <1 yr (2008-10)","3-Yr BlFmle InfantDeath, tot <1 yr (2007-09)","3-Yr BlFmle InfantDeath, tot <1 yr (2006-08)","3-Yr BlFmle InfantDeath, tot <1 yr (2005-07)","3-Yr BlFmle InfantDeath, tot <1 yr (2004-06)","3-Yr BlFmle InfantDeath, tot <1 yr (2003-05)","3-Yr BlFmle InfantDeath, tot <1 yr (2002-04)","3-Yr BlFmle InfantDeath, tot <1 yr (2001-03)","3-Yr BlFmle InfantDeath, tot <1 yr (2000-02)","3-Yr BlFmle InfantDeath, tot <1 yr (1999-01)","3-Yr BlFmle InfantDeath, tot <1 yr (1998-00)"
"46000","29.3","30.3","34","33.7","32.7","30.7","32","32.3","29.3","29.3","26","28.7","28.7","26.7","23","25","24.3","23","22.7","24.7","22.3","20.7","16.7","17.3","23","26.7","","","","","","","0.7","0.7","0.3","0.3","0","1","1.3","","","","","","","1.7","0.3","1.3","1.7","1.3","0.3","0.3"
"47000","206.7","213","222.3","237.3","244.7","259.7","253.3","257","245.7","233.7","226","212.3","210.7","170.7","166.3","170.7","165","176","176","176","170.7","170","182.3","186","174","166.3","125.7","138.7","147","154.7","152","149.7","147.3","153","161.3","159.7","163.3","151","147","91.7","101.3","115.7","129","137.3","132.7","129.3","123.3","128.7","127.3","127.7","124","122.7"
"48000","920.3","952.3","1023.7","1050.3","1062.7","1050","1024","1027","1009.7","995","937.3","905","904.7","760.3","770","821.3","843.3","847.7","830.3","818","818.7","803","757","722","706.7","720.7","293.3","301","294.7","300","306.7","326","322.7","318","302.7","297.3","278.3","279.3","274.3","224","225.7","226","234","241.7","268","260","260.7","256.3","245.7","229.3","208.7","205.3"
"49000","149.3","146.7","143","145","146","140.7","139.7","135","139","130.7","130.3","128","130.7","88","103","101.7","111.7","107.3","103.3","101.3","97","106.3","105.3","104.7","92.7","97","","","","","","","2.3","2.7","3.7","3.3","2.7","1.7","0.7","","","","","","","2.7","3.3","4","2","2.3","2","2.7"
"50000","15.7","17.7","16","18","17","21.3","21.3","20.7","18.7","18.3","18.7","18.7","21.7","11","12","13","12.3","13.7","13.3","13.3","13","11.3","13.3","15.3","18.7","18.7","","","","","","","0.7","0.7","0","0","0","0","0","","","","","","","0.3","0.3","0.3","0.3","0","0","0.3"
"51000","186.7","206","214","235.7","230","236","234","245","246","237.7","233.3","226.3","226.7","162.3","170.3","175.7","186.3","190.7","191.3","188.7","189.3","176","167.7","152.3","157","158.7","169.3","178","170.7","175.7","174.3","190.3","179","173.3","169.3","175.3","175.7","171","167.7","130.3","132.3","140.7","151.3","155","150.7","145.3","145","149","151.7","142","135","130.7"
"53000","165.3","166","185.3","194","188","178","187","196","209.3","214.3","211","194","188.3","139","139.7","149","150.3","146","139.3","145.7","155.3","155","158","151.7","153","150.3","26.3","24","24","26.3","25","24.3","26","26.7","25","24.3","22.7","21.7","20","24","22","21","22","20","19.3","15.3","16","16.7","17.3","17","20.3","21.7"
"54000","74.3","76","78","77.3","76.7","81","84.3","85.7","89.3","89.3","86.3","82.3","82","59","62","66.7","70","66.3","65.3","63","62.7","62.7","59.7","66","62","68.3","","","","10.7","11.7","","7.3","7","9.3","9","7","3","2","","","","","","","6","4.3","4.7","4.7","5.3","6","7"
"55000","151.3","166.7","180.7","186.7","188.7","180.3","172","171.3","169","177","178.7","185","189.7","128.3","124.7","129.3","139.7","143","141.7","131.7","139","141.3","159.3","157.7","155.7","149.3","54.7","60.3","66.3","65.7","64.3","61.3","63.7","59.7","62","61.7","66","62.7","62.3","45.3","46","46","49.7","54.7","59","62.3","57","55","51.7","50.7","48.3","50.3"
"56000","23","25.7","25.7","27.7","26","27.7","27.7","26.3","21.7","16","15.7","19","19.7","18.7","19","19.3","18.7","21.7","20","21.3","17.3","20.3","19.7","22.3","18","17.3","","","","","","","0.7","0","0","0","0.3","0.7","0.7","","","","","","","0","0","0","0","0","0","0.7"
