"","state","year","entered","entered.nkin","bent","went","cl","bcl","wcl","pl.pre-adopt","pl.foster.rel","pl.foster.non.rel","pl.grphome","pl.inst","pl.indliv","pl.awol","pl.trialvis","b.pl.pre-adopt","b.pl.foster.rel","b.pl.foster.non.rel","b.pl.grphome","b.pl.inst","b.pl.indliv","b.pl.awol","b.pl.trialvis","w.pl.pre-adopt","w.pl.foster.rel","w.pl.foster.non.rel","w.pl.grphome","w.pl.inst","w.pl.indliv","w.pl.awol","w.pl.trialvis","cg.reunify","cg.other.rel","cg.adopt","cg.long.fc","cg.emanc","cg.guard","cg.noplan","cg.na","b.cg.reunify","b.cg.other.rel","b.cg.adopt","b.cg.long.fc","b.cg.emanc","b.cg.guard","b.cg.noplan","b.cg.na","w.cg.reunify","w.cg.other.rel","w.cg.adopt","w.cg.long.fc","w.cg.emanc","w.cg.guard","w.cg.noplan","w.cg.na","prtsjail == 1"
"20",24,2000,3928,2586,2749,1036,20151,12472,3332,622,5842,4551,1401,1636,149,87,1729,473,5118,3318,985,1080,98,66,1189,123,651,1077,391,512,43,19,470,5672,2638,2994,2254,1539,443,683,0,4152,2339,2379,1784,1031,416,371,0,1313,272,559,424,459,25,280,0,554
"21",25,2000,7381,5804,1117,1352,25392,3324,3575,686,2870,8727,1343,1404,474,376,928,137,545,1606,230,255,110,72,139,267,592,1640,267,330,99,41,154,8530,0,3893,1741,2327,1097,151,0,1303,0,823,401,477,261,22,0,1512,0,1165,307,397,163,12,0,233
"22",26,2000,10707,7226,NA,NA,38543,NA,NA,2758,7325,11001,106,5186,839,619,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15242,1195,8093,1915,1391,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"23",27,2000,10803,9717,2494,6300,29272,4610,10450,756,2259,7661,2448,5213,49,16,0,274,832,1890,334,1267,8,2,0,376,940,4362,1641,3045,35,10,0,12892,633,1700,2040,0,32,1153,0,2974,230,610,487,0,7,290,0,7490,264,823,1196,0,18,653,0,611
"24",28,2000,2005,1195,1084,905,7023,2887,2099,325,1800,1402,692,299,44,12,441,183,1058,887,360,171,31,7,190,141,738,496,328,125,12,5,251,3223,725,810,109,103,12,21,0,1700,498,516,80,67,7,12,0,1501,223,292,27,34,5,9,0,171
"25",29,2000,7216,5518,2280,4711,25906,7299,10970,2180,4351,6528,243,2927,319,356,1666,831,2297,2246,35,1311,134,194,203,1304,2005,4075,199,1562,180,150,1425,10567,316,3981,473,1559,1169,529,0,3520,108,1822,144,689,812,151,0,6760,196,2090,322,839,350,370,0,824
"26",30,2000,1588,1084,22,884,5095,55,2073,0,1112,1885,452,56,2,0,0,0,15,29,10,1,0,0,0,0,653,1106,274,38,2,0,0,1542,178,789,345,108,57,480,0,18,5,21,7,1,0,3,0,805,83,499,209,88,39,342,0,144
"27",31,2000,3134,2755,451,2128,11322,1290,5468,86,966,2611,375,1534,73,148,2387,28,230,473,28,249,10,30,240,50,570,1688,277,1043,50,81,1704,1688,0,311,320,284,191,5394,0,188,0,64,39,20,29,950,0,1168,0,177,241,225,138,3519,0,191
"28",32,2000,673,225,124,411,2675,433,1175,1,60,278,6,19,0,1,0,0,8,40,1,4,0,0,0,1,37,174,4,9,0,1,0,3,0,1,0,0,0,1998,0,0,0,1,0,0,0,432,0,2,0,0,0,0,0,1173,0,83
"29",33,2000,484,416,29,391,2286,86,1563,0,191,1186,381,28,9,7,0,0,8,62,15,0,1,0,0,0,167,1022,336,23,8,7,0,485,30,207,272,0,70,738,0,25,0,11,10,0,4,36,0,413,30,183,256,0,63,618,0,42
"30",34,2000,4654,4040,2544,1305,18557,8522,3375,382,848,8435,1265,2240,316,0,0,265,412,5629,668,1026,192,0,0,84,266,1696,372,841,69,0,0,6817,932,4906,625,353,0,270,0,3627,647,3532,375,207,0,134,0,2001,143,869,176,100,0,86,0,161
"31",35,2000,1780,1536,127,516,5408,305,1030,530,514,2016,354,144,67,3,0,58,32,170,27,13,4,1,0,128,116,642,82,38,23,1,0,1261,0,1058,57,219,86,896,0,80,0,120,6,22,3,67,0,367,0,296,17,73,25,235,0,311
"32",36,2000,16605,14321,6473,4152,84060,29359,11245,465,13648,36204,2115,11960,6,0,2563,32,7121,15745,896,4282,5,0,1083,15,606,6395,379,3396,0,0,333,32303,0,19232,0,7031,498,7819,0,13442,0,9407,0,3358,213,2881,0,5894,0,1923,0,1129,114,2136,0,NA
"33",37,2000,5458,4143,2354,2562,20786,7472,6500,752,2980,6615,1127,1192,46,843,1759,343,1599,3344,541,552,23,423,641,353,1074,2678,525,576,19,340,929,7493,1497,4611,0,223,1194,310,0,3220,840,2458,0,116,685,153,0,3558,498,1781,0,92,434,137,0,199
"34",38,2000,1006,882,25,650,2986,52,1243,154,239,875,125,577,0,1,0,8,4,27,4,9,0,0,0,117,114,536,82,386,0,1,0,819,69,354,134,112,22,241,0,18,1,14,5,3,1,6,0,550,29,224,91,70,14,117,0,62
"35",39,2000,15396,10953,6977,7829,49892,16909,16356,2432,7174,17373,1769,3363,293,850,940,1242,3888,8330,860,1409,165,511,354,1104,3042,8395,841,1837,117,327,565,11846,0,4891,2999,1199,0,13561,0,5608,0,2630,1665,567,0,6439,0,5789,0,2139,1210,586,0,6632,0,302
"36",40,2000,6558,4974,1339,3547,20328,3213,7675,1407,3320,5267,2302,1185,61,188,40,390,863,1015,549,331,14,42,9,829,1945,3126,1140,462,40,109,24,6526,495,2737,869,444,186,1746,0,1379,136,830,220,98,39,352,0,3653,196,1501,526,283,125,1013,0,526
"37",41,2000,4675,3862,300,2591,18431,1265,8376,1299,2131,5024,132,857,48,640,3611,158,238,476,9,68,7,72,237,788,1223,3061,72,608,33,432,2153,6989,84,4041,1973,279,335,0,0,461,12,438,290,24,35,0,0,4100,49,2468,1316,192,211,0,0,21
"38",42,2000,12235,10925,5032,6039,45792,16587,13989,888,4661,16712,3940,6246,480,141,487,315,3327,7725,1525,3269,301,38,87,479,1072,7474,2108,2326,138,56,334,19422,842,6779,3792,1339,406,919,0,8471,404,3941,2364,603,278,514,0,9177,373,2227,1144,616,109,301,0,716
"39",44,2000,1409,1099,280,820,5059,821,2119,78,815,1170,1151,115,116,205,0,18,251,256,211,19,16,50,0,50,423,646,735,77,83,105,0,2002,13,555,246,433,15,11,0,400,4,162,75,91,8,2,0,1214,8,274,142,267,7,5,0,66
"40",45,2000,3172,2828,1668,1405,10835,4500,3007,683,597,4024,323,1174,104,317,435,441,289,2593,152,602,64,184,172,234,296,1358,159,539,40,126,252,1116,100,2650,598,674,0,2525,0,624,64,1657,404,438,0,1313,0,473,35,962,188,224,0,1125,0,66
"41",46,2000,1441,1121,45,467,3698,67,711,118,457,1049,47,487,5,3,74,7,17,22,0,20,0,0,0,58,82,331,9,184,3,0,38,1432,65,312,184,37,42,185,0,40,3,11,6,2,0,5,0,419,8,116,95,10,14,49,0,55
"42",47,2000,5480,4887,1731,3538,19994,5444,8663,671,522,5272,1285,2641,146,1035,2107,286,166,2001,420,1008,66,377,729,370,352,3074,829,1589,75,631,1330,8260,639,2296,681,950,31,321,0,2873,319,1072,221,372,12,127,0,5157,310,1168,445,560,19,188,0,131
"43",48,2000,9869,7309,2966,3402,36049,8531,8733,2941,4397,9122,1698,3827,112,456,2274,923,1595,3093,544,1229,28,156,581,922,1447,2929,611,1292,59,151,838,7876,2416,8069,2074,2095,568,3082,0,2316,876,2741,676,730,207,985,0,2700,816,2532,776,779,208,922,0,992
"44",49,2000,2148,1953,43,715,6217,104,1662,1122,294,1232,116,502,57,137,609,32,2,23,2,24,3,3,15,541,88,428,57,277,35,46,190,2493,0,489,644,241,202,0,0,49,0,15,24,10,6,0,0,771,0,255,384,156,96,0,0,292
"45",50,2000,735,655,22,672,2828,44,1903,220,205,1014,258,59,81,38,218,4,6,18,8,0,0,1,7,202,189,913,231,54,75,35,204,1075,18,430,229,180,1,160,0,19,0,10,6,3,0,6,0,987,17,384,203,163,1,148,0,22
