"","state","year","entered","entered.nkin","bent","went","cl","bcl","wcl","pl.pre-adopt","pl.foster.rel","pl.foster.non.rel","pl.grphome","pl.inst","pl.indliv","pl.awol","pl.trialvis","b.pl.pre-adopt","b.pl.foster.rel","b.pl.foster.non.rel","b.pl.grphome","b.pl.inst","b.pl.indliv","b.pl.awol","b.pl.trialvis","w.pl.pre-adopt","w.pl.foster.rel","w.pl.foster.non.rel","w.pl.grphome","w.pl.inst","w.pl.indliv","w.pl.awol","w.pl.trialvis","cg.reunify","cg.other.rel","cg.adopt","cg.long.fc","cg.emanc","cg.guard","cg.noplan","cg.na","b.cg.reunify","b.cg.other.rel","b.cg.adopt","b.cg.long.fc","b.cg.emanc","b.cg.guard","b.cg.noplan","b.cg.na","w.cg.reunify","w.cg.other.rel","w.cg.adopt","w.cg.long.fc","w.cg.emanc","w.cg.guard","w.cg.noplan","w.cg.na","prtsjail == 1"
"82",36,2001,15135,13050,6520,4187,77203,27540,11245,239,12093,33362,2017,11596,2,0,2208,8,6505,14619,867,4428,0,0,876,9,627,6261,387,3492,2,0,356,28730,0,17692,0,6917,497,7625,0,12594,0,8566,0,3218,206,2762,0,5865,0,1851,0,1075,126,2238,0,NA
"83",37,2001,5301,3866,2173,2522,20670,7278,6678,1054,3210,6029,1150,1134,48,733,2005,543,1603,2973,511,525,19,352,748,412,1268,2514,574,559,26,318,1005,7830,1318,4484,0,261,1184,292,0,3224,716,2373,0,139,692,134,0,3824,442,1749,0,107,431,125,0,159
"84",38,2001,1013,874,50,652,3008,69,1258,181,254,853,112,555,0,2,0,9,5,36,3,11,0,0,0,132,144,500,76,380,0,2,0,928,111,400,148,144,29,52,0,30,1,13,5,2,4,0,0,631,39,253,75,105,12,27,0,85
"85",39,2001,16157,11171,7389,8082,51877,17616,16802,2674,7790,17580,1841,3553,290,883,797,1439,4233,8283,908,1571,167,497,345,1172,3241,8632,862,1863,100,374,442,13374,0,5616,3198,1221,0,12311,0,6423,0,3116,1785,563,0,5729,0,6455,0,2354,1290,611,0,6092,0,339
"86",40,2001,6487,4701,1303,3778,21025,3313,8389,1469,3560,6802,1960,415,47,118,0,353,914,1386,500,94,11,28,0,905,2087,3871,1108,230,30,59,0,7017,41,3352,1118,535,343,202,0,1351,13,932,310,125,118,25,0,4176,12,1893,642,331,174,117,0,635
"87",41,2001,4537,3746,313,2648,18090,1222,8247,1482,2023,4894,85,836,39,663,3506,164,192,467,4,64,8,76,247,869,1160,2961,63,603,29,425,2123,7018,75,3841,2019,244,355,0,0,509,13,376,266,28,30,0,0,4162,49,2282,1372,165,216,0,0,9
"88",42,2001,13509,11966,5818,6412,47173,16593,14212,900,5021,15692,4483,6431,492,134,510,324,3610,6956,1774,3490,323,31,85,480,1150,7403,2353,2306,137,63,319,18791,765,6922,3731,1309,560,1583,0,7715,361,4050,2397,600,385,1084,0,9420,339,2355,1080,591,148,277,0,583
"89",44,2001,1493,1189,310,879,5134,838,2133,63,777,1088,1250,115,130,217,0,12,251,252,246,18,17,42,0,43,418,604,780,74,94,119,0,2013,21,544,198,477,10,10,0,428,6,176,64,98,5,2,0,1210,11,280,101,311,3,7,0,76
"90",45,2001,3405,3034,1818,1470,11286,4578,3117,669,657,4188,372,1305,87,279,313,401,350,2659,159,673,54,150,126,253,287,1445,208,582,33,124,180,1080,125,2590,644,684,5,2743,0,602,73,1594,448,435,3,1417,0,455,51,953,187,240,2,1225,0,116
"91",46,2001,1357,1024,29,424,3897,54,810,65,550,1232,62,537,4,4,83,2,15,22,1,11,0,0,3,36,124,389,27,179,2,1,51,1443,60,324,219,49,62,383,0,22,2,17,8,0,0,5,0,364,7,118,118,13,19,171,0,47
"92",47,2001,5667,5133,1705,3707,20435,5329,8951,1018,773,5431,1515,2073,104,1003,2684,415,237,2010,572,709,48,390,872,568,528,3190,890,1311,52,585,1740,8535,809,2844,517,1032,31,63,0,2793,379,1254,202,391,10,18,0,5453,415,1511,305,616,14,43,0,137
"93",48,2001,10680,7999,3117,3572,39277,9094,9491,3067,5014,10105,1925,4090,99,493,2509,939,1834,3302,627,1208,36,142,673,985,1644,3271,642,1431,41,160,851,9171,2862,8901,2226,2303,557,2454,0,2619,1026,3049,688,768,200,702,0,3065,918,2819,870,858,211,719,0,985
"94",49,2001,2006,1865,60,856,5972,177,2017,590,228,1886,132,315,114,141,560,33,8,78,5,14,12,5,22,307,125,942,66,179,74,67,257,1890,0,529,630,319,251,114,0,72,0,30,29,23,13,4,0,882,0,298,381,207,153,9,0,375
"95",50,2001,727,647,26,679,2689,42,1812,127,193,972,265,72,54,30,249,1,2,28,5,1,0,0,5,120,183,882,248,68,49,25,237,1117,10,341,179,102,1,212,0,15,1,4,5,1,0,16,0,1046,8,314,160,91,1,192,0,14
"96",51,2001,2904,2725,1326,1414,11866,4609,3940,761,346,5181,362,1485,201,153,393,398,150,2752,163,716,114,97,176,320,181,2198,182,706,79,47,198,2255,688,2353,1715,1527,85,232,0,932,393,1319,946,804,38,118,0,1186,274,930,700,661,43,109,0,228
"97",53,2001,7273,5170,865,4505,22812,2372,9561,190,4134,8871,729,875,17,288,3,60,652,1358,112,101,4,52,0,105,2545,5395,481,573,8,170,3,10927,327,2688,450,157,640,350,0,1382,59,621,86,19,162,43,0,6828,174,1657,277,104,327,194,0,450
"98",54,2001,2234,2170,208,1790,7872,630,4623,472,185,2658,1879,196,101,115,32,64,21,296,203,16,16,10,4,397,144,2225,1499,160,77,95,26,2666,204,1011,1030,46,116,0,0,301,17,154,108,2,14,0,0,2159,174,834,876,44,98,0,0,98
"99",55,2001,5158,4597,1411,3073,19013,6341,6108,70,2719,8568,1327,1001,3,19,3,39,2070,3544,367,189,1,19,3,24,397,4123,806,734,0,0,0,7829,1326,1841,940,360,0,1556,0,2772,1023,1266,440,149,0,691,0,4242,209,388,430,185,0,651,0,530
"100",56,2001,896,807,21,750,2550,58,1373,28,202,616,310,425,43,13,17,1,5,26,8,16,2,0,0,23,180,490,261,355,36,13,15,998,42,89,114,110,55,238,0,36,1,4,4,2,2,9,0,837,34,73,91,99,49,182,0,0
"101",72,2001,3254,1745,609,17,12709,1725,58,54,3538,4785,90,743,39,48,158,7,583,933,15,139,11,18,19,0,19,30,1,8,0,0,0,7519,899,391,272,89,3,282,0,1406,153,64,40,15,0,47,0,51,2,2,1,1,0,1,0,227
"102",1,2002,3125,2527,1302,1760,11700,4141,4293,252,1372,3853,255,1302,53,190,1115,104,587,2027,125,647,30,106,411,141,781,1745,122,641,22,81,684,3804,1279,1425,1815,0,0,252,0,1624,710,666,1014,0,0,127,0,2103,559,734,774,0,0,123,0,29
"103",2,2002,1068,812,113,314,3984,281,804,43,759,1109,199,73,0,0,731,3,71,109,12,5,0,0,81,16,187,326,54,18,0,0,202,1860,30,730,66,34,195,0,0,190,1,64,3,3,20,0,0,514,10,196,20,14,49,0,0,NA
"104",4,2002,5049,3725,573,2376,16000,1503,5213,422,2618,3238,1725,1854,224,367,284,68,295,425,282,277,37,60,40,177,1203,1628,846,833,124,164,119,4232,673,2346,505,1383,111,1701,0,475,94,346,115,254,26,193,0,2074,276,1128,229,720,48,738,0,351
"105",5,2002,3350,3266,989,2179,9517,2061,3841,313,147,3600,300,883,34,135,693,113,77,1317,98,223,18,54,148,186,70,2133,192,619,16,70,508,3262,334,1231,0,924,38,304,0,941,163,434,0,406,9,86,0,2176,165,754,0,495,29,176,0,578
"106",6,2002,39425,30431,9001,12141,172625,42040,36993,10462,36009,47687,9173,9357,179,6992,13340,3071,13540,14962,2964,2434,64,2104,2900,3045,8247,13946,3287,2942,56,1983,3487,33263,11163,19929,17776,2131,12721,36217,0,7660,6103,6191,6685,793,6109,8499,0,10523,1838,5342,5023,612,2520,11135,0,729
"107",8,2002,7738,6520,1072,3978,23290,2459,7837,1565,1859,6137,460,4914,215,27,49,327,282,913,61,797,32,4,1,728,877,3186,277,2442,119,13,30,5503,1034,1852,736,1143,75,78,0,779,177,362,151,175,15,9,0,2853,463,873,380,634,35,48,0,703
"108",10,2002,918,829,539,303,2732,1098,588,135,191,793,217,462,3,0,0,68,117,513,111,277,3,0,0,57,62,227,90,149,0,0,0,631,68,337,24,187,34,49,0,380,51,207,16,117,23,36,0,199,16,116,8,58,11,11,0,21
"109",11,2002,812,674,521,9,4529,3228,17,87,730,1789,564,441,0,48,0,83,669,1579,470,348,0,44,0,0,1,6,3,5,0,0,0,948,17,1196,145,650,370,391,0,724,15,1153,140,607,336,253,0,4,0,3,0,1,1,8,0,16
"110",12,2002,20800,9282,8039,10744,70103,21618,23371,2303,23834,16479,1291,4151,318,413,0,935,10575,7065,636,1807,170,188,0,1169,11408,7852,518,1928,122,171,0,21466,4319,9802,1946,1089,628,9204,0,8769,2335,4701,1046,552,314,3453,0,10778,1703,4183,775,454,252,4938,0,1355
"111",13,2002,9766,7663,4868,4393,32347,12373,9233,1709,4402,10883,1404,1116,0,213,2545,934,2497,6053,780,617,0,125,1236,707,1807,4284,573,464,0,76,1164,13970,1914,4208,1323,1094,72,0,0,7040,1293,2457,859,675,49,0,0,6216,573,1596,434,393,21,0,0,940
"112",15,2002,2350,1512,101,875,7209,200,1632,95,1734,2637,96,139,0,78,13,4,52,126,3,11,0,3,0,31,578,888,28,52,0,26,5,2018,140,740,232,6,242,1445,0,101,4,31,7,0,6,49,0,728,22,244,63,3,52,505,0,68
"113",16,2002,1213,1068,14,992,3506,41,1808,141,280,1397,194,172,2,16,91,3,5,25,2,4,0,0,2,117,245,1048,158,146,2,11,81,1710,83,182,128,75,114,1,0,25,1,3,6,1,5,0,0,1361,58,152,93,63,80,1,0,0
"114",17,2002,5973,3884,3189,2157,38303,22259,7518,4849,8198,10707,508,2159,2848,0,3056,3377,6205,7041,334,1460,2203,0,1635,1115,1461,2691,131,513,497,0,1110,7288,0,7913,759,8445,2913,5012,0,4033,0,5528,567,6360,2232,3539,0,2437,0,1838,129,1600,485,1029,0,9
"115",18,2002,5676,5093,1932,3449,18748,4949,7475,0,1616,6822,337,1617,78,57,2485,0,949,2537,91,544,24,29,753,0,633,3913,233,994,46,26,1595,6014,231,3321,444,1023,452,1587,0,2056,108,1556,156,356,185,532,0,3612,116,1662,273,606,242,964,0,500
"116",19,2002,5821,5810,615,4068,16706,1251,7629,1327,48,4400,4049,696,198,167,0,213,8,532,413,38,27,20,0,831,33,3066,2905,551,130,113,0,4598,213,2052,485,73,65,3399,0,452,33,313,68,10,6,369,0,3395,145,1315,353,52,51,2318,0,256
"117",20,2002,2766,2272,449,2003,10666,1631,5502,395,1052,3410,474,470,127,153,1764,85,223,765,111,94,22,51,269,268,744,2307,309,334,93,82,1323,3837,14,2089,30,377,304,1034,0,643,4,641,2,60,83,149,0,2791,7,1263,21,285,206,783,0,136
"118",21,2002,5250,4222,847,3901,16587,2256,8356,678,1769,6319,68,2342,124,0,37,181,283,1174,22,553,33,0,10,462,1348,4749,45,1637,88,0,27,5782,554,2528,595,661,46,1171,0,964,142,615,147,160,10,218,0,4423,379,1822,427,486,34,785,0,575
"119",22,2002,2974,2366,1631,1263,10799,4616,3054,13,1154,3822,662,1249,35,139,751,8,659,2298,370,730,22,98,431,5,480,1429,276,499,13,40,312,4713,206,1827,845,222,12,0,0,2742,132,1090,520,124,8,0,0,1865,69,709,311,96,4,0,0,115
"120",23,2002,850,750,28,552,4674,113,2837,412,175,2093,220,225,195,19,316,11,5,70,5,5,8,1,6,314,115,1575,161,156,155,14,218,1086,75,1123,726,364,10,127,0,34,2,42,13,7,0,5,0,722,52,840,621,293,10,87,0,53
"121",24,2002,3563,2273,2278,1108,19034,11700,3350,700,5174,5274,1576,497,226,202,1636,526,4438,3724,1137,288,153,148,1157,158,656,1375,392,194,64,49,415,5415,2260,3182,2424,1660,110,420,0,3753,2016,2532,1927,1162,101,209,0,1453,212,592,455,443,9,186,0,451
"122",25,2002,6555,5228,1372,3288,24613,3998,9048,781,2933,7274,1344,1605,677,616,2515,145,638,1709,311,336,185,158,449,395,1540,3309,752,924,371,222,1383,8320,0,3760,1982,2621,976,375,0,1670,0,809,516,648,263,82,0,4316,0,1730,984,1356,510,143,0,183
"123",26,2002,10019,6656,4689,4719,41097,16395,13101,3210,8576,10629,107,3959,1037,811,2749,1546,5042,5541,40,1870,561,505,1290,1507,3118,4517,61,1881,437,262,1318,21045,1649,4320,2140,1839,85,0,0,10627,1016,2795,1008,911,38,0,0,9271,552,1357,1019,860,42,0,0,995
"124",27,2002,10317,8934,2368,5781,28069,4290,9776,895,2625,7349,2152,4672,38,19,0,313,788,1713,315,1156,4,1,0,449,1188,4154,1424,2528,23,8,0,12473,505,1759,2179,0,24,812,0,2758,182,653,517,0,3,177,0,7006,186,811,1286,0,12,475,0,638
"125",28,2002,1582,847,776,650,5778,2240,1758,47,497,1531,946,8,0,9,75,24,254,862,491,6,0,5,38,22,227,608,422,2,0,4,35,1995,328,1042,109,336,279,42,0,950,214,567,73,219,164,17,0,915,100,456,36,108,106,21,0,27
"126",29,2002,7139,5480,1938,4914,26510,6485,12292,2859,4138,5919,209,2613,642,359,2632,1046,1718,1776,43,1105,274,202,321,1733,2337,3908,162,1443,350,146,2213,11486,272,4001,426,1569,1029,541,0,3038,105,1661,130,708,621,208,0,8053,158,2230,290,824,390,315,0,1013
"127",30,2002,1306,832,34,721,4498,56,1837,0,1050,1630,460,52,0,0,0,0,12,36,8,0,0,0,0,0,559,931,311,36,0,0,0,1517,223,624,313,90,59,365,0,30,3,15,4,1,0,3,0,814,94,390,197,75,25,241,0,67
"128",31,2002,3351,2892,443,2261,12270,1476,5839,156,1065,2899,838,896,167,182,2698,46,228,529,127,161,15,36,331,84,677,1852,566,598,139,88,1821,4583,0,581,472,569,495,250,0,600,0,156,75,57,91,53,0,3139,0,313,331,452,321,151,0,225
"129",32,2002,3239,2357,742,1614,9514,1453,3387,2,138,699,6,3185,7,5,14,0,28,184,0,705,3,1,3,2,63,392,4,1586,4,4,5,638,178,749,43,178,90,2175,0,110,37,188,12,49,25,390,0,386,118,462,29,94,48,1278,0,357
"130",33,2002,563,500,31,491,2366,101,1588,0,195,1140,398,52,7,11,0,0,7,75,15,4,0,0,0,0,173,997,360,43,7,8,0,586,33,253,296,0,82,553,0,33,1,12,15,0,6,34,0,523,30,221,265,0,70,479,0,8
"131",34,2002,6052,5616,3322,1674,22898,10273,4106,568,999,10558,1467,2477,260,0,0,381,618,6725,825,1178,161,0,0,118,243,2352,397,871,50,0,0,6049,1442,6076,1129,694,0,1251,0,3185,1039,4186,689,420,0,619,0,1785,235,1161,314,164,0,395,0,468
"132",35,2002,1968,1683,109,627,5459,241,1039,410,512,1833,291,164,72,41,167,47,23,123,11,15,2,7,13,117,126,562,87,58,24,12,52,1296,8,764,149,149,106,993,0,86,0,78,17,9,5,45,0,391,3,199,45,50,23,322,0,306
"133",36,2002,15432,12931,6935,4142,74155,27157,11261,10225,8290,23136,4118,8895,2,1064,1680,4835,4614,10506,1906,3524,1,538,814,1447,471,4941,739,2757,0,73,273,25565,152,16874,0,7274,1429,6824,0,11807,71,8264,0,3500,671,2601,0,5569,31,2075,0,1108,287,2106,0,NA
"134",37,2002,5615,4032,2269,2796,20546,6878,6776,1178,3230,5268,1062,1715,37,138,2301,590,1524,2495,465,858,18,66,860,517,1408,2277,536,790,17,55,1176,7773,1390,4277,0,293,1007,190,0,3215,802,2121,0,154,502,83,0,3802,493,1865,0,121,412,83,0,277
"135",38,2002,1044,895,42,670,3105,86,1289,157,291,842,127,625,0,0,0,16,7,33,2,28,0,0,0,114,187,500,88,387,0,0,0,1050,97,374,181,130,43,0,0,31,6,25,4,6,0,0,0,710,29,235,79,96,24,0,0,79
"136",39,2002,14982,10213,6284,7985,50441,16963,17068,2583,8028,17708,1459,3020,335,910,939,1404,4234,8015,682,1251,197,525,382,1114,3436,8950,725,1659,115,369,531,13446,0,6454,3019,1580,0,10960,0,6254,0,3783,1667,759,0,4500,0,6612,0,2486,1254,761,0,5955,0,338
"137",40,2002,6923,4963,1371,4016,22063,3329,8699,1617,3828,7074,1852,377,55,172,0,387,947,1360,486,79,13,36,0,995,2222,3960,1048,232,34,92,0,7026,4,3486,1098,479,392,428,0,1322,0,946,304,100,100,50,0,4219,0,1999,613,299,219,121,0,731
"138",41,2002,5089,4229,305,2808,18836,1159,8124,1230,1960,5186,100,931,33,712,3577,121,155,464,9,79,5,76,250,699,1088,3003,60,643,23,475,2128,7720,79,3396,2032,197,323,0,0,537,13,308,250,28,23,0,0,4376,43,2012,1374,138,181,0,0,66
"139",42,2002,13684,11851,5647,6559,47118,15947,14420,850,5388,15609,4666,5796,524,127,469,245,3720,6774,1795,2980,348,38,47,508,1307,7422,2468,2208,139,57,308,19751,1064,6025,3850,1308,472,961,0,8088,525,3334,2506,601,311,582,0,9695,473,2226,1048,608,142,225,0,685
"140",44,2002,1582,1224,315,888,5343,848,2144,53,811,1064,1321,126,137,245,3,13,224,233,271,17,24,66,0,31,429,582,793,83,94,128,3,2076,3,547,253,484,16,1,0,460,1,143,71,94,1,0,0,1159,1,302,144,318,14,1,0,61
"141",45,2002,3537,3397,1777,1601,11762,4619,3368,290,371,4747,525,1950,57,210,55,180,187,2925,247,902,38,105,26,104,178,1709,262,955,19,101,29,3370,126,2367,614,774,8,891,0,1697,76,1409,424,487,5,493,0,1534,41,920,181,279,2,367,0,92
"142",46,2002,1348,1086,50,440,3897,81,840,224,459,1118,138,548,3,0,58,11,7,36,7,19,0,0,1,83,113,388,42,189,1,0,24,1214,53,411,203,22,30,616,0,38,4,18,7,0,1,13,0,390,7,148,112,5,5,173,0,33
"143",47,2002,6047,5316,1740,4016,20849,5116,9154,1203,1003,5572,1330,1701,97,922,2764,471,354,1956,512,565,47,345,813,680,626,3368,778,1096,46,553,1864,8329,1030,3172,337,902,13,38,0,2539,522,1324,141,318,7,16,0,5504,483,1738,189,564,3,20,0,180
"144",48,2002,11766,8574,3548,3924,42227,9546,10130,3091,6116,11731,2453,4367,147,681,1606,951,2137,3681,710,1337,54,170,429,998,1964,3852,853,1500,63,238,557,9889,2881,9445,2370,2443,605,0,0,2817,1009,3149,779,727,213,0,0,3217,979,2999,874,954,228,0,0,1245
"145",49,2002,2177,2105,105,1277,6320,200,2392,550,124,1949,171,384,170,129,666,33,3,93,6,17,13,4,31,304,60,1134,107,247,111,61,368,1481,2,724,445,396,271,229,0,76,0,40,16,22,14,10,0,831,2,406,262,252,162,142,0,434
"146",50,2002,832,759,10,801,3015,39,2106,252,193,983,263,54,57,24,357,6,4,16,6,0,1,1,5,245,184,948,251,53,54,23,348,1251,9,496,150,84,3,190,0,24,1,8,4,0,0,2,0,1204,8,486,140,82,3,183,0,11
"147",51,2002,3274,3137,1507,1564,12690,4795,4167,656,334,5371,504,1756,176,132,407,360,156,2834,246,816,107,86,153,264,169,2265,234,859,62,38,236,3120,695,1939,1671,1238,91,473,0,1305,395,1111,924,674,44,246,0,1632,270,753,676,514,38,203,0,206
"148",53,2002,6704,5036,858,4325,22747,2434,10037,326,4290,7781,669,1122,17,258,1580,58,727,1182,88,134,5,46,194,191,2603,4815,444,745,10,153,1076,10884,268,2971,422,146,828,221,0,1392,61,614,94,18,182,26,0,7041,129,1794,243,94,440,128,0,407
"149",54,2002,2358,2246,227,1964,8080,630,4800,371,224,2618,1969,191,103,96,150,48,22,290,216,16,17,11,10,319,192,2218,1612,162,77,84,136,2938,205,941,892,55,156,0,0,314,19,133,106,5,12,0,0,2445,178,786,755,50,140,0,0,123
"150",55,2002,5054,4405,1479,2895,18984,6346,6065,269,2767,8433,1386,893,7,14,0,114,1977,3542,446,165,2,12,0,124,478,4006,761,640,2,1,0,6873,1270,2431,749,352,3,2250,0,2534,956,1595,321,163,0,777,0,3556,208,638,361,155,2,1143,0,460
"151",56,2002,819,739,21,670,2498,50,1410,38,191,604,297,413,37,18,81,2,2,23,8,12,2,0,1,31,167,503,250,345,30,12,72,1044,36,96,89,121,55,229,0,37,0,3,2,4,0,4,0,872,33,85,79,102,48,186,0,0
"152",72,2002,3483,2007,661,20,14037,1931,66,355,3593,4326,89,502,78,170,1441,52,625,818,13,83,18,45,277,4,23,20,0,5,0,2,12,4954,1943,1607,1356,451,32,211,0,1003,333,245,238,56,7,49,0,29,10,10,11,3,1,2,0,301
"153",1,2003,3246,2578,1374,1771,12143,4290,4418,339,1408,3872,260,1386,66,203,1141,160,602,2043,137,699,36,114,394,174,787,1715,118,668,29,86,726,3669,1320,1560,2039,0,0,309,0,1548,698,719,1156,0,0,169,0,2012,608,811,857,0,0,130,0,85
"154",2,2003,943,719,60,246,3764,237,725,39,702,1088,164,76,0,0,749,3,51,89,9,6,0,0,79,9,162,291,44,19,0,0,198,1805,19,681,51,59,197,0,0,156,1,64,1,5,10,0,0,459,2,170,13,21,60,0,0,NA
"155",4,2003,6208,4342,794,2848,18473,1670,5802,312,3411,3825,1750,1947,266,415,172,36,399,494,302,300,37,50,24,156,1542,1875,864,850,143,183,105,5430,576,2382,521,1445,87,1824,0,634,85,324,95,252,13,267,0,2630,237,1169,252,737,35,742,0,442
"156",5,2003,3561,3483,1156,2246,9986,2222,3940,311,162,3790,83,1075,41,158,747,108,88,1364,27,324,26,75,187,188,71,2278,55,698,15,78,523,3451,363,1318,0,871,28,314,0,1084,164,462,0,383,8,103,0,2203,194,810,0,471,20,185,0,590
"157",6,2003,39919,31065,8907,12224,168758,39399,35596,9530,33420,48193,9206,8924,256,7489,11821,2580,12197,14470,3006,2347,78,2170,2551,3040,7687,13837,3167,2677,92,2010,3086,33883,9813,20458,17650,2419,12657,31959,0,7553,5237,6005,6425,890,5994,7295,0,10723,1585,5665,5007,672,2426,9518,0,649
"158",8,2003,7613,6051,965,3905,23651,2314,8200,1532,2260,6367,500,4504,246,143,94,294,303,884,72,652,36,21,7,718,1078,3290,280,2373,136,53,61,5797,992,1555,563,893,59,137,0,720,175,272,115,113,13,28,0,3038,448,762,289,535,26,69,0,748
"159",10,2003,861,757,512,309,2485,990,552,97,184,699,158,470,1,0,0,58,110,443,73,294,1,0,0,33,66,224,76,150,0,0,0,596,70,240,19,188,13,25,0,342,55,146,11,128,9,16,0,223,9,85,8,50,4,8,0,11
"160",11,2003,719,613,450,5,4568,3276,12,404,757,1659,463,460,2,77,0,382,675,1384,394,350,2,67,0,2,0,5,0,4,0,1,0,816,5,1406,53,468,515,578,0,580,4,1304,52,435,448,446,0,6,0,4,0,1,0,1,0,15
"161",12,2003,20549,9321,8101,10509,72811,22460,25040,3313,24857,17235,1443,4200,285,662,0,1250,10768,7361,699,1835,150,273,0,1738,12140,8126,578,1930,113,314,0,23082,4516,10799,2023,1272,512,9616,0,9571,2229,4960,1017,654,235,3597,0,11359,2009,4795,853,520,230,5076,0,1416
"162",13,2003,10568,8910,5230,4651,34092,12497,9847,1090,4203,13756,1917,1245,0,179,1133,576,2195,7382,1087,642,0,93,522,465,1913,5539,762,553,0,76,539,16300,1689,3416,1174,892,53,0,0,8147,1135,1935,724,518,38,0,0,7197,513,1354,420,352,11,0,0,960
"163",15,2003,2349,1558,134,920,7349,264,1896,170,1710,2747,101,138,0,95,0,7,65,179,6,7,0,0,0,64,654,1054,31,52,0,33,0,3143,182,694,302,1,199,138,0,179,8,42,10,0,4,3,0,1267,48,259,105,1,49,45,0,70
"164",16,2003,1292,1140,27,1004,3794,51,1920,188,307,1426,199,181,2,19,180,3,8,28,3,4,0,0,5,144,242,1065,162,140,1,12,154,1056,46,264,138,24,77,889,0,27,1,3,4,0,4,12,0,799,39,197,102,21,54,701,0,2
"165",17,2003,5794,3759,3111,2208,34404,19003,7322,3655,7391,9675,443,1800,2869,5,2767,2403,5308,6157,270,1248,2217,2,1393,978,1558,2654,127,412,493,2,1098,8318,0,5273,711,6716,2130,5462,0,4511,0,3593,534,5024,1629,3712,0,2975,0,1329,118,1286,348,1266,0,10
"166",18,2003,6084,5449,1936,3745,19745,4945,7929,0,1543,7213,382,1717,84,38,2652,0,822,2620,105,562,21,15,787,0,669,4185,261,1053,61,17,1665,6617,207,3184,452,1048,432,1721,0,2170,101,1454,143,373,142,562,0,4039,101,1573,292,619,272,1033,0,538
"167",19,2003,5736,5718,684,4090,16470,1316,7602,1484,40,4399,3761,734,174,142,0,213,7,576,406,56,34,24,0,955,29,3090,2755,586,107,80,0,4426,191,2154,292,14,53,3604,0,452,20,309,43,2,5,485,0,3281,145,1421,214,11,35,2495,0,281
"168",20,2003,2677,2088,498,1851,10743,1722,5524,817,1218,3301,344,402,113,154,1674,191,234,788,85,87,18,42,265,568,865,2165,221,278,87,91,1220,3631,6,2425,8,526,330,1024,0,633,0,735,3,90,78,154,0,2576,5,1492,5,389,225,756,0,167
"169",21,2003,5476,4456,935,4171,17344,2283,8949,716,1821,6670,32,2511,88,1,29,183,283,1216,12,552,23,1,13,518,1432,5080,19,1821,63,0,16,5978,570,2737,556,775,50,1202,0,948,143,630,144,176,8,234,0,4674,407,2022,395,582,41,828,0,473
"170",22,2003,2809,2196,1593,1162,10216,4275,2992,133,1161,3719,500,1023,33,117,721,76,619,2181,319,603,21,74,382,55,527,1461,171,393,12,40,333,4536,172,1637,837,217,8,0,0,2562,110,975,502,124,2,0,0,1888,56,629,324,89,6,0,0,121
"171",23,2003,904,582,20,726,4597,99,3034,428,474,1642,205,190,108,62,323,14,8,58,4,2,2,1,6,339,378,1366,168,161,88,53,261,856,90,983,213,463,14,221,0,14,4,31,2,8,1,13,0,678,69,797,200,409,12,152,0,82
"172",24,2003,3470,2227,2265,999,18053,10898,3187,452,4770,5206,1656,454,221,184,1424,308,4092,3737,1155,279,154,152,879,121,586,1258,441,160,56,30,468,5390,2126,2684,2507,1454,68,354,0,3663,1867,2114,2021,996,63,174,0,1463,224,498,442,404,4,152,0,378
"173",25,2003,6507,5276,1345,3251,25254,4097,9359,788,2925,6845,1421,1631,758,632,3496,159,617,1604,339,337,210,153,607,374,1550,3142,771,929,398,254,1846,8998,0,3683,1997,2668,1048,337,0,1814,0,779,505,662,262,68,0,4648,0,1699,989,1361,556,104,0,188
"174",26,2003,9650,6345,4544,4532,40019,15977,12824,3246,8745,10220,85,4035,1019,517,2502,1647,4930,5246,37,2071,545,314,1187,1416,3376,4463,44,1751,435,176,1163,19768,1376,5039,2273,1619,294,0,0,9904,891,3059,1082,888,153,0,0,8760,436,1755,1089,662,122,0,0,935
"175",27,2003,8080,6881,1966,4389,23045,3816,8001,969,2489,6243,1734,3333,30,165,1,352,750,1471,250,919,5,69,0,456,1140,3455,1136,1754,18,41,1,9664,472,2070,2070,289,32,357,0,2312,159,703,491,65,3,81,0,5259,190,994,1183,161,15,193,0,445
"176",28,2003,1570,797,735,632,5816,2179,1741,55,631,1331,907,16,0,29,322,33,316,724,445,9,0,18,162,22,285,527,410,6,0,9,137,1927,229,1042,94,347,295,189,0,885,154,550,60,224,173,89,0,867,63,456,30,110,107,59,0,84
"177",29,2003,6342,4896,1603,4477,24802,5818,12039,3421,3470,4225,147,2231,822,451,3693,1078,1383,1325,27,918,395,214,478,2200,2000,2754,114,1257,409,224,3081,10202,221,4393,307,1852,977,308,0,2596,88,1591,101,787,459,120,0,7246,123,2648,197,1028,499,179,0,977
"178",30,2003,1175,800,33,654,4128,66,1694,104,931,1380,381,60,21,11,65,1,8,39,12,2,0,0,4,84,464,787,255,40,17,6,41,1385,203,589,304,85,77,307,0,34,8,13,5,1,0,5,0,726,86,358,199,71,47,204,0,80
"179",31,2003,2907,2505,343,1950,11202,1299,5468,381,1027,2593,903,673,168,188,2360,111,181,403,159,121,21,43,260,201,684,1709,572,431,126,85,1658,4579,0,802,369,653,633,252,0,604,0,199,81,68,92,44,0,3101,0,471,232,513,419,158,0,197
