"st","datayear","cl.blk","ent.blk","reun.blk","lifelos.blk","grp.inst.blk","kin.fc.blk","cl.white","ent.white","reun.white","lifelos.white","grp.inst.white","kin.fc.white","cl.nat.am","ent.nat.am","reun.nat.am","lifelos.nat.am","grp.inst.nat.am","kin.fc.nat.am","cl.latino","ent.latino","reun.latino","lifelos.latino","grp.inst.latino","kin.fc.latino","cl.asian","ent.asian","reun.asian","lifelos.asian","grp.inst.asian","kin.fc.asian","cl.unk","ent.unk","reun.unk","lifelos.unk","grp.inst.unk","kin.fc.unk","cl.haw.pi","ent.haw.pi","reun.haw.pi","lifelos.haw.pi","grp.inst.haw.pi","kin.fc.haw.pi","cl","ent","grp.inst","reun","lifelos","kin.fc"
"LA",2014,3756,1954,1401,505.85910652921,359,1123,3812,1913,1163,469.66928721174,212,1357,33,11,15,444.411764705882,4,15,157,93,61,378.057324840764,12,23,12,7,5,316.384615384615,1,2,130,97,45,292.715384615385,6,36,10,5,4,338.2,0,1,7910,4080,594,2694,481.673926727937,2557
"MA",2014,3438,1572,792,629.035194880745,599,642,6818,2899,1570,624.76312701672,945,1775,217,69,42,726.096774193548,9,49,3429,1560,917,589.135608048994,515,564,224,105,60,610.084821428571,27,35,850,470,210,439.185882352941,83,187,23,12,6,591.826086956522,2,5,14999,6687,2180,3597,608.276951796786,3257
"MD",2014,3964,1258,999,1070.84964682139,461,1300,1892,609,474,746.78488372093,273,715,5,2,1,532.2,0,4,283,84,57,814.194346289753,29,102,37,17,11,556.648648648649,7,17,244,126,65,424.668032786885,8,135,4,1,1,386.5,0,0,6429,2097,778,1608,935.853787525276,2273
"ME",2014,173,53,30,692.578034682081,10,31,1664,573,267,737.158653846154,92,421,71,26,16,635.070422535211,2,17,416,122,68,558.709134615385,7,118,18,4,1,797.777777777778,2,2,300,135,46,446.176666666667,9,90,10,3,5,626.7,0,1,2652,916,122,433,670.603695324284,680
"MI",2014,9026,3069,1966,754.613910732086,1427,1687,9887,3606,2142,572.403560230606,742,2687,544,190,123,634.621323529412,33,177,1135,478,211,553.051101321586,55,231,109,44,23,514.422018348624,6,13,199,177,19,218.105527638191,61,32,38,17,12,661.973684210526,21,5,20938,7581,2345,4496,648.027314836923,4832
"MN",2014,2952,1646,1150,384.106029810298,829,472,4658,2520,1699,398.352511807643,1211,959,2898,1425,788,488.6966873706,380,831,654,364,256,349.779816513761,171,114,269,157,142,345.657992565056,72,60,117,91,57,156.555555555556,38,20,16,9,6,367.1875,7,1,11564,6212,2708,4098,410.894154271878,2457
"MO",2014,3758,1289,739,695.58594997339,352,878,12760,5228,3002,567.141995141447,1075,3189,91,46,7,453.791208791209,9,21,565,244,140,516.978761061947,38,124,38,15,12,630.421052631579,2,4,526,286,103,410.731939163498,30,123,22,13,8,254.681818181818,1,6,17760,7121,1507,4011,587.258769213445,4345
"MS",2014,3156,1339,946,655.176489226869,374,789,3280,1544,910,500.008841463415,313,978,19,10,10,419.789473684211,0,2,185,86,50,509.491891891892,17,32,22,11,8,559.318181818182,5,3,99,63,24,295.060606060606,13,32,5,1,3,406.6,0,3,6766,3054,722,1951,569.545817321904,1839
"MT",2014,152,61,36,513.592105263158,16,68,1793,753,530,513.631901840491,154,774,1467,527,292,675.034083162918,95,486,154,47,44,599.298701298701,18,56,7,1,4,428.714285714286,1,2,24,3,13,656.375,3,5,5,0,1,1059.2,0,4,3602,1392,287,920,584.571071626874,1395
"NC",2014,5723,2201,1149,647.412021666958,554,1619,6933,2861,1375,573.084234818982,698,1995,507,245,162,451.07100591716,29,218,973,399,199,610.279547790339,72,172,77,45,12,455.558441558442,10,18,95,37,19,461.663157894737,7,37,38,11,17,539.342105263158,2,9,14346,5799,1372,2933,599.488219712812,4068
"ND",2014,151,94,43,351.470198675497,32,7,1098,466,331,494.367941712204,233,168,758,341,128,607.096306068602,107,91,84,45,23,448.702380952381,19,9,13,6,5,404.769230769231,2,3,60,38,17,271.316666666667,11,16,14,9,2,345,4,0,2178,999,408,549,514.292470156107,294
"NE",2014,1460,418,365,786.045205479452,166,286,3444,1181,943,652.219221835075,347,792,802,268,240,668.815461346633,67,281,882,348,262,582.614512471655,89,197,41,13,12,692.170731707317,6,5,183,88,63,506.382513661202,19,36,12,1,2,750.916666666667,1,7,6824,2317,695,1887,670.308177022274,1604
"NH",2014,115,31,25,700.834782608696,32,3,1119,367,264,617.581478183437,267,120,17,3,6,896.882352941176,8,1,123,39,37,594.411290322581,27,14,12,4,2,456.75,2,2,70,32,22,416.942857142857,7,10,4,2,1,517.75,1,0,1460,478,344,357,614.219795221843,150
"NJ",2014,5638,2227,1468,639.161956905687,444,1691,3503,1547,951,503.451254275941,206,1575,24,15,7,360.125,0,10,2061,916,639,527.014050387597,132,690,97,57,45,372.479591836735,6,27,514,286,183,344.789883268482,19,208,10,8,5,278.5,1,6,11847,5056,808,3298,563.800673400673,4207
"NM",2014,301,138,79,528.12292358804,17,38,1022,539,354,447.858121330724,81,139,523,280,146,477.166347992352,67,83,2270,1116,724,465.054185022026,155,337,11,6,8,318.363636363636,1,1,42,39,27,79.9523809523809,0,6,5,2,2,608.2,0,0,4174,2120,321,1340,462.819357930043,604
"NV",2014,2458,1075,843,561.901545972335,190,629,3137,1292,908,530.792795664648,269,818,201,76,51,692.457711442786,23,53,1746,807,529,456.059564719359,133,574,132,44,45,550.962121212121,12,25,19,16,12,138.842105263158,5,3,100,33,52,493.22,7,31,7793,3343,639,2440,526.934684973694,2133
"NY",2014,11060,2781,2118,1231.59068716094,2251,1503,6834,2570,1602,735.006145741879,1521,647,143,59,35,732.916083916084,23,23,3759,740,652,1346.26549614259,693,556,193,79,43,956.347150259067,39,23,10282,3460,1985,724.210270375413,1123,2758,5,2,1,531.2,0,1,32276,9691,5650,6436,974.203897632916,5511
"OH",2014,8558,3914,2580,567.596284178546,1493,1651,12085,5403,3780,486.129747621018,1398,2822,126,61,38,533.34126984127,9,28,819,373,244,469.960927960928,89,149,75,41,31,485.146666666667,6,15,173,120,72,210.265895953757,29,41,23,12,7,442.565217391304,6,3,21859,9924,3030,6752,515.458483919667,4709
"OK",2014,3582,1075,648,765.291457286432,336,962,6222,2316,1173,596.749598199936,438,1696,4709,1752,878,611.728392440009,332,1464,1566,632,298,561.475095785441,111,376,96,32,24,494.572916666667,7,22,NA,NA,NA,NA,NA,NA,177,60,40,662.406779661017,20,37,16352,5867,1244,3061,634.715875733855,4557
"OR",2014,1007,253,138,1126.43098311817,57,249,7160,2408,1571,789.961452513966,300,1544,1281,351,289,1041.05152224824,59,338,1607,468,441,747.791537025513,44,345,115,29,23,1033.81739130435,5,35,105,74,54,177.380952380952,6,14,75,10,15,869.64,1,20,11350,3593,472,2531,839.512334801762,2545
"PA",2014,11256,4897,2455,612.710643212509,2943,3111,10131,4675,2817,530.75708222288,1816,3046,74,28,19,505.716216216216,20,16,2401,1142,562,511.019991670137,553,538,108,52,32,616.435185185185,36,17,282,135,87,405.393617021277,56,109,43,19,16,506.209302325581,10,8,24295,10948,5434,5988,565.58205392056,6845
"PR",2014,646,67,51,1683.85316846986,116,157,31,5,2,1362.29032258065,6,12,9,2,0,1757.77777777778,3,3,3495,673,424,1544.16537911302,617,1187,3,0,1,2991.33333333333,0,1,49,13,4,846.836734693878,14,14,7,0,0,2621.85714285714,1,1,4240,760,757,482,1559.34543739684,1375
"RI",2014,825,370,187,576.380606060606,202,299,1319,535,303,582.621683093252,364,492,49,17,10,704.040816326531,12,12,638,299,165,556.87460815047,195,173,36,15,7,786.333333333333,7,17,60,35,18,329.65,11,28,1,1,0,155,1,0,2928,1272,792,690,574.459699453552,1021
"SC",2014,2820,1430,1019,568.261347517731,676,222,3234,1701,1135,454.254792826221,814,296,17,10,7,251.058823529412,1,0,333,180,154,406.912912912913,80,26,16,8,5,669.625,3,2,89,74,48,149.629213483146,18,11,11,4,5,499.454545454545,0,4,6520,3407,1592,2373,497.063190184049,561
"SD",2014,169,59,51,640.414201183432,30,14,642,265,233,660.219626168224,100,124,1283,581,352,593.483242400624,185,242,70,39,30,424.571428571429,11,13,13,4,0,754,1,3,8,8,6,2.75,0,0,2,0,0,1562,1,0,2187,956,328,672,610.973022405121,396
"TN",2014,3595,1349,1153,528.319610570236,541,385,8876,3666,2552,468.961356466877,1100,900,41,14,8,711.048780487805,8,2,707,272,204,473.892503536068,79,37,32,20,8,302.71875,5,3,23,21,15,110.347826086957,4,5,22,10,5,546.090909090909,5,0,13296,5352,1742,3945,485.126654632972,1332
"TX",2014,12555,4193,2520,748.463162086818,1428,3531,14426,5817,3152,590.66569626395,1902,4184,316,115,66,600.107594936709,24,96,18665,6886,4013,632.792177873024,2094,5858,221,79,62,618.723981900452,23,56,546,242,151,401.877289377289,25,205,48,25,6,550.291666666667,5,24,46777,17357,5501,9970,647.778143571765,13954
"UT",2014,297,110,76,671.198653198653,39,37,3390,1653,845,476.057817109145,291,794,213,76,37,604.971830985916,20,27,1028,501,259,479.406614785992,104,177,45,20,20,491.866666666667,3,7,18,11,2,416.888888888889,0,3,40,22,11,403.5,5,3,5031,2393,462,1250,493.07274895647,1048
"VA",2014,2973,1220,561,678.183652875883,472,167,3633,1472,665,578.313790255987,520,279,23,6,2,863.304347826087,2,0,567,238,125,600.705467372134,65,22,69,30,11,528.014492753623,4,4,100,61,17,385.89,8,6,28,13,2,448.071428571429,2,2,7393,3040,1073,1383,617.513593940214,480
"VT",2014,52,23,16,486.490566037736,13,8,1604,730,328,538.328348909657,205,535,2,1,0,233,1,0,11,4,0,357.818181818182,1,4,11,0,5,537.545454545455,0,1,41,30,12,243.658536585366,7,8,NA,NA,NA,NA,NA,NA,1721,788,227,361,528.210098665119,556
"WA",2014,2619,979,590,683.786177930508,160,845,8541,3157,2016,638.027982671818,433,2763,1970,665,411,750.510152284264,86,666,2361,912,579,632.829733163914,103,803,313,145,101,537.306709265176,13,83,112,96,24,175.678571428571,4,40,238,116,69,487.239495798319,12,83,16154,6070,811,3790,651.025442614832,5283
"WI",2014,3976,1525,961,703.174547283702,586,1110,5021,2301,1485,542.836718438869,637,1823,739,333,213,501.588633288227,75,353,1037,430,348,584.022179363549,119,327,124,57,43,592.991935483871,8,47,238,164,50,308.31512605042,25,84,24,9,6,674.833333333333,5,5,11159,4819,1455,3106,596.895967741935,3749
"WV",2014,887,402,287,474.393461104848,262,98,6983,3315,2177,457.929543176285,1748,945,12,3,3,1285.5,8,0,90,35,29,544.022222222222,23,11,14,3,3,824.642857142857,5,0,75,63,23,168.213333333333,16,22,8,4,6,404.125,5,0,8069,3825,2067,2528,459.820423844343,1076
"WY",2014,86,41,31,493.511627906977,12,22,1435,740,572,402.494076655052,369,302,56,32,24,433.857142857143,12,20,290,157,100,396.71724137931,69,86,1,1,0,67,0,0,10,7,4,208.7,1,4,1,1,0,67,0,0,1879,979,463,731,405.31452900479,434
"AK",2013,227,98,33,588,11,30,727,254,103,667.169188445667,27,136,1648,559,250,699.884101941748,93,307,70,23,23,693.9,4,10,39,18,9,391.538461538462,2,4,97,54,21,353.422680412371,3,19,34,12,8,668.558823529412,2,6,2842,1018,142,447,666.000351864884,512
"AL",2013,3075,1215,704,854.128455284553,522,471,3839,1608,1056,621.700703308153,490,727,31,10,9,1356.54838709677,7,8,356,138,108,566.418539325843,29,38,15,7,3,610.8,3,4,116,90,46,194.5,10,25,11,9,4,147.909090909091,0,5,7443,3077,1061,1930,710.762192664248,1278
"AR",2013,2080,1014,677,524.948076923077,331,259,4736,2478,1797,417.663429054054,845,643,106,42,25,657.990566037736,17,12,371,207,154,388.954177897574,61,49,45,20,13,518.488888888889,12,5,19,10,10,185.947368421053,0,2,54,27,23,422.296296296296,20,6,7411,3798,1286,2699,449.826474160032,976
"AZ",2013,3404,1512,802,484.077555816686,704,1025,8781,3889,2188,454.17503701173,1183,3318,1683,752,429,446.142602495544,223,636,8651,3821,2099,459.297537856895,1109,3730,154,72,65,454.694805194805,23,49,1084,699,319,267.654981549815,136,476,97,45,28,437.742268041237,12,41,23854,10790,3390,5930,451.193678209105,9275
"CA",2013,20908,7323,3816,1028.02047063325,2912,5717,18537,7326,3953,674.282623941307,2018,4683,2675,960,536,784.988411214953,220,798,40238,16564,9103,693.682489189324,3811,12726,2274,915,564,688.657871591909,209,705,463,309,113,503.943844492441,56,106,534,203,141,730.503745318352,50,206,85629,33600,9276,18226,773.040582045802,24941
"CO",2013,1806,795,477,612.192137320044,624,381,4780,2211,1558,548.305439330544,1433,1008,219,92,75,491.342465753425,41,54,3528,1646,1170,498.009070294785,1083,937,135,40,29,640.925925925926,40,7,43,24,10,567.581395348837,19,6,31,12,8,686.838709677419,13,1,10542,4820,3253,3327,542.906659077974,2394
"CT",2013,2178,612,271,1121.40909090909,459,512,1929,619,231,927.433385173665,409,437,21,5,2,1566.7619047619,6,4,1583,512,207,967.433986102337,332,320,35,7,5,1468.02857142857,8,2,42,31,2,262.02380952381,12,12,15,6,0,709.266666666667,4,6,5803,1792,1230,718,1011.34292607272,1293
"DC",2013,1813,353,326,1459.11638168781,135,351,8,1,2,2034.625,0,2,0,0,0,0,0,NA,57,13,10,1236.84210526316,4,5,1,0,0,801,0,0,58,33,28,336.724137931034,3,17,1,0,0,987,0,0,1938,400,142,366,1420.78070175439,375
"DE",2013,651,187,132,770.554531490015,72,85,426,160,93,596.396713615023,47,73,0,0,0,0,0,NA,77,32,20,585.090909090909,8,11,6,0,0,588.166666666667,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1160,379,128,245,693.34224137931,169
"FL",2013,12536,5389,4269,570.38760370134,1762,5413,15792,6673,5435,471.729166666667,1395,7441,170,76,70,434.923529411765,9,85,4450,1993,1553,482.789887640449,514,2033,120,53,40,429.033333333333,13,39,157,88,55,367.388535031847,19,58,45,18,18,364.622222222222,4,22,33270,14290,3716,11440,509.403366396153,15091
"GA",2013,6678,2842,2260,515.009122177359,1206,1293,5857,2682,1748,460.251066007164,900,1362,33,11,11,470.212121212121,5,0,880,415,272,454.214528944381,120,121,51,36,22,404.960784313725,4,9,15,11,5,148.066666666667,3,0,12,8,6,191.833333333333,1,2,13526,6005,2239,4324,486.130113720278,2787
"HI",2013,153,92,67,403.986928104575,24,51,263,161,126,347.954372623574,39,59,101,58,35,499.673267326733,19,49,32,19,16,432.34375,2,5,839,397,271,544.835518474374,81,379,29,25,13,383.344827586207,3,18,648,270,218,560.953703703704,61,288,2065,1022,229,746,508.162711864407,849
"IA",2013,1776,681,478,623.404279279279,274,231,6867,2920,1979,544.935488568516,868,1245,308,129,82,559.12012987013,25,62,914,387,237,546.339168490153,99,128,104,39,26,525.086538461538,7,15,530,315,125,330.869811320755,49,153,71,29,21,513.605633802817,15,6,10570,4500,1337,2948,547.515326395459,1840
"ID",2013,68,18,12,625.294117647059,7,21,1792,900,654,425.269380925823,134,478,214,109,71,480.03738317757,20,50,344,184,112,401.94476744186,18,109,4,1,2,467,1,0,15,14,4,134.2,0,9,NA,NA,NA,NA,NA,NA,2437,1226,180,855,430.642329778507,667
"IL",2013,11090,2200,1115,1484.36272653503,1094,3203,9088,2345,1375,924.957966549296,688,3067,23,1,0,1394.21739130435,0,1,1291,349,206,1161.00464756003,91,423,65,17,16,928.861538461538,7,11,406,140,78,807.162561576355,29,148,6,0,0,1408.16666666667,0,3,21969,5052,1909,2790,1219.68784706418,6856
"IN",2013,5792,2115,1445,688.819060773481,510,1264,11574,5178,3109,514.471660618628,761,3657,104,52,21,598.009615384615,8,25,1212,498,371,536.605610561056,75,260,73,25,24,481.342465753425,14,22,49,12,23,446.755102040816,10,11,37,13,11,542.972972972973,1,11,18841,7893,1379,5004,569.705058117934,5250
