"st","datayear","cl.blk","ent.blk","reun.blk","lifelos.blk","grp.inst.blk","kin.fc.blk","cl.white","ent.white","reun.white","lifelos.white","grp.inst.white","kin.fc.white","cl.nat.am","ent.nat.am","reun.nat.am","lifelos.nat.am","grp.inst.nat.am","kin.fc.nat.am","cl.latino","ent.latino","reun.latino","lifelos.latino","grp.inst.latino","kin.fc.latino","cl.asian","ent.asian","reun.asian","lifelos.asian","grp.inst.asian","kin.fc.asian","cl.unk","ent.unk","reun.unk","lifelos.unk","grp.inst.unk","kin.fc.unk","cl.haw.pi","ent.haw.pi","reun.haw.pi","lifelos.haw.pi","grp.inst.haw.pi","kin.fc.haw.pi","cl","ent","grp.inst","reun","lifelos","kin.fc"
"DE",2011,743,269,129,763.228802153432,80,106,428,221,79,529.752336448598,48,80,1,1,0,30,0,0,90,42,19,556.6,3,10,4,4,0,198.75,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1266,537,132,227,667.244865718799,196
"FL",2011,12962,5762,3947,643.008332047523,1915,5500,16167,7727,5096,484.302653553535,1620,7850,174,73,75,438.522988505747,18,88,4385,2098,1448,497.599543899658,530,1890,170,93,78,499.552941176471,15,67,111,69,38,295.27027027027,7,48,44,24,12,506.045454545455,6,16,34013,15846,4111,10694,545.751242172111,15459
"GA",2011,6611,3080,1933,535.489638481319,1177,1215,5626,2865,1607,455.139708496267,876,1235,23,14,11,351.478260869565,2,5,884,427,312,470.019230769231,123,106,41,22,21,424.512195121951,3,5,11,9,6,227.454545454545,4,1,7,2,4,262.285714285714,2,3,13203,6419,2187,3894,495.801105809286,2570
"HI",2011,155,78,53,560.548387096774,20,53,244,138,124,390.610655737705,42,45,112,47,41,543.0625,15,47,44,21,18,454.727272727273,6,13,1027,429,324,570.545277507303,115,465,32,25,17,318.3125,6,11,626,287,222,667.300319488818,76,251,2240,1025,280,799,570.040625,885
"IA",2011,1855,712,448,657.446900269542,272,234,7077,2916,2037,558.168432951816,960,1073,313,124,104,593.607028753994,27,36,942,420,276,511.777070063694,112,102,101,37,39,485.514851485149,12,8,348,178,167,325.26724137931,33,44,73,36,19,398.849315068493,22,5,10709,4423,1438,3090,562.980763843496,1502
"ID",2011,98,47,18,509.591836734694,14,20,1974,946,714,426.611955420466,189,487,218,60,67,581.077981651376,24,65,337,161,107,432.305637982196,30,81,11,7,6,217.636363636364,3,3,4,4,1,64.5,0,3,9,5,1,283.333333333333,0,0,2651,1230,260,914,441.205582798944,659
"IL",2011,11634,2080,1027,1646.90905965274,1171,3212,8927,2412,998,935.944886299989,705,3011,22,5,5,1070,4,2,1176,228,142,1373.01615646259,89,310,60,17,8,985.066666666667,5,10,318,107,43,838.254716981132,23,121,10,1,1,875.4,1,2,22147,4850,1998,2224,1331.46475820653,6668
"IN",2011,6107,2199,1750,644.577275703995,580,1492,11761,4710,3879,514.501317915143,915,3871,145,48,42,706.034482758621,17,31,1194,481,393,521.514237855946,78,295,71,38,20,452.943661971831,22,9,70,34,26,390.657142857143,28,7,30,12,12,399.2,0,14,19378,7522,1640,6122,556.513339181588,5719
"KS",2011,1949,604,371,797.595177013853,130,407,6098,2308,1471,629.324040669072,257,1260,206,90,48,612.140776699029,7,42,995,400,271,576.444221105528,60,175,52,25,9,454.788461538462,3,10,5,1,4,275.6,0,0,14,11,2,310.857142857143,1,1,9319,3439,458,2176,656.84869621204,1895
"KY",2011,2110,813,633,635.086255924171,366,182,8717,3788,2684,535.393025123322,1225,1184,26,12,5,626.769230769231,6,3,541,269,163,457.731977818854,49,29,14,4,7,671.357142857143,0,1,338,225,126,306.03550295858,44,36,21,9,4,758.761904761905,4,1,11767,5120,1694,3622,543.87311974165,1436
"LA",2011,3964,1845,1423,599.406912209889,364,933,3813,1748,1189,543.33726724364,218,993,43,14,14,810.325581395349,5,1,108,57,46,489.12037037037,13,16,19,5,4,631.368421052632,3,1,115,56,50,470.660869565217,5,25,7,6,0,420.142857142857,0,0,8069,3731,608,2726,570.643945966043,1969
"MA",2011,3246,1143,828,776.684226740604,517,501,6466,2499,1652,700.232291988865,950,1301,112,42,23,702.830357142857,7,23,3341,1302,965,734.794372942233,482,462,301,105,77,656.651162790698,28,40,609,276,196,543.467980295566,57,118,8,4,2,733.875,1,1,14083,5371,2042,3743,718.382375914223,2446
"MD",2011,5817,1726,1214,1253.90166752622,623,1725,2243,838,581,750.656709763709,322,772,9,2,3,1063.77777777778,1,4,307,124,55,697.328990228013,30,103,42,22,13,537.166666666667,6,15,202,92,77,479.40099009901,13,92,7,2,2,555.857142857143,2,2,8627,2806,997,1945,1080.86403152892,2713
"ME",2011,141,21,27,884.489361702128,6,20,1514,347,307,928.867239101717,107,306,75,19,19,696.533333333333,3,20,159,63,28,525.723270440252,10,33,13,6,2,381.923076923077,0,1,167,91,22,390.844311377246,9,44,12,5,2,456.416666666667,0,0,2081,552,135,407,837.367131186929,424
"MI",2011,11266,3184,2353,867.072220743501,1714,2552,10549,3649,2238,594.153095080102,782,3015,506,155,94,641.934782608696,31,170,1086,337,195,636.077348066298,54,251,64,25,14,643.234375,5,13,51,22,15,851.88679245283,28,5,65,20,19,728.123076923077,48,12,23587,7392,2662,4928,728.563872170891,6018
"MN",2011,2971,1742,1317,396.085156512959,1064,394,4740,2550,1933,408.875738396624,1434,717,1932,973,657,509.426501035197,340,445,712,425,324,325.137640449438,234,83,287,206,136,345.508710801394,115,39,45,40,23,167.022222222222,20,5,17,10,6,288,6,2,10704,5946,3213,4396,414.996543348281,1685
"MO",2011,3566,1287,775,764.010936623668,275,710,10361,4277,2666,565.72543910442,670,2247,68,35,18,451.323529411765,3,16,398,179,111,426.753768844221,22,77,35,10,9,662.171428571429,2,2,190,109,49,373.347368421053,11,37,21,14,10,493.380952380952,0,6,14639,5911,983,3638,607.344330601093,3095
"MS",2011,2969,1164,884,715.938363085214,458,730,2745,1079,919,529.771948998178,303,777,16,6,7,824.75,1,1,152,84,58,333.506578947368,16,14,16,4,2,469.3125,1,0,55,29,19,284.727272727273,7,15,2,2,0,71,0,0,5955,2368,786,1889,615.792611251049,1537
"MT",2011,107,28,14,839.878504672897,18,33,1371,559,333,657.663019693654,212,434,1140,395,245,708.494736842105,113,327,119,45,30,704.647058823529,9,45,4,0,3,523.25,0,2,22,12,6,506.045454545455,8,7,8,2,2,1110.625,0,3,2771,1041,360,633,687.539155539516,851
"NC",2011,5610,2020,1114,734.854010695187,490,1499,6370,2524,1465,608.608477237049,596,1744,374,156,90,580.195187165775,27,113,886,336,215,603.555304740406,70,155,58,31,22,425.741379310345,6,12,62,31,17,462.096774193548,3,9,44,12,2,924.545454545455,3,4,13404,5110,1195,2925,659.887570874366,3536
"ND",2011,110,47,25,524.254545454545,29,6,916,414,253,544.019650655022,232,111,634,269,141,698.634069400631,141,53,50,17,15,570.38,13,10,10,1,3,512.2,1,2,42,36,12,290.428571428571,14,7,7,5,3,266.285714285714,0,0,1769,789,430,452,591.648954211419,189
"NE",2011,1832,596,483,713.369541484716,200,327,4576,1762,1364,592.314685314685,464,820,713,264,159,628.541374474053,87,158,1033,422,345,531.021297192643,84,184,71,18,31,688.422535211268,5,2,122,81,41,293.483606557377,12,14,15,8,6,272.133333333333,0,4,8362,3151,852,2429,610.234991628797,1509
"NH",2011,87,33,12,819.149425287356,14,17,917,365,181,781.348964013086,135,206,22,7,6,642.363636363636,9,1,101,46,24,610.881188118812,19,16,13,4,8,447.846153846154,2,2,72,39,20,680.430555555556,5,15,4,1,1,597.25,0,3,1216,495,184,252,757.233552631579,260
"NJ",2011,5584,1953,1450,778.598430813124,540,1733,2925,1224,839,571.159385665529,246,1366,13,6,4,371.384615384615,0,7,1924,905,559,512.578019699326,165,637,61,32,29,428.508196721311,4,13,699,413,250,348.064194008559,49,263,9,2,1,581.888888888889,0,5,11215,4535,1004,3132,649.616656297218,4024
"NM",2011,266,128,92,508.548872180451,20,17,968,504,356,417.787190082645,50,92,460,210,144,538.65,54,52,1916,916,671,469.959290187891,83,286,9,5,4,385.333333333333,1,2,16,16,16,6.5625,1,2,2,0,1,1542,0,1,3637,1779,209,1284,465.92521308771,452
"NV",2011,2342,831,555,681.944918872758,137,690,3025,1151,668,641.67041322314,268,800,193,74,48,768.533678756477,36,40,1760,640,466,586.819318181818,96,577,118,52,36,452.093220338983,6,36,7,4,2,512.714285714286,1,3,80,26,25,644.2625,4,20,7525,2778,548,1800,641.564651162791,2166
"NY",2011,17223,3595,3374,1153.13540033676,3204,3218,7324,2430,1783,797.157291097761,1871,647,189,84,51,605.793650793651,50,20,6722,1392,1502,1107.13002082713,1094,1364,237,46,57,921.970464135021,46,44,5648,3574,1374,668.867032577904,847,1512,1,1,0,2,0,0,37344,11122,7112,8141,997.529027420737,6805
"OH",2011,8717,3785,2509,614.739704026615,1362,1591,11115,5073,3337,519.084750337382,1280,2300,87,50,38,450.195402298851,10,22,647,298,183,509.173106646059,63,85,62,34,28,369.838709677419,8,18,889,681,421,182.725534308211,69,273,23,13,7,477.608695652174,3,4,21540,9934,2795,6523,542.863184772516,4293
"OK",2011,3207,1050,676,860.658871219208,431,687,4789,1990,1010,625.384631447066,491,1071,3320,1246,622,671.885843373494,308,774,1126,453,265,607.954706927176,131,207,90,36,40,620.233333333333,17,12,4,4,0,15.25,3,0,96,50,25,608.822916666667,16,15,12632,4829,1397,2638,695.42803989867,2766
"OR",2011,1520,375,443,1063.00592105263,66,389,7556,2407,1800,830.356934886183,323,2095,1578,567,249,846.697718631179,44,544,1660,598,492,701.352409638554,39,497,128,49,33,761.34375,3,44,463,230,195,475.075593952484,14,104,86,24,23,874.337209302326,2,26,12991,4250,491,3235,830.02732661073,3699
"PA",2011,11153,4541,2739,692.481036492424,2977,2650,10008,4369,2846,619.124600319744,2048,2277,49,27,16,638.061224489796,8,3,2096,916,585,584.347805343511,487,384,152,72,55,567.901315789474,50,24,285,127,76,544.357894736842,38,81,16,7,7,705.25,4,2,23759,10059,5612,6324,649.364240919231,5421
"PR",2011,597,115,80,1619.24623115578,79,144,37,18,1,1167.62162162162,9,9,9,4,1,2198,0,5,4310,1077,474,1479.45707656613,485,1473,1,1,0,170,1,0,41,12,7,690.292682926829,4,13,10,3,0,1573,3,5,5005,1230,581,563,1488.57862137862,1649
"RI",2011,842,319,270,669.579572446556,250,257,1521,581,448,647.030243261013,463,441,58,22,13,811.827586206897,12,14,670,247,205,673.886567164179,247,148,57,18,14,714.368421052632,15,11,58,32,13,318.810344827586,18,17,3,0,1,1219.66666666667,0,0,3209,1219,1005,964,657.331879090059,888
"SC",2011,3548,1343,1219,787.702085682074,754,384,3348,1385,1154,601.73476702509,799,413,23,9,12,676,3,4,334,140,122,474.724550898204,65,33,17,4,3,1029.52941176471,2,0,70,48,36,187.614285714286,17,12,14,9,9,215,2,2,7354,2938,1642,2555,682.230894751156,848
"SD",2011,231,143,93,438.787878787879,57,26,826,391,344,512.135593220339,142,147,1669,803,461,502.53924505692,307,224,83,52,35,401.951807228916,20,10,18,13,5,229.166666666667,1,5,1,1,1,2,0,0,8,4,3,381.5,1,3,2836,1407,528,942,494.944640338505,415
"TN",2011,3178,1468,1012,488.596916299559,631,275,7958,3802,2347,437.148404121639,958,992,30,16,9,600.566666666667,2,3,582,273,160,444.819587628866,60,31,26,10,12,440.769230769231,5,1,1225,998,409,199.942040816327,108,255,11,6,5,305.090909090909,3,2,13010,6573,1767,3954,427.996541122214,1559
"TX",2011,13329,4402,2414,756.136244279391,1511,3957,13395,5005,3141,618.257110862262,1758,3756,330,119,66,556.754545454545,37,68,17961,6998,3689,634.565892767663,2096,5354,239,99,70,504.619246861925,15,55,520,259,122,345.990384615385,24,180,52,21,11,474.903846153846,4,15,45826,16903,5445,9513,660.465128966089,13385
"UT",2011,289,85,58,725.404844290657,30,44,3115,1345,839,527.892455858748,314,589,272,115,59,655.8125,33,38,1083,451,308,477.296398891967,101,167,34,14,11,820.205882352941,6,5,7,3,2,358.428571428571,0,3,55,21,11,596.490909090909,5,11,4855,2034,489,1288,538.109783728115,857
"VA",2011,3236,963,524,905.254556688292,501,171,3874,1437,714,654.900361383583,473,343,16,5,3,675.875,1,3,578,168,102,703.19723183391,61,29,52,8,18,641.346153846154,4,3,64,24,22,623.53125,8,4,16,9,1,448.4375,3,1,7836,2614,1051,1384,761.144060227128,554
"VT",2011,37,17,7,585.368421052632,7,5,1475,632,326,634.781081081081,224,250,0,0,0,0,0,NA,12,3,1,694.416666666667,1,8,7,5,1,92,1,0,15,7,4,670.466666666667,1,0,NA,NA,NA,NA,NA,NA,1546,664,234,339,631.92912371134,263
"WA",2011,2512,940,573,744.007165605096,133,659,7869,2952,1777,627.344008133181,332,2206,1928,595,376,761.622925311203,64,682,2087,830,541,609.385241974126,55,576,321,138,94,595.744548286604,10,80,171,118,39,284.25730994152,8,43,167,70,38,482.083832335329,2,53,15055,5643,604,3438,655.334573231485,4299
"WI",2011,4132,1554,1045,795.074468085106,653,1204,4844,2022,1425,577.411764705882,736,1561,563,254,168,597.921985815603,89,181,990,443,346,583.576767676768,108,317,101,45,42,704.663366336634,15,31,188,117,55,318.712765957447,23,65,15,7,6,802,3,4,10833,4442,1627,3087,659.108404834394,3363
"WV",2011,881,388,263,557.174801362088,251,105,6415,3002,1900,508.28807482463,1634,938,21,8,2,847.428571428571,8,4,90,30,33,542.577777777778,18,7,19,4,4,573,6,0,62,47,14,205.177419354839,11,12,17,7,8,360.058823529412,3,1,7505,3486,1931,2224,512.710992671552,1067
"WY",2011,99,47,30,668.757575757576,30,16,1438,765,622,434.478442280946,484,205,50,21,21,523.06,12,11,241,130,102,376.344398340249,79,55,3,0,1,473.666666666667,0,0,65,31,47,296.246153846154,20,6,4,2,2,497.75,0,1,1900,996,625,825,437.108947368421,294
"AK",2010,241,74,56,743.49377593361,12,45,700,247,118,733.622857142857,33,146,1618,487,306,741.291100123609,87,325,74,33,7,612.121621621622,2,24,24,14,5,390.666666666667,0,3,31,23,10,209.258064516129,1,9,45,19,11,448.311111111111,0,15,2733,897,135,513,722.085986095865,567
"AL",2010,3468,1118,704,970.522052464687,539,539,4160,1735,975,641.528846153846,534,807,37,9,5,1107.40540540541,1,7,360,157,102,580.266666666667,17,42,22,8,9,552.545454545455,1,2,71,36,49,242.183098591549,0,25,1,0,0,678,0,1,8119,3063,1092,1844,777.758620689655,1423
"AR",2010,2296,1092,824,538.77743902439,416,239,4552,2562,1769,402.73572056239,832,554,108,51,24,615.944444444444,32,3,400,203,169,391.7975,72,37,49,22,11,427.571428571429,12,3,25,20,13,255.96,4,1,44,27,16,423.681818181818,10,2,7474,3977,1378,2826,446.818169654803,839
"AZ",2010,2371,1055,555,526.108393083087,388,664,6523,3098,1563,486.106699371455,826,2078,1183,565,293,494.14877430262,147,390,6385,2761,1566,486.997963978074,678,2446,99,61,47,318.858585858586,14,25,471,319,151,293.460721868365,52,153,78,32,26,445.448717948718,9,24,17110,7891,2114,4201,486.082349503215,5780
"CA",2010,24676,7675,5192,1253.20472504762,3037,6066,19946,7624,4917,787.074902236037,2411,4088,2737,991,565,884.458896602119,232,625,41592,16027,11292,774.155506936263,3568,10553,2516,901,699,728.052066772655,243,635,304,147,134,632.460526315789,92,36,483,171,116,807.848861283644,50,126,92254,33536,9633,22915,906.811275147416,22129
"CO",2010,2332,963,658,602.254716981132,841,397,5610,2498,1775,565.016755793226,1881,831,299,135,88,457.183946488294,61,68,4417,2058,1536,508.443513697079,1378,907,127,64,26,522.51968503937,46,13,14,6,2,1013.14285714286,3,0,67,29,35,421.179104477612,16,23,12866,5753,4226,4120,549.157313850459,2239
"CT",2010,2723,927,551,954.818215203819,451,230,2307,838,482,808.048981361075,408,225,31,11,6,1028.09677419355,6,0,1978,677,409,873.768958543984,321,144,49,16,10,995.489795918367,7,2,30,13,13,343.266666666667,0,2,9,0,2,941.333333333333,1,0,7127,2482,1194,1473,882.822225340255,603
"DC",2010,2613,619,376,1349.35820895522,344,414,15,3,4,1460.6,3,3,1,1,1,2,0,0,99,36,20,999.686868686869,17,5,3,0,0,1813.66666666667,0,0,101,85,41,226.821782178218,14,13,2,1,0,1213,0,0,2834,745,378,442,1297.64608327452,435
"DE",2010,729,250,158,735.331961591221,70,118,387,136,110,612.767441860465,48,55,3,0,2,639.333333333333,1,2,71,24,14,599.549295774648,5,10,4,1,3,276.25,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1194,411,125,287,685.752931323283,185
"FL",2010,13060,5269,4033,708.752373660031,1919,5289,15705,7108,5145,524.869595670169,1535,7367,199,96,86,399.005025125628,15,86,4069,1773,1350,550.962890144999,451,1643,143,59,59,611.104895104895,15,55,102,58,36,353.764705882353,12,50,44,21,18,525.818181818182,7,15,33322,14384,3954,10727,599.221565332213,14505
"GA",2010,6896,2768,2421,672.26406612529,1230,1218,5405,2241,1727,614.372617946346,866,1094,19,7,8,490.052631578947,6,2,940,418,331,505.309574468085,112,97,51,24,22,532.450980392157,6,6,13,2,8,402.538461538462,1,5,9,9,3,106.333333333333,2,1,13333,5469,2223,4520,635.585689642241,2423
"HI",2010,158,70,61,555.620253164557,21,54,279,144,138,505.648745519713,45,53,126,63,39,566.380952380952,15,47,35,11,7,592.514285714286,2,9,1114,421,355,591.835727109515,107,519,48,35,30,335.166666666667,11,18,706,279,264,737.419263456091,99,285,2466,1023,300,894,615.156934306569,985
"IA",2010,1863,702,508,662.949543746645,259,233,7064,3017,2051,570.522225368063,991,1049,338,157,105,564.171597633136,33,39,894,377,285,502.13870246085,105,87,135,76,39,498.044444444444,9,15,679,364,233,350.20324005891,79,107,63,32,24,394.174603174603,8,10,11036,4725,1484,3245,564.942279811526,1540
"ID",2010,94,41,23,545.042553191489,8,11,2024,1042,679,447.582015810277,216,481,314,117,98,567.085987261146,30,77,336,176,100,485.383928571429,23,80,17,4,8,512,0,6,6,6,5,16.8333333333333,0,0,6,0,1,546.166666666667,0,1,2797,1386,277,914,468.493385770468,656
"IL",2010,12228,2304,1134,1694.81012347698,1197,3501,8602,2543,1201,912.255519405066,646,2892,31,8,4,1142.70967741935,5,6,1211,285,146,1326.61633663366,100,367,53,17,7,917.981132075472,2,6,378,141,74,860.425925925926,22,145,16,5,4,735.5,0,3,22519,5303,1972,2570,1358.74135405105,6920
"IN",2010,6670,2534,1783,625.950382251537,807,1536,12785,5839,4007,482.158923822931,1327,3951,201,87,69,618.532338308458,20,38,1324,618,417,471.214501510574,118,277,77,40,21,499.363636363636,26,8,70,35,20,312,26,12,30,17,6,462.266666666667,0,12,21157,9170,2324,6323,527.575547048537,5834
"KS",2010,2024,668,378,814.994565217391,148,389,6015,2438,1340,634.927680798005,306,1265,180,71,43,634.211111111111,10,33,862,358,168,583.055684454756,69,138,49,21,17,464.163265306122,4,5,18,10,4,518.777777777778,1,1,4,1,0,989.75,0,0,9152,3567,538,1950,668.862762237762,1831
"KY",2010,2254,932,569,658.899733806566,386,208,9041,4165,2744,522.870257714855,1301,1377,41,12,12,645.292682926829,4,1,500,237,147,481.374,43,37,22,16,11,439.5,2,0,243,135,88,430.617283950617,24,25,14,3,3,862.357142857143,2,2,12115,5500,1762,3574,545.270821295914,1650
"LA",2010,4031,1642,1477,648.836516993302,398,827,3781,1565,1259,578.727056334303,239,964,31,5,5,858.387096774194,5,2,110,53,46,476.927272727273,4,27,21,13,5,454.285714285714,2,2,122,63,46,398.254098360656,5,25,5,3,2,343.6,0,0,8101,3344,653,2840,610.115294408098,1847
"MA",2010,3520,1225,916,767.923863636364,568,488,6845,2497,1934,715.297443389335,1084,1285,92,44,16,688.163043478261,14,19,3531,1353,1045,740.969696969697,501,368,336,114,99,608.047619047619,37,35,587,282,165,568.226575809199,66,91,8,1,4,677.5,1,1,14919,5516,2271,4179,725.400563040418,2287
"MD",2010,6811,1670,1368,1359.67493760094,734,1991,2337,884,548,782.567821994009,336,801,23,3,7,1215.95652173913,4,4,296,103,69,693.5,38,85,34,15,8,752.441176470588,5,11,239,116,72,478.280334728033,15,103,7,2,1,497.285714285714,1,3,9747,2793,1133,2073,1176.38483635991,2998
"ME",2010,165,59,28,788.533333333333,7,31,1854,516,340,903.436893203884,138,387,76,36,10,691.078947368421,3,18,130,50,27,580.115384615385,8,29,11,6,2,569.545454545455,0,0,140,88,18,418.592857142857,9,47,11,5,6,330.636363636364,1,4,2387,760,166,431,838.509426057813,516
"MI",2010,12749,3610,2800,889.370460428269,1840,3055,10999,3911,2168,613.198636363636,815,2944,553,205,114,615.605786618445,38,169,1194,387,237,618.374371859297,55,260,74,24,22,641.432432432432,3,10,61,27,15,655.540983606557,25,5,80,28,20,741.5125,54,8,25710,8192,2830,5376,751.013690638248,6451
"MN",2010,2953,1651,1215,438.768527918782,1007,358,4797,2581,1844,433.250573274964,1563,699,1846,780,647,540.093174431203,333,416,725,393,318,339.618457300276,225,78,239,123,124,424.246861924686,89,18,169,105,127,178.621301775148,67,18,15,10,6,168.866666666667,6,1,10744,5643,3290,4281,442.221457150833,1588
"MO",2010,3552,1259,756,814.54420045045,281,658,9546,4214,2396,566.018227529855,603,2018,60,22,18,529.533333333333,3,12,398,205,122,401.158291457286,16,66,39,17,5,618.307692307692,0,2,135,70,36,433.274074074074,8,26,14,4,5,631.142857142857,1,3,13744,5791,912,3338,624.224825378347,2785
"MS",2010,2935,1119,895,709.832367972743,485,629,2742,1349,867,506.195113056163,357,764,19,5,7,1020.78947368421,3,4,128,63,48,376.9609375,14,15,15,10,3,217.066666666667,5,0,44,30,15,206.5,5,13,4,1,2,927,0,0,5887,2577,869,1837,603.879904875149,1425
"MT",2010,102,38,21,652.529411764706,14,35,1274,484,292,712.755886970173,226,380,1074,375,224,742.976722532588,86,312,107,37,26,780.177570093458,20,31,8,7,4,187.375,4,1,43,15,13,830.372093023256,9,7,6,2,1,780.666666666667,1,1,2614,958,360,581,726.065034429992,767
"NC",2010,5850,1824,1121,791.35452991453,531,1468,6365,2389,1389,646.317203456402,632,1642,346,146,81,633.653179190751,37,109,893,357,229,590.724524076148,54,170,46,21,12,397.065217391304,2,8,54,23,11,610.740740740741,4,11,53,9,12,811.641509433962,1,15,13607,4769,1261,2855,704.362166531932,3423
"ND",2010,136,59,25,437.830882352941,16,13,1043,456,294,532.957813998082,219,127,595,238,120,629.813445378151,128,53,79,26,20,597.20253164557,14,11,27,13,5,635.259259259259,0,4,26,25,3,81.8461538461538,4,0,7,2,4,389.142857142857,2,0,1913,819,383,471,553.759539989545,208
"NE",2010,1753,637,382,681.215059897319,331,305,4666,1864,1348,597.335619374196,790,834,737,266,217,622.888738127544,128,189,1093,472,319,566.277218664227,158,204,61,23,7,516.377049180328,11,13,236,106,63,528.957627118644,35,25,6,5,1,113.5,1,3,8552,3373,1454,2337,609.958138447147,1573
"NH",2010,96,40,19,776.145833333333,15,14,1053,385,219,840.468186134853,178,228,20,10,3,492.25,6,3,100,41,19,634.6,24,10,12,7,1,595.583333333333,2,1,85,38,24,740.6,12,16,2,1,0,538,0,1,1368,522,237,285,807.019005847953,273
"NJ",2010,6275,2124,1458,833.990798032683,693,2075,3129,1318,913,585.812281259943,272,1446,15,9,5,533,2,8,1896,804,574,540.892857142857,193,629,67,32,30,387.761194029851,8,23,683,358,319,344.823099415205,47,256,15,8,5,512.066666666667,1,6,12080,4653,1216,3304,692.871733575138,4443
"NM",2010,266,116,66,605.706766917293,16,24,964,499,354,444.283195020747,68,86,514,232,178,497.466926070039,97,62,1943,905,657,478.989706639218,74,243,10,1,7,373.3,0,0,15,11,14,91.2666666666667,2,0,4,2,2,617.75,0,1,3716,1766,257,1278,479.912540365985,416
"NV",2010,2358,830,565,686.393129770992,145,677,3051,1180,737,666.965585054081,218,776,183,57,35,794.27868852459,16,32,1798,730,463,574.700222469411,118,561,125,40,30,536.84,5,33,8,4,3,399.875,1,3,112,42,44,563.946428571429,11,20,7635,2883,514,1877,650.367648984938,2102
"NY",2010,20267,5887,4199,1072.20595056002,3877,4206,7886,2817,1967,789.998097895004,2167,722,176,69,35,645.113636363636,49,13,8166,2547,1939,970.629194219936,1433,1784,307,121,84,844.648208469055,60,70,3223,1164,768,1135.94415141173,710,653,1,0,1,678,0,1,40026,12605,8296,8993,997.380552640783,7449
"OH",2010,8769,3550,2426,662.381457406774,1312,1438,10765,4762,3084,554.722526706921,1236,1995,64,25,22,432.40625,9,10,621,275,181,522.357487922705,79,85,45,26,16,419.377777777778,5,10,733,613,437,164.512960436562,39,208,28,9,8,508.928571428571,2,5,21025,9260,2682,6174,584.341450653983,3751
"OK",2010,3513,899,784,913.514944491887,402,772,4915,1850,1235,681.14506612411,506,993,3340,1144,741,715.747604790419,279,741,1141,389,291,656.432077125329,113,228,85,32,24,699.117647058824,10,15,NA,NA,NA,NA,NA,NA,73,31,22,735.931506849315,9,16,13067,4345,1319,3097,750.72625698324,2765
"OR",2010,2897,820,565,973.450120814636,68,568,7728,2872,1688,845.517080745342,371,1360,256,98,78,738.07421875,5,23,1561,603,426,672.821909032671,32,336,78,32,10,790.410256410256,3,15,661,373,148,488.063540090772,16,126,82,28,22,997.268292682927,3,14,13263,4826,498,2937,833.861192791978,2442
"PA",2010,12362,4935,3139,714.446418476944,3401,2909,10727,4417,3163,637.633482475764,2273,2326,54,13,15,928.425925925926,12,8,2315,1015,670,608.658484065461,588,448,160,84,62,581.25625,45,26,584,201,164,547.206484641638,93,171,15,9,4,399.933333333333,0,1,26217,10674,6412,7217,669.408145382505,5889
"PR",2010,794,115,115,1764.88161209068,91,190,30,6,4,2084.6,7,6,3,0,1,1814.33333333333,0,2,4487,803,665,1600.34900824604,440,1481,6,0,1,1869.83333333333,0,2,39,16,5,546.179487179487,2,16,9,0,0,1897.77777777778,0,5,5368,940,540,791,1620.65257078987,1702
"RI",2010,889,370,250,645.169853768279,310,261,1625,660,448,666.553230769231,580,434,60,29,18,848,13,17,734,337,217,624.600817438692,301,150,80,23,29,642.025,27,19,76,45,26,270.723684210526,26,15,2,1,0,1057.5,0,0,3466,1465,1257,988,646.30525100981,896
"SC",2010,4068,1550,1397,765.80924287119,884,470,3721,1556,1249,583.057511421661,894,477,21,9,7,671.857142857143,4,2,381,202,150,395.307086614173,92,48,21,9,7,891.047619047619,4,1,67,59,44,107.328358208955,12,15,11,8,5,340.545454545455,1,3,8290,3393,1891,2859,660.945597104946,1016
"SD",2010,218,120,110,426.293577981651,43,16,872,447,328,490.410550458716,181,133,1705,840,447,474.439882697947,280,261,74,40,35,529.810810810811,19,9,15,7,9,427,2,3,3,3,3,66.3333333333333,1,1,5,2,1,322,0,2,2892,1459,526,933,476.109958506224,425
"TN",2010,3773,1798,1551,454.891598197721,603,204,7816,3846,2479,443.650588536336,883,649,41,9,19,573.853658536585,2,2,636,293,224,431.298742138365,49,25,33,22,12,382.151515151515,5,1,469,305,170,296.445628997868,45,42,13,8,5,296.461538461538,1,0,12781,6281,1588,4460,441.061810499961,923
"TX",2010,12708,4456,1989,813.749134403525,1638,3457,12698,5143,2299,672.386360056702,1819,3336,290,116,48,652.689655172414,37,42,16184,5986,2845,712.17103311913,2070,4225,199,95,38,576.532663316583,13,46,520,292,105,407.615384615385,19,168,59,21,19,516.898305084746,7,11,42658,16109,5603,7343,725.569154672043,11285
"UT",2010,322,144,70,592.54347826087,55,41,3124,1396,731,524.808898847631,370,585,251,76,54,687.96812749004,33,33,1132,562,302,459.970848056537,106,184,37,16,11,758.459459459459,3,3,6,4,1,312.333333333333,1,1,56,28,13,462.517857142857,3,18,4928,2226,571,1182,523.438920454545,865
