"FIPS","V2","mort","wht.inf.mort"
21,2008,11.7,6.3
22,2008,13.9,6.7
23,2008,7.5,6.1
24,2008,11.5,5.4
25,2008,6.4,4.6
26,2008,14.2,5.8
27,2008,8.2,4.6
28,2008,14.5,6.8
29,2008,13.3,6.1
30,2008,8.7,5.7
31,2008,10.2,5.4
32,2008,8.8,5.4
33,2008,7.6,5.1
34,2008,8.2,4.4
35,2008,7.2,5.8
36,2008,7.7,4.9
37,2008,14.3,6.2
38,2008,9.6,5.5
39,2008,14.4,6.2
40,2008,11.4,7
41,2008,6.9,5.4
42,2008,11.9,6.2
44,2008,9.4,5.6
45,2008,12.7,6.4
46,2008,12.9,6.1
47,2008,14,6.7
48,2008,9.8,5.7
49,2008,6.1,4.9
50,2008,8.8,5.2
51,2008,11.4,5.6
53,2008,6.5,4.8
54,2008,16,7.3
55,2008,13.2,5.3
56,2008,13.8,6.9
1,2007,13.6,7.1
2,2007,9.2,5.1
4,2007,8.5,6.4
5,2007,13,6.9
6,2007,6.5,4.9
8,2007,9.8,5.8
9,2007,10,5
10,2007,13.8,6.3
11,2007,14.5,7.1
12,2007,11.2,5.7
13,2007,12.3,5.9
15,2007,6.7,5.4
16,2007,7.7,6.4
17,2007,12.5,5.8
18,2007,14.9,6.8
19,2007,8.9,5.1
20,2007,13,6.5
21,2007,11.8,6.3
22,2007,14.1,6.7
23,2007,7.4,6
24,2007,11.6,5.4
25,2007,6.4,4.6
26,2007,14.7,6
27,2007,7.5,4.5
28,2007,14.9,6.7
29,2007,13.4,6.3
30,2007,8.9,5.6
31,2007,10.5,5.4
32,2007,8.9,5.5
33,2007,8.1,5.1
34,2007,8.3,4.4
35,2007,7.8,5.7
36,2007,7.8,5
37,2007,14.4,6.2
38,2007,9.4,5.9
39,2007,14.3,6.3
40,2007,11.3,7.1
41,2007,6.5,5.5
42,2007,12.3,6.2
44,2007,9.2,5.9
45,2007,13.2,6.3
46,2007,12.5,5.8
47,2007,14.7,6.8
48,2007,10.5,5.6
49,2007,6,4.9
50,2007,8.3,5.3
51,2007,11.7,5.8
53,2007,6.4,4.9
54,2007,15.8,7.2
55,2007,13.4,5.2
56,2007,13.9,6.7
1,2006,13.5,6.9
2,2006,9.1,4.9
4,2006,8.3,6.3
5,2006,13.4,7
6,2006,6.5,4.9
8,2006,10.5,5.7
9,2006,10.4,4.9
10,2006,14.2,6.5
11,2006,14.2,6.5
12,2006,11.4,5.8
13,2006,12.6,6.1
15,2006,7,5.1
16,2006,6.7,6.3
17,2006,12.9,5.9
18,2006,15,6.8
19,2006,9.1,5
20,2006,12.5,6.4
21,2006,12,6.4
22,2006,14.3,6.8
23,2006,7.5,5.6
24,2006,11.3,5.5
25,2006,6.4,4.6
26,2006,15,6
27,2006,7.1,4.6
28,2006,15.1,6.7
29,2006,13.5,6.5
30,2006,9.1,5.9
31,2006,11.2,5.4
32,2006,9.5,5.3
33,2006,7.1,5.1
34,2006,8.5,4.4
35,2006,8.2,5.6
36,2006,8,5.1
37,2006,14.5,6.1
38,2006,9.3,5.7
39,2006,14.9,6.3
40,2006,11.2,7.1
41,2006,6.8,5.5
42,2006,12.3,6.2
44,2006,8.9,5.9
45,2006,13.6,6.3
46,2006,13.4,5.6
47,2006,15.3,7
48,2006,10.8,5.6
49,2006,6,5
50,2006,5.5,5.2
51,2006,11.6,5.7
53,2006,6.4,5.1
54,2006,16.6,7.5
55,2006,13.9,5.2
56,2006,11.6,6.7
1,2005,13.7,6.9
2,2005,9.2,5.2
4,2005,9.1,6.3
5,2005,13.2,6.9
6,2005,6.7,5
8,2005,10.7,5.7
9,2005,10.6,4.9
10,2005,15,6.9
11,2005,14.3,6.1
12,2005,11.7,5.7
13,2005,12.7,6.2
15,2005,6.9,5.7
16,2005,5.8,6.2
17,2005,13.3,5.9
18,2005,14.2,6.8
19,2005,9,5.1
20,2005,12.3,6.5
21,2005,11,6.2
22,2005,14.1,6.9
23,2005,9.1,5.5
24,2005,11.7,5.4
25,2005,6.7,4.6
26,2005,15.4,6
27,2005,7.3,4.6
28,2005,15.1,6.7
29,2005,13.7,6.5
30,2005,8.2,6.2
31,2005,11.8,5.7
32,2005,9.5,5.2
33,2005,5.5,4.7
34,2005,8.9,4.6
35,2005,8.4,5.7
36,2005,8.1,5.1
37,2005,14.7,6.2
38,2005,9.7,6.3
39,2005,14.9,6.3
40,2005,10.8,7
41,2005,6.3,5.6
42,2005,12.2,6.2
44,2005,9.3,5.9
45,2005,13.9,6.3
46,2005,13.3,5.8
47,2005,15.4,7
48,2005,10.8,5.6
49,2005,5.8,5
50,2005,4.8,5.2
51,2005,12,5.7
53,2005,6.4,5.4
54,2005,14,7.6
55,2005,14,5.4
56,2005,9.9,6.6
1,2004,13.9,6.7
2,2004,9.4,5.4
4,2004,9.5,6.2
5,2004,13.1,7.1
6,2004,6.7,5
8,2004,11,5.6
9,2004,10.9,5
10,2004,14.4,7.3
11,2004,14.2,4.9
12,2004,11.8,5.6
13,2004,12.9,6.2
15,2004,7.3,5.8
16,2004,5.9,6.5
17,2004,13.6,6.1
18,2004,14,6.8
19,2004,9.7,5.3
20,2004,11.7,6.4
21,2004,10.9,6.3
22,2004,13.8,6.6
23,2004,9.3,5
24,2004,12,5.4
25,2004,6.9,4.4
26,2004,15.6,6.1
27,2004,7.7,4.6
28,2004,14.8,6.7
29,2004,13.8,6.4
30,2004,8.4,6
31,2004,13.1,5.9
32,2004,9.7,5.4
33,2004,5.4,4.8
34,2004,9.3,4.8
35,2004,8.2,5.9
36,2004,8.4,5.2
37,2004,14.6,6.1
38,2004,10.9,6.6
39,2004,14.6,6.3
40,2004,10.8,7.2
41,2004,6.3,5.5
42,2004,12.6,6.1
44,2004,9,6
45,2004,14.1,6
46,2004,13.1,5.5
47,2004,16.2,6.8
48,2004,10.4,5.5
49,2004,6.3,5.1
50,2004,1.3,5.2
51,2004,11.8,5.6
53,2004,6.5,5.4
54,2004,13.8,7.5
55,2004,14,5.4
56,2004,11.3,6.5
