"stname","year","cl.blk","ent.blk","reun.blk","lifelos.blk","grp.inst.blk","cl.white","ent.white","reun.white","lifelos.white","grp.inst.white","cl.nat.am","ent.nat.am","reun.nat.am","lifelos.nat.am","grp.inst.nat.am","cl","ent","reun","lifelos","grp.inst","state","tot","child","child.pov","wht","wht.child","wht.child.pov","wht.lessHS","blk","blk.child","blk.child.pov","blk.lessHS","amind","amind.child","amind.child.pov","amind.lessHS","lessHS","latino","latino.child","latino.child.pov","latino.lessHS","foreign","foreign.child","foreign.child.pov","foreign.lessHS","adult","welf","wht.welf","w.adult","b.adult","a.adult","l.adult","blk.welf","latino.welf","amind.welf","wht.unemp","blk.unemp","latino.unemp","amind.unemp","unemp","wht.emp","blk.emp","latino.emp","amind.emp","emp","blk.singpar","latino.singpar","amind.singpar","wht.singpar","singpar","wht.f","blk.f","amind.f","f","incartot","new.incar","WHITEM","WHITEF","BLACKM","BLACKF","AIANM","AIANF","incar.f","incar.m","statename","inst6014_nom","St","v.crime.rt","pctblk1930","pctimm1930","pctami1930","boarding.n","board"
"HI",2014,157,78,63,422.910828025478,17,309,186,118,346.032362459547,25,93,42,30,488.064516129032,12,2140,1076,720,473.564485981308,186,15,1392704,306369,49421,318740,41601,5667,0.0339667726344196,26546,5434,621,0.0352244188292871,3155,433,57,0.121929824561404,0.0947517144385153,133204,49796,9928,0.125705902766823,273013,21818,4320,46012,1086335,23145,3945,277139,21112,2722,83408,337,2487,149,9796,1423,4929,121,45201,175267,16101,54873,1518,687970,957,15710,327,8334,70900,123805,7762,1181,542324,5390,1883,1178,199,248,27,29,3,585,4805,"Hawaii",84.90182,"Hawaii",259.2,0.00207086545620571,0.315425443036757,5.46191336672475e-05,0,FALSE
"IA",2014,1639,616,415,627.995729103112,275,6420,2484,1831,553.242679127726,789,296,122,105,565.52027027027,18,10032,3908,2841,554.642145135566,1282,19,3078116,724773,128476,2702199,582566,80272,0.068951512481082,95894,33102,15724,0.159603977296974,9096,2158,669,0.179064824654623,0.0857530144109152,162951,66607,22785,0.420890937019969,159407,19153,5202,35290,2353343,37038,29576,2119633,62792,6938,96344,3900,1732,456,72550,5734,6858,462,89537,1407652,36183,69029,3879,1561617,20732,25607,763,135155,196332,1086853,29884,3483,1199445,8845,5471,5160,562,2134,138,145,18,755,8090,"Iowa",34.38456,"Iowa",273.5,0.00581192501363513,0.0698493080536534,0.000112490176994651,0,FALSE
"ID",2014,85,35,30,583.305882352941,7,1717,796,700,431.343622597554,113,207,80,72,562.550724637681,14,2435,1138,979,440.233675564682,168,16,1599464,428138,87480,1333699,326517,54918,0.0733778284976542,8733,2923,588,0.192041522491349,20389,6002,2321,0.17631156543043,0.10775696402232,186114,75137,25612,0.439552380051102,108725,10734,4172,33334,1171326,22213,18828,1007182,5810,14387,110977,113,1787,474,47496,609,9240,1620,60983,604167,3310,74093,7025,708201,1149,21565,2998,68003,97582,510013,2151,7503,589157,7497,4611,5319,817,211,18,264,65,766,6731,"Idaho",8.784706,"Idaho",212.2,0.00134754475879614,0.0755843853635949,0.00707960492726857,0,FALSE
"IL",2014,11537,2468,1066,1393.46732535968,1101,8771,2213,1142,940.435868202029,629,37,9,5,1141.78378378378,3,22075,5166,2455,1183.58375611524,1845,17,12868747,3054401,647591,8088505,1600940,186977,0.0705462979277845,1851573,494628,221420,0.162537131537428,27545,6697,1653,0.197202242736592,0.124358738294533,2095844,725960,204519,0.382163786059032,1868812,119210,31075,447623,9814346,147835,68568,6487565,1356945,20848,1369884,50422,21739,594,340789,178907,116407,2260,670894,4087095,665966,907459,11118,6040120,321116,219976,1893,317838,903136,3344626,739269,10823,5061427,48278,29742,12641,1391,26765,1250,50,17,2888,45390,"Illinois",83.17535,"Illinois",370,0.0436510896704775,0.164392783272729,3.70494303944677e-05,0,FALSE
"IN",2014,6326,2494,1426,671.528909952607,515,13239,5816,3411,507.164401147863,814,102,28,30,683.774509803922,8,21258,9107,5267,555.926079187435,1430,18,6542411,1590962,367666,5287380,1162826,200480,0.1079923942314,595730,172788,78337,0.156614242840193,15092,3052,687,0.252623617282783,0.124706141464997,410837,160188,61840,0.370663692709351,342852,37947,11444,74120,4951449,65345,47076,4124554,422942,12040,250649,12555,3483,210,212308,48909,19272,879,289262,2518919,223616,164115,6009,2997183,113091,57816,1156,297894,503872,2123516,224534,5950,2544387,28073,17439,15657,2309,9284,465,54,9,2700,25373,"Indiana",10.24458,"Indiana",365.3,0.0350735824288378,0.0435289209842896,0.000174384541828791,0,FALSE
"KS",2014,1872,612,341,796.140491452991,136,6739,2667,1504,595.774595637335,316,267,102,39,615.419475655431,13,10095,3844,2204,634.005052005944,533,20,2882946,724474,140473,2232073,492208,64996,0.0687480875842966,165884,47626,18555,0.13263900661129,24389,7142,2354,0.122930920326639,0.102222068442059,315996,126015,42683,0.414207801173628,217291,22968,6988,59534,2158472,30358,20834,1739865,118258,17247,189981,4399,2732,678,64914,11706,12525,1744,97600,1137897,67117,132450,9993,1404222,25068,43894,3178,108301,195964,891117,57602,8548,1096817,9644,5732,4960,541,2791,146,138,21,789,8855,"Kansas",5.382538,"Kansas",348.6,0.0370760680538641,0.0423771980119046,0.00138586697622198,1,TRUE
"KY",2014,2294,1058,649,539.683522231909,447,9301,4218,2602,522.12901838512,1436,19,11,7,335.947368421053,4,12631,5766,3576,520.660913625208,1992,21,4383272,1017272,280045,3759466,816010,195042,0.162701289287009,348206,92385,44267,0.157762751983858,8822,1848,839,0.232683254875588,0.166282417952618,140564,53608,23307,0.339915119044036,174333,23829,8703,31081,3366000,53375,42733,2943456,255821,6974,86956,7687,1675,146,154869,25440,6933,691,192621,1638536,138016,59770,3382,1883411,57375,21231,560,216028,315649,1519784,131021,3513,1731304,12114,18502,13904,2303,4701,232,15,2,1333,10781,"Kentucky",62.28866,"Kentucky",211.6,0.089531819390877,0.00825382198237616,0,0,FALSE
"LA",2014,3756,1954,1401,505.85910652921,359,3812,1913,1163,469.66928721174,212,33,11,15,444.411764705882,4,7910,4080,2694,481.673926727937,594,22,4601049,1115068,320702,2748849,580919,87608,0.130750369601543,1476584,420256,201433,0.236996846194295,28458,7105,1854,0.343774603531661,0.170629491324912,210672,60689,18711,0.278581898131184,200903,14893,3912,40666,3485981,31147,14486,2167930,1056328,21353,149983,14427,869,308,85866,90820,8434,1355,190739,1289482,562839,100538,11592,2020146,269940,23443,2591,143609,454444,1112558,567973,10561,1805706,18710,16458,10969,1099,24812,971,19,4,1104,17606,"Louisiana",14.02937,"Louisiana",514.7,0.370303584391584,0.0179567112163252,0.0006063611645974,0,FALSE
"MA",2014,3438,1572,792,629.035194880745,599,6818,2899,1570,624.76312701672,945,217,69,42,726.096774193548,9,14999,6687,3597,608.276951796786,2180,25,6657291,1402080,226835,4991630,920955,81487,0.0732794892602176,467430,123518,38899,0.180033056400655,14598,3327,1262,0.232536973833902,0.105550004012354,682250,221855,88131,0.32606048882618,1078247,74412,17940,201664,5255211,91506,50137,4070675,343912,11271,460395,12084,21308,562,210474,36705,45506,1775,315106,2621501,210418,275394,5628,3353516,68881,120522,1853,184324,400173,2127952,181390,5601,2747468,10447,2565,4252,497,2898,95,63,2,720,9727,"Massachusetts",91.44836,"Massachusetts",391.4,0.0116627722875016,0.253468849025441,3.74868585916936e-05,0,FALSE
"MD",2014,3964,1258,999,1070.84964682139,461,1892,609,474,746.78488372093,273,5,2,1,532.2,0,6429,2097,1608,935.853787525276,778,24,5887776,1348767,194117,3150839,609350,47039,0.0753851156636503,1740466,435301,101321,0.118222682471969,16698,3532,542,0.225099786503295,0.110366397306172,515825,164824,28347,0.374009469313528,901371,74953,12310,147938,4539009,69939,26572,2541489,1305165,13166,351001,35689,4170,323,105327,114783,22926,1003,258826,1655925,823550,265060,8355,2974555,229433,54545,1077,112012,424261,1312173,715198,6896,2376528,21266,9259,5419,442,14463,460,50,4,929,20337,"Maryland",85.86098,"Maryland",446.1,0.170567315737493,0.0590080714604611,0,0,FALSE
