"stname","year","cl.blk","ent.blk","reun.blk","lifelos.blk","grp.inst.blk","cl.white","ent.white","reun.white","lifelos.white","grp.inst.white","cl.nat.am","ent.nat.am","reun.nat.am","lifelos.nat.am","grp.inst.nat.am","cl","ent","reun","lifelos","grp.inst","state","tot","child","child.pov","wht","wht.child","wht.child.pov","wht.lessHS","blk","blk.child","blk.child.pov","blk.lessHS","amind","amind.child","amind.child.pov","amind.lessHS","lessHS","latino","latino.child","latino.child.pov","latino.lessHS","foreign","foreign.child","foreign.child.pov","foreign.lessHS","adult","welf","wht.welf","w.adult","b.adult","a.adult","l.adult","blk.welf","latino.welf","amind.welf","wht.unemp","blk.unemp","latino.unemp","amind.unemp","unemp","wht.emp","blk.emp","latino.emp","amind.emp","emp","blk.singpar","latino.singpar","amind.singpar","wht.singpar","singpar","wht.f","blk.f","amind.f","f","incartot","new.incar","WHITEM","WHITEF","BLACKM","BLACKF","AIANM","AIANF","incar.f","incar.m","statename","inst6014_nom","St","v.crime.rt","pctblk1930","pctimm1930","pctami1930","boarding.n","board"
"NM",2011,266,128,92,508.548872180451,20,968,504,356,417.787190082645,50,460,210,144,538.65,54,3637,1779,1284,465.92521308771,209,35,2037136,514909,149718,832947,137764,17958,0.0633585388833861,40909,11493,3760,0.130310203064657,190253,59183,23990,0.250574218330026,0.170407081295855,934677,296387,102986,0.292747499806187,219637,23131,9824,82123,1522227,24643,8015,695183,29416,131070,638290,1136,11676,3543,25714,1510,41735,9732,79943,407784,17605,384159,66305,894608,5790,115148,27201,34572,184126,355949,13339,68384,778704,6687,3492,1561,203,505,55,498,51,617,6070,"New Mexico",40.88403,"New Mexico",572.7,0.00709350576941856,0.0569295007878273,0.0704229681493487,14,TRUE
"NV",2011,2342,831,555,681.944918872758,137,3025,1151,668,641.67041322314,268,193,74,48,768.533678756477,36,7525,2778,1800,641.564651162791,548,32,2673396,662037,128326,1466544,267709,29588,0.0820509602226267,214289,60248,19109,0.12996997471555,29177,7840,2237,0.158411448222309,0.157830033476972,698179,256433,70067,0.426615594222309,548719,43093,12099,151363,2011359,31102,15274,1198835,154041,21337,441746,5144,7307,549,73534,15476,40371,2669,145416,729223,89371,297082,11420,1254055,33054,80508,3419,70159,205429,589775,76740,11428,999863,12159,5923,5199,618,3466,210,210,22,892,11267,"Nevada",42.22821,"Nevada",568.1,0.00494195061872431,0.166356703041664,0.0476970466173647,0,FALSE
"NY",2011,17223,3595,3374,1153.13540033676,3204,7324,2430,1783,797.157291097761,1871,189,84,51,605.793650793651,50,37344,11122,8141,997.529027420737,7112,36,19302448,4345989,926493,11337952,2237352,286025,0.0893226514745701,3013309,773354,250318,0.199793071577537,66590,16613,5133,0.25485903330171,0.155170833570333,3354609,962419,327701,0.357350043569047,4373325,270892,68721,982681,14956459,281704,97268,9100600,2239955,49977,2392190,91612,76779,1871,385293,183057,171173,4355,800483,5611923,1265593,1442809,27613,9074550,446567,445813,7483,421924,1355955,4726024,1241676,25678,7838052,55196,23653,11915,899,26525,937,303,22,2322,52874,"New York",76.68759,"New York",397.2,0.0327254784399775,0.26090113387108,0.000628304299782389,0,FALSE
"OH",2011,8717,3785,2509,614.739704026615,1362,11115,5073,3337,519.084750337382,1280,87,50,38,450.195402298851,10,21540,9934,6523,542.863184772516,2795,39,11525536,2742082,611130,9384071,2051823,333892,0.110589716313616,1391542,401078,189327,0.183786532687948,22567,4598,1670,0.219277108433735,0.1225751937315,343129,131157,48137,0.2901521440127,499037,53180,12704,68276,8783454,164761,110135,7332248,990464,17969,211972,44410,5311,658,399588,116485,19585,1710,552362,4523035,520511,134677,9644,5336371,264642,54734,2012,491373,867838,3794802,533930,8686,4559908,50961,22153,22701,2739,22829,1102,49,3,3903,47058,"Ohio",14.01641,"Ohio",305.2,0.0442433212060607,0.0980404833076472,4.3160825843374e-05,0,FALSE
"OK",2011,3207,1050,676,860.658871219208,431,4789,1990,1010,625.384631447066,491,3320,1246,622,671.885843373494,308,12632,4829,2638,695.42803989867,1397,40,3714520,920813,229944,2568614,521753,94876,0.117649115052231,268604,77522,33963,0.147139602993817,258964,84246,24394,0.163363547542807,0.143734195480845,317400,126635,47886,0.441108366236636,228008,23805,8111,60905,2793707,56456,36753,2046861,191082,174718,190765,7418,2776,4524,69323,14587,10018,11264,116653,1244546,107666,133436,105399,1707714,44002,42563,27934,129990,280265,1053117,97420,92873,1428165,23750,7477,11654,1422,6772,525,1929,304,2342,21408,"Oklahoma",11.08666,"Oklahoma",457.5,0.0684716119456233,0.0129687961326205,0.0380720341630134,43,TRUE
"OR",2011,1520,375,443,1063.00592105263,66,7556,2407,1800,830.356934886183,323,1578,567,249,846.697718631179,44,12991,4250,3235,830.02732661073,491,41,3801991,864236,182397,2998760,579060,94844,0.0778234334286817,67539,19321,8514,0.132264995987263,58441,17888,6555,0.28768087124109,0.111172764259819,434603,174377,60943,0.446161660866242,402314,38721,13020,100919,2937755,52904,40292,2419700,48218,40553,260226,2309,4631,1619,147542,4908,21751,3943,189944,1421594,27151,179535,24013,1756563,11188,54905,6578,150861,241605,1243016,22074,18720,1498404,13728,5320,9552,949,1302,77,338,36,1049,12679,"Oregon",72.35201,"Oregon",249.3,0.00242112003264832,0.120504694218476,0.00411978481845742,3,TRUE
"PA",2011,11153,4541,2739,692.481036492424,2977,10008,4369,2846,619.124600319744,2048,49,27,16,638.061224489796,8,23759,10059,6324,649.364240919231,5612,42,12660739,2802210,526497,10115628,2009236,240916,0.103536463276137,1355067,379595,153527,0.180665467283371,18323,4526,1111,0.178939303651996,0.121661327488338,688613,250650,97623,0.339419012501124,783090,72825,15656,130851,9858529,206851,115353,8106392,975472,13797,437963,60628,22750,822,358091,94740,41912,1270,513145,4983643,501245,251871,7337,5947288,240840,117251,2402,430326,833145,4208868,525931,6548,5127211,49710,18349,18402,1665,24625,875,37,12,2770,46940,"Pennsylvania",25.27934,"Pennsylvania",362.4,0.0448140016603335,0.130520329565677,1.46404291746377e-05,1,TRUE
"RI",2011,842,319,270,669.579572446556,250,1521,581,448,647.030243261013,463,58,22,13,811.827586206897,12,3209,1219,964,657.331879090059,1005,44,1053959,226309,42517,812510,147004,14947,0.127609880264122,63004,18764,7020,0.254107436779889,4217,1361,433,0.242687747035573,0.162195186815999,127545,45027,17134,0.414442649951229,142568,9857,2826,42401,827650,12279,7201,665506,44240,2856,82518,1302,2845,114,32409,4228,9663,474,48603,417818,26829,50648,1480,517195,11215,22344,729,33990,72920,350372,22874,1634,434833,3032,866,1405,108,934,34,16,4,148,2884,"Rhode Island",78.75034,"Rhode Island",246.1,0.0150367508126797,0.251241902213794,0.000883588647164159,0,FALSE
"SC",2011,3548,1343,1219,787.702085682074,754,3348,1385,1154,601.73476702509,799,23,9,12,676,3,7354,2938,2555,682.230894751156,1642,45,4575865,1074967,273307,2939994,598272,86554,0.125369517046266,1283000,352177,146264,0.235259021736274,14722,3145,1045,0.26319587628866,0.165006436047256,222375,77070,30097,0.406732728283015,251219,26650,7304,51091,3500898,34073,16777,2341722,930823,11577,145305,15829,945,263,115759,94979,10798,1127,227097,1382787,500901,98118,6486,2034971,210185,26015,1852,129595,381558,1210202,507621,5581,1822685,22363,7334,6676,762,14241,589,33,3,1376,20987,"South Carolina",2.580879,"South Carolina",596.9,0.453026893948058,0.00363686642230522,0.000416644941541889,0,FALSE
"SD",2011,231,143,93,438.787878787879,57,826,391,344,512.135593220339,142,1669,803,461,502.53924505692,307,2836,1407,942,494.944640338505,528,46,807697,200386,38984,686215,151576,17098,0.0886935772865718,9427,3665,1194,0.205378973105134,69853,27936,15573,0.235449735449735,0.102364837933844,21575,8677,2800,0.25575988163179,24125,3443,985,4106,607311,8957,4728,534639,5762,41917,12898,277,398,3506,12254,722,778,6996,21346,375076,3989,8472,18182,413471,1954,3835,14549,31713,55329,270620,1864,21380,306297,3562,2831,1920,228,195,9,861,195,454,3108,"South Dakota",22.85037,"South Dakota",255.6,0.00118257006755081,0.0967755995336592,0.0345340575472967,6,TRUE
"TN",2011,3178,1468,1012,488.596916299559,631,7958,3802,2347,437.148404121639,958,30,16,9,600.566666666667,2,13010,6573,3954,427.996541122214,1767,47,6297991,1491035,371572,4783015,1016060,185722,0.15540480524474,1044811,302158,127062,0.196430254847123,15210,3083,938,0.273516504483877,0.169582999423703,276714,103179,41431,0.420580249786673,324878,38609,13139,64350,4806956,76487,45333,3766955,742653,12127,173535,27181,1976,289,188973,77318,12732,859,286438,2214374,425126,120486,6707,2836557,186222,32763,758,232326,473289,1954401,404491,5823,2500634,19831,14305,12772,1718,12637,656,30,7,1178,18653,"Tennessee",11.13216,"Tennessee",607.8,0.183810548916498,0.00523052037341136,3.86647189943595e-05,0,FALSE
"TX",2011,13329,4402,2414,756.136244279391,1511,13395,5005,3141,618.257110862262,1758,330,119,66,556.754545454545,37,45826,16903,9513,660.465128966089,5445,48,24774187,6773881,1720058,11353570,2336506,248644,0.0823481665284192,2910373,835092,280825,0.150076814767264,120511,32102,9754,0.253744445054041,0.197537165775774,9213223,3232029,1142646,0.417370135637897,4253242,389565,136651,1478744,18000306,167447,59740,9017064,2075281,88409,5981194,35113,64576,1020,338557,169762,341857,6421,894602,5698837,1244089,3844966,54707,11389123,457643,1011072,9904,481127,2013991,4608664,1099462,43502,9175030,159956,73447,46911,6356,57207,4604,79,36,12750,147206,"Texas",8.660797,"Texas",408.6,0.144891223174954,0.0631082980873482,0.000216751792953316,0,FALSE
"UT",2011,289,85,58,725.404844290657,30,3115,1345,839,527.892455858748,314,272,115,59,655.8125,33,4855,2034,1288,538.109783728115,489,49,2715379,851122,121408,2193105,647788,66865,0.0571556419829994,29524,11764,2647,0.166133455210238,30926,9898,3341,0.220382476935297,0.0938890000127105,343390,137445,41722,0.362852689710023,244556,27898,7769,55108,1864257,20347,15516,1545317,17760,21028,205945,453,2416,659,64734,1317,16224,2058,89076,1040590,11737,144290,11016,1257807,3518,36873,2906,89217,140774,782356,7112,10514,937397,5294,3259,4131,416,435,28,242,34,512,4782,"Utah",4.519295,"Utah",197.1,0.00258372219561786,0.09767691914233,0.00551273645119654,1,TRUE
"VA",2011,3236,963,524,905.254556688292,501,3874,1437,714,654.900361383583,473,16,5,3,675.875,1,7836,2614,1384,761.144060227128,1051,51,7926192,1843368,280641,5173230,1060350,103033,0.106150947796389,1542297,403211,116944,0.197582309079296,25777,5316,697,0.226844148641154,0.135901120444221,604193,195335,39875,0.318405712528785,967657,90349,13310,145090,6082824,66402,33404,4112880,1139086,20461,408858,26369,2998,286,140829,82412,24170,1082,265838,2654804,708231,309441,12629,3960811,212877,57704,1669,201861,509004,2108673,606890,9989,3134286,30531,11140,12416,1593,21636,1175,12,0,2305,28226,"Virginia",24.60934,"Virginia",197.6,0.279419273535332,0.00962492186897002,0.00048034474239203,0,FALSE
"VT",2011,37,17,7,585.368421052632,7,1475,632,326,634.781081081081,224,0,0,0,0,0,1546,664,339,631.92912371134,234,50,624958,130001,19178,590006,119039,16677,0.0882563950324081,5438,1752,484,0.0876826722338205,1785,208,135,0.256505576208178,0.0899115682233727,9536,2964,641,0.0879363676535572,29338,2777,312,3270,494957,9561,8818,470967,3686,1577,6572,83,150,25,20321,190,322,98,21543,317664,2136,4761,981,332623,964,869,149,34008,38088,241602,1760,629,253814,2053,2044,1637,132,195,7,9,3,148,1905,"Vermont",90.08125,"Vermont",147.6,0.0017444919223594,0.128307066621787,0,0,FALSE
"WA",2011,2512,940,573,744.007165605096,133,7869,2952,1777,627.344008133181,332,1928,595,376,761.622925311203,64,15055,5643,3438,655.334573231485,604,53,6652845,1568426,279337,4865064,968912,118099,0.0668629149580275,232461,64781,22902,0.132530648305673,93220,27256,9139,0.187553330678651,0.10215967333671,724016,286538,98901,0.403696795083033,944614,95031,26966,185241,5084419,122559,81281,3896152,167680,65964,437478,9395,14488,4317,196068,15336,36429,6950,284407,2419151,102456,296069,34755,3188930,31734,97436,12621,224155,419723,1977804,75545,33401,2572844,17109,16365,10044,930,3167,172,639,88,1295,15814,"Washington",78.69927,"Washington",295.3,0.00444508695016626,0.171641680086608,0.0075624787338454,1,TRUE
"WI",2011,4132,1554,1045,795.074468085106,653,4844,2022,1425,577.411764705882,736,563,254,168,597.921985815603,89,10833,4442,3087,659.108404834394,1627,55,5664893,1338252,238839,4740847,993364,113468,0.0805599429670647,350985,118412,59591,0.212530026406971,49137,14718,5642,0.14541547277937,0.101752671125477,323358,130101,41175,0.391868382782663,285075,31943,6999,63676,4326641,48346,33695,3747483,232573,34419,193257,8059,2815,1082,164859,27966,15753,3803,220317,2510471,125245,132486,19440,2865945,84187,46069,7043,217228,380765,1910113,121205,17231,2199897,22388,6411,9394,723,9195,322,597,69,1176,21212,"Wisconsin",3.156693,"Wisconsin",249.9,0.00411171790752704,0.130796454760402,0.00381808138023746,4,TRUE
"WV",2011,881,388,263,557.174801362088,251,6415,3002,1900,508.28807482463,1634,21,8,2,847.428571428571,8,7505,3486,2224,512.710992671552,1931,54,1846372,388070,98741,1721032,351051,85658,0.176590670848594,58803,13204,5427,0.149588712752628,3399,507,45,0.120423108218063,0.176042790710892,21801,7283,2157,0.207907105335914,30388,3360,933,3551,1458302,19611,17355,1369981,45599,2892,14518,1251,263,101,56456,2188,725,195,61646,721958,20920,8185,1133,765835,7836,1817,23,88785,106101,706276,20508,1132,748518,5149,3415,5193,695,787,53,12,0,496,4653,"West Virginia",76.30331,"West Virginia",296.3,0.0686647654845887,0.0320006860316562,1.1492857992737e-05,0,FALSE
"WY",2011,99,47,30,668.757575757576,30,1438,765,622,434.478442280946,484,50,21,21,523.06,12,1900,996,825,437.108947368421,625,56,554697,133021,19744,479099,106097,13678,0.0677963974535563,3923,804,392,0.115716753022453,13000,4936,1343,0.164506953223767,0.0801937567276642,46413,16691,3661,0.225161871274817,19976,2279,610,3341,421676,4139,3454,373002,3119,8064,29722,85,270,290,11238,258,1491,822,14134,258324,1646,20431,4630,290243,391,5318,1967,22399,31291,184389,1049,4047,207666,2162,867,1522,199,88,5,101,17,238,1924,"Wyoming",5.145569,"Wyoming",219.4,0.00435686976743154,0.0934231565493506,0.0115467655432108,0,FALSE
"AK",2010,241,74,56,743.49377593361,12,700,247,118,733.622857142857,33,1618,487,306,741.291100123609,87,2733,897,513,722.085986095865,135,2,691189,185127,26841,444526,99404,9586,0.0537127376793734,22611,5932,622,0.0933282208588957,98097,32434,8575,0.201780299325051,0.0911465546057972,38500,14246,2157,0.24095352426685,60596,6252,744,8990,506062,18540,8481,345122,16679,65663,24254,509,831,5272,15414,835,1490,9121,30263,247698,12634,18240,33091,351478,1889,4409,12730,21486,51826,161974,7288,33301,242402,5369,2650,2332,350,491,37,1784,218,605,4764,"Alaska",42.48138,"Alaska",638.8,0.00303090224513527,0.17968472137768,0.439735425382507,2,TRUE
"AL",2010,3468,1118,704,970.522052464687,539,4160,1735,975,641.528846153846,534,37,9,5,1107.40540540541,1,8119,3063,1844,777.758620689655,1092,1,4712651,1132376,285480,3189743,684041,104415,0.162128076140928,1233049,349400,149252,0.235963519798237,24887,6303,1669,0.260489400515821,0.186740857418593,162112,58304,21923,0.440065855860641,185381,21112,6077,37054,3580275,30470,14586,2505702,883649,18584,103808,14856,422,167,103353,78511,6788,1307,193277,1459102,470941,73382,10721,2055317,205329,18101,2165,143530,380106,1296870,488441,9390,1874900,27345,12272,11257,1535,17550,910,1,1,1806,25539,"Alabama",41.78271,"Alabama",377.8,0.351879028652581,0.00621917820438949,9.15894079085531e-05,0,FALSE
"AR",2010,2296,1092,824,538.77743902439,416,4552,2562,1769,402.73572056239,832,108,51,24,615.944444444444,32,7474,3977,2826,446.818169654803,1378,5,2872684,706103,190049,2158887,467920,89208,0.155767274072704,443937,134646,64303,0.22688007210078,19970,5213,1709,0.197525597269625,0.180249225874557,167345,67696,26322,0.500852618757613,137571,16746,6002,39403,2166581,22565,13876,1690967,309291,14757,99649,6705,1257,155,69243,29940,5952,1103,109134,984729,166466,69390,8409,1259962,83354,22664,1515,110267,228570,872466,166902,8117,1119984,14192,7667,7611,843,6903,282,24,7,1098,13094,"Arkansas",74.58361,"Arkansas",505.3,0.257666825748038,0.00587543984683316,0.000172936811256834,0,FALSE
"AZ",2010,2371,1055,555,526.108393083087,388,6523,3098,1563,486.106699371455,826,1183,565,293,494.14877430262,147,17110,7891,4201,486.082349503215,2114,4,6246816,1614187,361471,3666926,689645,76812,0.0716412821701214,240487,72507,21997,0.121335077566647,277770,93965,40231,0.280387107609198,0.151251424750868,1815097,682704,215024,0.382526348119373,946282,93696,34770,280421,4632629,58866,27357,2977281,167980,183805,1132393,3991,18081,8115,115910,13467,74445,18439,230603,1748449,99469,720619,88195,2767081,37054,227625,43409,163636,487361,1519793,78513,96101,2349662,40130,13801,13617,1856,4889,412,1804,296,3686,36444,"Arizona",5.460732,"Arizona",408.1,0.0262381312525237,0.158205115904187,0.0959802310806154,4,TRUE
"CA",2010,24676,7675,5192,1253.20472504762,3037,19946,7624,4917,787.074902236037,2411,2737,991,565,884.458896602119,232,92254,33536,22915,906.811275147416,9633,6,36637290,9330928,1878733,15105610,2677236,251268,0.068823323190868,2246923,587029,179394,0.130357071468808,284240,72496,21256,0.250071419592965,0.193409582437977,13457846,4659587,1275023,0.432853236278417,10281900,673469,200770,3105831,27306362,507959,160756,12428374,1659894,211744,8798259,84269,199962,7821,595967,148815,665954,19607,1644308,7513893,913550,5634932,117305,16777995,328343,1386626,27039,562014,2521006,6297611,854351,107164,13866748,162821,119116,38231,3489,44956,2819,1387,139,9774,153047,"California",49.84068,"California",440.6,0.0141793126799314,0.195705971495203,0.00349378357460497,5,TRUE
"CO",2010,2332,963,658,602.254716981132,841,5610,2498,1775,565.016755793226,1881,299,135,88,457.183946488294,61,12866,5753,4120,549.157313850459,4226,8,4887061,1203048,204957,3450751,712315,64162,0.0518459754375238,191197,53783,17505,0.126727765085694,48011,12543,3415,0.189623224212477,0.105756604754599,983346,354642,112612,0.354720076947014,535552,60779,16634,135302,3684013,40364,23083,2738436,137414,35468,628704,3174,10853,1133,114848,11438,43296,3354,180591,1869591,85300,414384,20835,2489525,28611,114342,5343,140000,302569,1385396,64929,17601,1853009,22752,10884,9020,1031,4083,326,495,89,2019,20733,"Colorado",78.68585,"Colorado",320.8,0.0100360192257353,0.0976729068989461,0.000654332105116704,2,TRUE
"CT",2010,2723,927,551,954.818215203819,451,2307,838,482,808.048981361075,408,31,11,6,1028.09677419355,6,7127,2482,1473,882.822225340255,1194,9,3545837,827585,106866,2567721,521447,28760,0.0816338787787621,342298,96529,25590,0.188273182447487,7941,1748,391,0.248278655326043,0.116204508456805,447511,151364,47129,0.326281298778364,491169,42387,6405,86474,2718252,49377,24610,2046274,245769,6193,296147,10679,12404,308,85422,24696,30052,600,147145,1337450,157249,191347,3326,1775230,53663,73405,662,87855,224733,1067761,132785,2826,1418615,18629,6358,5380,638,7664,390,33,0,1161,17468,"Connecticut",54.301,"Connecticut",281.4,0.0188816274027584,0.239623073501224,9.01171324799398e-05,0,FALSE
"DE",2010,729,250,158,735.331961591221,70,387,136,110,612.767441860465,48,3,0,2,639.333333333333,1,1194,411,287,685.752931323283,125,10,881278,205531,36275,585528,112529,9687,0.101601305126798,185559,53990,16966,0.167871231267078,3089,456,91,0.217644207464857,0.13077930742128,66539,24548,7583,0.415741355857138,78183,8460,1547,13604,675747,8937,4127,472999,131569,2633,41991,3663,842,2,18952,9946,2714,388,32798,293810,81548,27725,1601,422895,31184,8326,57,24248,67818,246835,71177,1201,353486,6378,1599,2056,269,3600,162,1,0,447,5931,"Delaware",79.0622,"Delaware",620.9,0.128865733246258,0.0754136772423766,0,0,FALSE
"FL",2010,13060,5269,4033,708.752373660031,1919,15705,7108,5145,524.869595670169,1535,199,96,86,399.005025125628,15,33322,14384,10727,599.221565332213,3954,12,18511620,4016631,823777,10935260,1896025,233350,0.0972029908612573,2899775,855981,299866,0.226901552890482,55122,12399,4117,0.236065753725404,0.146665065972784,3996175,1054526,261961,0.260049716621809,3736823,278061,65321,746354,14494989,132165,66260,9039235,2043794,42723,2941649,32618,29356,603,410726,188282,188868,3122,812659,5010995,1203291,1866168,23689,8383525,468106,340604,4678,461078,1317827,4656201,1088122,20918,7502625,102070,32816,44435,4634,48473,2493,105,12,7232,94838,"Florida",16.82265,"Florida",542.4,0.296862475722392,0.0490324161291572,0.00118329793775586,0,FALSE
"GA",2010,6896,2768,2421,672.26406612529,1230,5405,2241,1727,614.372617946346,866,19,7,8,490.052631578947,6,13333,5469,4520,635.585689642241,2223,13,9468815,2463378,556069,5382276,1190301,140931,0.128552187738426,2873120,852897,290348,0.18541446985935,22043,4526,1335,0.225788522995693,0.164605558203747,785938,287425,104767,0.435430354319381,986040,104997,28000,200548,7005437,60071,26451,4191975,2020223,17517,498513,29309,2456,251,180368,188936,32291,1645,416978,2614052,1204969,349608,9512,4359479,471708,79862,1269,222741,800890,2159241,1107761,8278,3639475,52794,16728,14649,1969,28915,1814,28,3,3578,49216,"Georgia",6.492172,"Georgia",403.3,0.372305100396451,0.0049659302351427,0,0,FALSE
"HI",2010,158,70,61,555.620253164557,21,279,144,138,505.648745519713,45,126,63,39,566.380952380952,15,2466,1023,894,615.156934306569,300,15,1333591,300789,39713,307573,41581,4839,0.0454859169695275,21120,4717,631,0.0429526956241438,3777,344,48,0.0806156101135947,0.102619073505296,115172,43214,7926,0.128954745694834,258075,22390,3698,42407,1032802,18824,3184,265992,16403,3433,71958,109,2117,100,8849,781,4419,149,38583,175158,13312,49026,2267,672759,1045,14326,208,9049,71240,121376,6199,1480,519683,5294,1584,1153,198,233,17,26,7,578,4716,"Hawaii",67.1674,"Hawaii",262.7,0.00207086545620571,0.315425443036757,5.46191336672475e-05,0,FALSE
"IA",2010,1863,702,508,662.949543746645,259,7064,3017,2051,570.522225368063,991,338,157,105,564.171597633136,33,11036,4725,3245,564.942279811526,1484,19,3016267,723724,118871,2698981,600926,75693,0.0854219911951765,81704,28302,13586,0.199765727951584,8951,2703,1114,0.243893129770992,0.10055698437877,135693,56389,19551,0.460771847829822,137199,17825,4576,31039,2292543,35531,29462,2098055,53402,6248,79304,2799,1921,420,70848,4749,5852,565,85002,1430328,31512,55742,3217,1558492,17472,19609,1366,131489,182550,1081018,25752,3442,1175359,9457,4942,5565,574,2266,159,151,17,783,8674,"Iowa",78.826,"Iowa",273.5,0.00581192501363513,0.0698493080536534,0.000112490176994651,0,FALSE
"ID",2010,94,41,23,545.042553191489,8,2024,1042,679,447.582015810277,216,314,117,98,567.085987261146,30,2797,1386,914,468.493385770468,277,16,1526797,419257,76150,1292921,326750,48245,0.0858189455057231,8923,3173,962,0.178765432098765,18387,5561,1973,0.20268327743172,0.11716012227574,161320,67471,21765,0.470945335036381,99344,12260,3892,29374,1107540,16106,13391,966171,5750,12826,93849,400,1179,340,42180,661,7447,1012,53361,608749,3773,65604,7291,702589,1025,20146,2077,62569,89892,489689,2240,6743,558377,7235,4308,4847,623,169,12,256,55,737,6498,"Idaho",14.96276,"Idaho",221,0.00134754475879614,0.0755843853635949,0.00707960492726857,0,FALSE
"IL",2010,12228,2304,1134,1694.81012347698,1197,8602,2543,1201,912.255519405066,646,31,8,4,1142.70967741935,5,22519,5303,2570,1358.74135405105,1972,17,12745359,3156641,586628,8201449,1705826,166887,0.0864787312255632,1857464,541704,220040,0.18624898831329,25520,5999,1418,0.217828628905513,0.13815344401372,1942716,695129,170467,0.405787619372337,1804802,138037,30978,431018,9588718,129610,63630,6495623,1315760,19521,1247587,44849,15724,457,301201,147301,92448,1772,568799,4195478,693392,851037,11118,6087627,343882,190580,1913,314476,891424,3357893,722892,10372,4954134,48418,34383,12701,1313,26457,1341,71,16,2922,45496,"Illinois",85.57595,"Illinois",435.2,0.0436510896704775,0.164392783272729,3.70494303944677e-05,0,FALSE
"IN",2010,6670,2534,1783,625.950382251537,807,12785,5839,4007,482.158923822931,1327,201,87,69,618.532338308458,20,21157,9170,6323,527.575547048537,2324,18,6417398,1607439,319534,5273750,1208995,180074,0.122416715468249,572481,177557,72553,0.180261233796813,13983,2616,548,0.210531739488871,0.138119304461486,361445,141546,47390,0.38453324571851,311623,36725,9832,66375,4809959,72236,49478,4064755,394924,11367,219899,16769,3572,270,203066,44774,18502,1057,274672,2561880,218599,147045,6214,3007601,109892,47996,1018,284723,471755,2097956,211672,5617,2478013,27273,18586,14376,1824,9687,593,34,5,2521,24752,"Indiana",20.90488,"Indiana",314.5,0.0350735824288378,0.0435289209842896,0.000174384541828791,0,FALSE
"KS",2010,2024,668,378,814.994565217391,148,6015,2438,1340,634.927680798005,306,180,71,43,634.211111111111,10,9152,3567,1950,668.862762237762,538,20,2809329,715433,123123,2219527,501479,58153,0.076540694021309,162334,48589,18069,0.140282363781963,25507,7735,2443,0.142556587347649,0.106888440441402,276516,111642,35351,0.418045052933217,197945,22452,5464,51849,2093896,30269,20719,1718048,113745,17772,164874,5124,2395,561,58147,12587,10115,696,86318,1163514,65167,116972,11377,1408597,27908,34674,2897,106345,186237,884116,56694,8940,1068678,9055,4971,4542,370,2828,165,133,17,633,8422,"Kansas",45.19296,"Kansas",369.1,0.0370760680538641,0.0423771980119046,0.00138586697622198,1,TRUE
"KY",2010,2254,932,569,658.899733806566,386,9041,4165,2744,522.870257714855,1301,41,12,12,645.292682926829,4,12115,5500,3574,545.270821295914,1762,21,4285831,1020386,259045,3726132,836190,184629,0.186457755614725,331665,95491,43029,0.185462635780657,9075,1622,681,0.215432098765432,0.189329967333789,116698,43949,17956,0.361907041838539,154703,21365,5590,24172,3265445,43809,35677,2889942,236174,7453,72749,6040,1067,113,137006,21487,5201,702,167901,1666715,133672,49921,3587,1889884,60807,15413,658,209524,302335,1495895,122668,3565,1685038,14501,14786,12862,1831,5165,273,20,5,1342,13159,"Kentucky",68.3644,"Kentucky",242.6,0.089531819390877,0.00825382198237616,0,0,FALSE
"LA",2010,4031,1642,1477,648.836516993302,398,3781,1565,1259,578.727056334303,239,31,5,5,858.387096774194,5,8101,3344,2840,610.115294408098,653,22,4429940,1105595,297396,2711292,589311,80959,0.151108347736056,1404696,421389,191428,0.265079164508018,26003,7388,2476,0.350671359666276,0.190701685804508,173029,49280,13097,0.291806302843966,179708,14811,3177,36442,3324345,31781,15470,2121981,983307,18615,123749,14060,1029,165,69874,81559,6356,1085,162265,1296925,537237,82828,10242,1976606,254888,16938,3213,130388,415426,1092099,529715,9052,1724678,19008,17409,10603,1175,26294,1227,10,1,1078,17930,"Louisiana",39.42331,"Louisiana",549,0.370303584391584,0.0179567112163252,0.0006063611645974,0,FALSE
"MA",2010,3520,1225,916,767.923863636364,568,6845,2497,1934,715.297443389335,1084,92,44,16,688.163043478261,14,14919,5516,4179,725.400563040418,2271,25,6477096,1432164,202763,5014576,990061,74545,0.0856201620924369,424588,120601,34247,0.181693406971599,13271,2768,814,0.230889423076923,0.113653050261003,585470,199828,76875,0.343989713120206,992848,74612,13637,191649,5044932,79761,44000,4024515,303987,10503,385642,10880,19445,451,179918,29753,33182,1212,259784,2631445,190442,237091,5560,3276232,65641,112967,1469,185993,390379,2111361,161327,5240,2645344,11162,2929,4340,530,3081,125,75,2,765,10397,"Massachusetts",92.45091,"Massachusetts",466.6,0.0116627722875016,0.253468849025441,3.74868585916936e-05,0,FALSE
