state,year,v.crime.rt
MI,2008,501.5
WA,2013,290
WA,2014,285.2
WV,2011,296.3
WV,2012,316.3
IA,2007,294.7
IA,2008,283.8
KS,2007,452.7
KS,2008,410.6
MN,2007,288.7
MN,2008,262.8
MO,2007,504.9
MO,2008,504.4
NE,2007,302.4
NE,2008,303.7
ND,2007,142.4
ND,2008,166.5
WV,2009,305.2
WV,2010,314.6
DE,2007,689.2
DE,2008,703.4
FL,2007,722.6
FL,2008,688.9
GA,2007,493.2
GA,2008,478.9
MD,2007,641.9
MD,2008,628.2
NC,2007,466.4
NC,2008,467.3
WV,2007,275.2
WV,2008,273.8
WV,2013,305.2
WV,2014,302
WI,2011,249.9
WI,2012,280.5
AL,2007,448
AL,2008,452.8
KY,2007,295
KY,2008,296.2
MS,2007,291.3
MS,2008,284.9
WI,2009,259.1
WI,2010,248.7
AR,2007,529.4
AR,2008,503.4
LA,2007,729.5
LA,2008,656.2
WI,2007,290.9
WI,2008,274
WI,2013,280.7
WI,2014,290.3
AZ,2007,482.7
AZ,2008,447
CO,2007,347.8
CO,2008,343.1
ID,2007,239.4
ID,2008,228.6
MT,2007,287.5
MT,2008,258.1
NV,2007,750.6
NV,2008,724.5
NY,2007,414.1
NY,2008,398.1
WY,2011,219.4
WY,2012,201.4
WY,2009,219.7
WY,2010,195.9
AK,2007,661.2
AK,2008,651.9
CA,2007,522.6
CA,2008,503.8
HI,2007,272.8
HI,2008,272.6
WY,2007,239.3
WY,2008,232
WY,2013,207.8
WY,2014,195.5
