"STATEFIP","YEAR","tot","wht","wht.child","wht.child.pov","wht.lessHS","blk","blk.child","blk.child.pov","blk.lessHS","amind","amind.child","amind.child.pov","amind.lessHS","latino","latino.child","latino.child.pov","latino.lessHS","foreign","foreign.child","foreign.child.pov","foreign.lessHS","child","child.pov","adult","welf","wht.welf","blk.welf","latino.welf","amind.welf","wht.snap","blk.snap","latino.snap","amind.snap","wht.unemp","blk.unemp","latino.unemp","amind.unemp","wht.emp","blk.emp","latino.emp","amind.emp","blk.singpar","latino.singpar","amind.singpar","wht.singpar"
13,2012,9815725,5440911,1158392,178031,0.119014481325327,3014149,847587,325945,0.166768873544681,24892,6605,2012,0.226674844953316,881171,324261,136764,0.434733180978472,1037984,91337,28720,226057,2486083,669921,7329642,80845,38422,35442,4966,643,628562,969064,229046,6412,248033,251791,43344,1892,2506039,1192186,371069,10554,473638,89819,1663,232364
13,2013,9905993,5450708,1148240,177905,0.114737067457506,3055604,845479,328317,0.159932840907202,24488,6229,2264,0.181961609255851,897661,331546,142633,0.431883326627706,1051069,88740,28101,232580,2488267,681430,7417726,86450,41195,37336,5754,394,672459,1016529,252334,6743,228904,237633,40043,1620,2511788,1224629,383448,10720,474467,98377,1761,233621
13,2014,9907756,5449670,1148112,174049,0.113442170557389,3056278,846648,330071,0.162891300492174,25307,6350,2102,0.213223140495868,896410,330793,141922,0.428413121069628,1055924,89759,27322,232212,2488333,676511,7419423,84984,40655,36842,4919,486,637187,1001677,242510,6337,222786,235666,39168,1661,2519772,1231511,383149,10649,476207,99671,1484,233847
15,2007,1276534,314488,50873,4488,0.052217635086688,28741,7804,101,0.0300038966099493,3875,561,0,0.131795072350411,102837,37841,6770,0.124676604656893,238688,21864,3478,42025,285039,35701,991495,17849,3125,181,2103,63,12839,1297,14053,243,7248,1097,3439,89,175549,16781,45873,2165,2347,9898,162,9495
15,2008,1280273,319285,52774,4962,0.0451048058384907,31409,7981,93,0.0289616199670356,3675,464,58,0.0954003407155026,107457,41058,7537,0.122607273887382,240599,21816,3166,40372,285279,32669,994994,17455,3110,149,2009,46,13569,1429,16771,340,7203,851,3100,203,178099,19630,47557,2074,1673,13812,177,11020
15,2009,1286497,321131,53073,4875,0.0448827750986024,30359,8126,782,0.0324371530160314,3268,338,54,0.041565973900435,113527,43277,8378,0.119545659019343,244977,20210,2449,38777,289897,33896,996600,18523,3075,39,2614,86,14214,780,18299,209,9263,454,4408,271,177879,19039,49882,1927,1507,16029,205,11378
15,2010,1347518,308363,40339,4318,0.0421951303687598,20660,4188,849,0.0508017145578663,2948,125,62,0.0454115421002838,119080,44693,8849,0.136315079768138,266116,21591,2954,43058,301832,39845,1045686,19106,3017,54,2506,100,15509,1279,20855,387,10449,690,5042,191,175625,13385,50746,1878,751,16966,61,9017
15,2011,1361628,309578,40552,5308,0.0429934327488637,22503,4838,931,0.0497777777777778,3648,565,0,0.0712227254013997,122518,45627,10354,0.132262468607258,268886,21363,4498,43757,304197,48269,1057431,21524,3652,146,3065,144,19757,1316,23381,837,11440,1458,5901,134,170657,13043,50079,1857,1030,15833,488,8197
15,2012,1378239,313277,40129,6482,0.0359382445841715,24042,4509,433,0.037910468225132,4047,709,101,0.134831460674157,126268,46568,11759,0.144494221529671,273366,21656,4553,46815,303296,51320,1074943,22951,3449,335,2872,153,21991,1757,29083,1200,11126,1569,5532,96,170745,14545,51591,1942,879,15752,532,8402
15,2013,1390348,318736,41561,6074,0.0329827338429175,27000,5589,251,0.0236847342931069,3363,521,64,0.178705636743215,132647,49572,10930,0.126772742995503,274163,22651,4815,45801,305684,50908,1084664,25809,4667,386,2774,195,26567,1493,31440,792,10173,1552,5146,39,173966,15970,55458,1487,1003,15378,355,7681
15,2014,1392704,318740,41601,5667,0.0339667726344196,26546,5434,621,0.0352244188292871,3155,433,57,0.121929824561404,133204,49796,9928,0.125705902766823,273013,21818,4320,46012,306369,49421,1086335,23145,3945,337,2487,149,24170,2199,30820,807,9796,1423,4929,121,175267,16101,54873,1518,957,15710,327,8334
16,2007,1463059,1253890,317149,45649,0.095947332786496,8359,3840,1342,0.122425629290618,18729,5902,1890,0.222253600677775,142517,59075,19443,0.488144723117401,92032,13060,5285,28015,400272,72037,1062787,15298,13152,26,1066,337,81232,1797,22336,4166,31716,261,5479,1130,605155,3050,57091,7669,1513,15987,2192,59923
16,2008,1493713,1273877,316828,45291,0.0896444771076237,8902,3386,827,0.105948869223206,17458,5870,2023,0.191875721633253,150192,63590,19447,0.478884019690239,94879,12719,3967,28521,406766,71632,1086947,14625,12714,167,830,330,83594,1355,24494,3761,32670,493,4698,847,622889,3987,62825,6757,703,17834,2065,60052
16,2009,1524182,1292342,320516,48484,0.0883151179973372,10035,4444,1203,0.128363896165754,17640,5338,1870,0.178206699346405,158133,65968,21131,0.464794029159917,99935,13176,4536,28661,414871,76269,1109311,16872,14209,562,1165,238,106096,2188,30454,3558,43061,1012,6368,737,615274,3569,66001,7344,1513,19470,1887,62501
16,2010,1553404,1309160,328747,50551,0.0833204824289285,9719,3548,1054,0.211421911421911,18506,5660,1892,0.211290486343791,168984,70612,23458,0.472704629743674,104535,12733,3929,30578,425788,80315,1127616,17469,14601,605,1128,271,132901,2894,42537,4493,50433,898,8503,1017,605631,3907,67723,6977,1266,22326,2398,63959
16,2011,1570176,1318868,328602,50829,0.0807545272460959,9322,3495,770,0.22131931166348,20670,6397,2722,0.181191839656407,175997,72706,25801,0.46590762232159,107348,12065,4567,32195,427958,83650,1142218,20491,17213,516,1302,446,161046,2751,52484,6984,58238,977,10546,1488,594744,3338,68814,7011,1537,22484,3530,62075
16,2012,1583422,1326204,327516,54903,0.0774946884327293,8686,2950,652,0.154490460679386,20386,6187,2457,0.175080934464958,180347,73956,26606,0.457576399885291,105682,10353,4310,33430,427417,88517,1156005,21626,18085,190,1673,470,188425,2593,57686,7134,53250,600,10895,1686,599273,3218,70036,6733,1272,22519,3307,66760
16,2013,1597222,1332512,325718,56991,0.0736849146959226,8411,2795,350,0.120737559989896,20429,6000,2137,0.17662447257384,185291,74974,26532,0.439145327807986,106935,10640,4557,32698,427358,89840,1169864,24639,20747,134,2251,400,195629,1758,58981,7955,48981,757,9760,1729,606000,2797,72475,6793,761,20915,2854,67239
16,2014,1599464,1333699,326517,54918,0.0733778284976542,8733,2923,588,0.192041522491349,20389,6002,2321,0.17631156543043,186114,75137,25612,0.439552380051102,108725,10734,4172,33334,428138,87480,1171326,22213,18828,113,1787,474,184624,2249,56860,7478,47496,609,9240,1620,604167,3310,74093,7025,1149,21565,2998,68003
17,2007,12783049,8339533,1796121,159791,0.0963585868964161,1881210,568915,232358,0.195787979001068,23202,5721,1208,0.254820115285232,1864973,653538,150410,0.417052034066618,1808025,151347,35239,434685,3216757,567936,9566292,130979,67465,45129,14082,619,409593,556717,245053,2913,254393,146168,76226,1096,4252941,689160,827129,10194,348052,170147,1503,322712
17,2008,12829014,8331127,1765487,158806,0.092500939704237,1869226,547712,218112,0.192217359699196,24877,6222,1139,0.2358934169279,1911176,674460,157903,0.413636224161033,1830326,143840,31899,444056,3191425,560912,9637589,124024,64868,42666,11849,524,436561,555504,267961,3623,248097,133359,71495,1215,4304681,716317,859014,11017,339960,178138,2215,318189
17,2009,12844259,8319598,1740887,165660,0.0863893182525573,1872071,537930,217429,0.189083056971057,24363,4691,1040,0.216708581242716,1921341,688830,168967,0.414445647510674,1802770,135091,27637,441838,3185615,581589,9658644,130733,65769,44924,14403,426,495609,593401,305061,3821,294812,143733,84915,1522,4273090,712276,851579,11624,346185,190792,1514,321938
17,2010,12795658,8181352,1676790,173550,0.0818046972702974,1857164,528745,218899,0.182092210916361,25421,5710,1521,0.192219093933965,1990000,710784,182129,0.405456200774209,1832404,132192,28625,444806,3139970,607064,9655688,138493,66137,46951,18916,393,552204,618835,369951,4879,342002,157034,105765,1987,4166297,691325,865600,11393,340376,203564,1774,313628
17,2011,12836004,8160496,1652116,187377,0.0775930912870668,1854812,517273,220069,0.175282429716312,24770,5564,1714,0.191902989862697,2034512,721971,203564,0.398266833602725,1843235,126735,32136,452697,3118213,645387,9717791,148117,68773,50501,21975,373,635504,679849,437772,4746,391474,175440,125587,2502,4074774,658892,869707,10329,339871,215557,1372,324138
17,2012,12858490,8125825,1626530,187296,0.0730338186085773,1861743,508442,226068,0.169285169181968,26642,6618,1426,0.203083594314623,2068153,728149,208976,0.391600436885276,1854943,122859,34145,452096,3091209,657395,9767281,149590,68234,52071,22737,464,679550,719773,495609,6824,378187,188188,126990,2523,4069852,656715,880300,10883,330172,218660,1608,323670
17,2013,12868770,8092675,1602487,189538,0.0702961753131963,1851288,491598,223763,0.159053421448706,25987,6120,1388,0.191902644512052,2093617,727858,211051,0.388101391438849,1871128,120149,31671,454744,3056944,658319,9811826,149149,68163,50720,22709,568,722456,742250,538337,8424,343540,185056,120107,2501,4087740,662780,902072,10711,321990,220614,1549,323213
17,2014,12868747,8088505,1600940,186977,0.0705462979277845,1851573,494628,221420,0.162537131537428,27545,6697,1653,0.197202242736592,2095844,725960,204519,0.382163786059032,1868812,119210,31075,447623,3054401,647591,9814346,147835,68568,50422,21739,594,708074,725108,520372,8104,340789,178907,116407,2260,4087095,665966,907459,11118,321116,219976,1893,317838
18,2007,6301687,5283443,1244680,175098,0.13256327135767,545038,170185,67539,0.188931882989344,13429,2439,755,0.249713869524503,297232,110047,33195,0.398882990190794,283594,32198,9028,61093,1589500,290578,4712187,69970,47832,17540,2878,248,408207,150533,45081,2160,161845,36515,13434,942,2590885,213102,127206,6175,104211,34651,919,289285
18,2008,6335595,5284501,1232219,176659,0.127179312387839,545655,164823,63658,0.184659907622132,13840,2719,623,0.224504692387904,312446,120449,37994,0.393748939447338,287868,32874,8587,61773,1589953,294929,4745642,70879,48381,17426,2990,317,423964,148365,54271,3263,163333,36459,13443,988,2623369,217652,131933,5966,103146,38799,1116,290517
18,2009,6385845,5290369,1216065,181194,0.122407069045385,555787,166829,69098,0.185193902817922,13647,2218,397,0.216833095577746,337615,131720,43384,0.382777202199594,293988,31733,8184,63624,1589973,312581,4795872,73705,51100,16200,3978,277,477514,164908,65227,2791,199826,43019,16568,1231,2587918,216772,138835,6114,104823,45728,976,281864
18,2010,6458253,5281509,1198780,189817,0.117931060422145,581503,177573,76374,0.169937828732094,14415,2617,432,0.192170090974139,379112,149805,53078,0.380218864226456,316119,36305,10675,67959,1608094,340847,4850159,76253,53293,16082,4243,266,524416,192515,85861,3422,233369,50902,20883,1168,2532366,218167,151085,6333,111954,53039,816,284710
18,2011,6488958,5287714,1186223,195864,0.1139896755225,586773,175796,81127,0.170660541899292,13835,2811,774,0.202762016914677,391202,154948,59758,0.380030448709204,329153,38985,12001,73211,1602751,360436,4886207,76009,53565,15368,4251,172,586054,208989,99670,2814,257369,52348,23379,1130,2490239,215381,150925,5719,112798,56769,715,290634
18,2012,6514516,5289905,1175331,201807,0.111424597386074,590915,175378,81399,0.165539068820512,15088,3769,826,0.231117824773414,400975,158929,62253,0.384456234836164,332503,38486,11834,74613,1598150,370761,4916366,68539,48184,14280,3918,117,629214,216752,108929,2833,237760,50198,22070,1081,2498999,216494,155674,6144,113494,59151,1454,299769
18,2013,6541673,5287914,1163458,197252,0.109554955351321,593933,171421,78603,0.159118702103375,14424,3361,810,0.264750997034462,410725,159137,63080,0.374553562212267,340231,36917,10632,73735,1590245,365460,4951428,64837,47130,12060,3378,243,658092,218052,112159,2511,212953,46054,19500,1001,2519043,224701,164938,5874,110889,54148,1325,291056
18,2014,6542411,5287380,1162826,200480,0.1079923942314,595730,172788,78337,0.156614242840193,15092,3052,687,0.252623617282783,410837,160188,61840,0.370663692709351,342852,37947,11444,74120,1590962,367666,4951449,65345,47076,12555,3483,210,641002,220363,109777,2998,212308,48909,19272,879,2518919,223616,164115,6009,113091,57816,1156,297894
19,2007,2972022,2699513,603408,72353,0.096335206272303,71835,25509,13492,0.199926746118953,8650,2991,1649,0.243852459016393,114414,44911,15072,0.463009398388301,125185,17095,4138,27979,706814,110557,2265208,37875,31536,2574,2483,456,195387,25325,25125,2606,67656,4246,4995,284,1426369,27287,47826,2886,15443,15007,1312,130129
19,2008,2984391,2694701,593478,69853,0.0910758219138324,77683,28266,13812,0.215495624584208,7987,2556,1195,0.234074074074074,121974,48922,16353,0.436708396049782,128369,17260,3806,26338,706316,109232,2278075,36144,29164,3010,2776,391,207005,28351,27154,2095,60466,3719,4794,358,1456463,30390,51567,2835,15937,16539,1132,131255
19,2009,2993524,2698645,595970,74511,0.0840558591921045,73595,24476,11176,0.221761658031088,8770,2768,1570,0.168925753590937,126623,52882,18213,0.42285349957495,126536,16313,3181,27196,709134,112728,2284390,33727,27448,2611,2102,507,231807,27273,32606,3090,66329,3854,4218,340,1448702,30341,52451,3186,14653,17522,1841,134256
19,2010,3033163,2697701,595032,78926,0.0801408292825956,86658,30911,15608,0.195490357194644,9249,2667,1339,0.210307721351709,143969,59768,20934,0.455686121540137,143578,18152,4719,32453,724740,124134,2308423,35683,29523,2950,1544,427,261409,36526,36822,3319,76243,5809,5413,737,1428801,32555,60876,3330,18988,20966,1742,133015
19,2011,3048461,2700216,590554,82309,0.0767957244067862,87292,29699,15766,0.173456195199925,10741,3175,1427,0.237319141859305,150755,62907,24140,0.447585011912497,142698,16508,3868,34080,725115,131582,2323346,35471,29148,2546,1943,560,286940,37806,42343,4294,86604,6614,6922,684,1405582,31933,62213,3693,20613,25763,1720,136898
19,2012,3062869,2701528,586051,79432,0.0710375139338723,89410,29725,15836,0.166941663087946,8873,2393,753,0.220044792833147,157445,64993,24487,0.449452166335728,150656,17136,4161,35302,723343,128641,2339526,36785,30179,3338,1676,509,310358,39526,46577,3459,81356,6424,6358,467,1403947,33582,66601,3457,18491,27148,775,136317
19,2013,3076519,2702430,581911,80416,0.068616704872487,92913,31376,13611,0.1604193070264,9355,1957,583,0.19531115324944,162931,66191,22041,0.412017465791523,157824,18618,5272,33938,722859,126590,2353660,37528,30435,3281,2141,368,322155,40964,51772,3602,69608,5048,6349,277,1404157,35528,69805,4474,17965,27010,644,136823
19,2014,3078116,2702199,582566,80272,0.068951512481082,95894,33102,15724,0.159603977296974,9096,2158,669,0.179064824654623,162951,66607,22785,0.420890937019969,159407,19153,5202,35290,724773,128476,2353343,37038,29576,3900,1732,456,314862,44933,50140,3313,72550,5734,6858,462,1407652,36183,69029,3879,20732,25607,763,135155
20,2007,2757827,2235098,514695,60059,0.08506665297671,158862,48319,16691,0.139518900343643,22439,5295,1406,0.182359508745813,236114,91059,30094,0.431787151798855,180004,21393,5921,46497,694649,113186,2063178,31687,23232,4117,2322,1040,121937,34433,32177,3457,52996,10224,7747,811,1170127,66642,103727,10915,25275,26703,2066,110991
20,2008,2778599,2238652,505011,57076,0.0798540440932198,155574,46103,16573,0.146132290795688,22365,6590,1312,0.146894012167787,253033,99729,31665,0.418772266824279,188204,21125,4988,50155,695252,111972,2083347,30061,21339,4505,2592,420,127171,35485,31552,2739,50259,10749,7031,502,1194166,64005,113305,10588,25836,29858,1947,108878
20,2009,2797242,2241932,504418,56438,0.0760982730453173,158634,45763,16433,0.13507103702875,22650,6236,1671,0.132858309211015,253973,99692,32343,0.426939726939727,189603,19764,4446,51588,699219,114744,2098023,30461,21435,4435,2722,514,140808,39824,38629,3806,57629,11733,8412,674,1186425,65331,110483,10575,25143,30680,2344,107639
20,2010,2833318,2224209,497608,58649,0.0746693758820466,162343,47128,19061,0.133063239164383,23733,7119,2441,0.133866748730574,288751,117051,37269,0.415949894975699,203246,22069,5474,53944,718709,129337,2114609,31107,20836,5639,2397,459,152579,43282,49910,4859,63112,12894,11585,714,1162286,66991,120888,10282,28504,38379,3029,106958
20,2011,2854367,2229671,496125,62951,0.0738365573781499,163973,48653,21280,0.129659802945969,24517,7316,3204,0.127627851498434,299456,121328,41636,0.418107825677406,210671,23226,7394,58550,723256,141176,2131111,31423,21084,4883,2914,581,173663,45949,64609,6032,74280,13914,14378,1388,1142269,67062,123549,10141,30980,41571,3989,106084
20,2012,2871709,2234366,494304,66139,0.0722200735707181,164690,48609,19193,0.127301193111267,25125,7340,2783,0.134955089820359,309264,124088,42832,0.422584625981145,212278,21919,6736,58132,723737,143345,2147972,30003,20814,4294,2654,589,189441,43799,65478,5554,71167,12988,15112,1685,1142920,65190,128778,10311,27680,41418,3017,110857
20,2013,2882966,2232828,491888,67875,0.0676454839584082,166043,47379,18451,0.128515666209516,24912,6720,2201,0.108988215605606,316845,126245,43189,0.410033026247175,215685,21928,6080,58553,722558,143828,2160408,30185,20446,4858,3031,481,202371,46912,66854,6221,65682,12260,12962,1745,1139438,66887,133955,10905,24104,42150,2782,110469
20,2014,2882946,2232073,492208,64996,0.0687480875842966,165884,47626,18555,0.13263900661129,24389,7142,2354,0.122930920326639,315996,126015,42683,0.414207801173628,217291,22968,6988,59534,724474,140473,2158472,30358,20834,4399,2732,678,194119,46870,63918,6325,64914,11706,12525,1744,1137897,67117,132450,9993,25068,43894,3178,108301
21,2007,4205648,3709697,844746,180144,0.202782802203197,316398,92531,38410,0.208566334835616,7699,1488,341,0.220316622691293,85041,30391,10757,0.375181190575633,134989,20087,4418,19577,1003483,239986,3202165,43560,35052,6954,709,81,496580,78831,15318,1615,116651,19724,2090,452,1680730,128037,38579,3017,56948,10262,512,205590
21,2008,4234999,3725564,839633,178325,0.19370478633244,316318,90953,40750,0.196396081366823,7287,1259,459,0.191858273652469,94835,37546,15869,0.351613928360648,134768,18637,5119,19357,1008209,248266,3226790,42916,35747,5738,647,106,526362,82692,20880,1255,114039,17510,2338,417,1702732,134420,41265,3134,58144,12884,639,209080
21,2009,4286107,3750051,839009,189555,0.187657305141061,322626,89735,40217,0.184808660543375,9246,1895,995,0.231668437832094,105954,43064,17118,0.357782695752977,143447,18806,4919,22546,1015409,260331,3270698,44970,36997,6231,782,199,564781,90602,24546,2308,132476,20579,3637,529,1691156,134146,43990,3296,55360,13865,841,212724
21,2010,4317738,3739885,832374,189346,0.180842416889336,338033,95732,44337,0.174589464271197,9841,1808,929,0.238297270541649,124515,48629,20013,0.369260680125679,160017,21612,6223,27690,1024437,268380,3293301,46823,38399,5801,1386,127,612596,104673,30781,3102,156061,23954,6838,668,1647365,134646,51781,3822,61342,18249,672,213041
21,2011,4344553,3750140,827652,201142,0.173412695749463,343060,95592,46363,0.173529455745353,8966,1880,945,0.20665004156276,130525,49934,21411,0.369291663230807,167924,22531,6578,29196,1024515,285412,3320038,50262,40116,7732,1240,229,655069,115732,36833,2957,174389,27929,7620,709,1625025,129605,53825,3319,59870,19579,779,220658
21,2012,4364627,3753108,822456,201599,0.166938248505644,350800,96161,48217,0.168022886204704,7728,1616,625,0.187673404676972,136534,51474,22360,0.335614767842444,168102,23627,8264,29827,1020964,288674,3343663,54451,43465,8189,1641,204,693001,122305,41535,2024,171986,27678,7715,517,1623855,133715,56919,2994,60941,20216,500,223810
21,2013,4380635,3757500,815330,199839,0.163064887769368,351021,93502,44116,0.156806189286438,7605,1758,669,0.219051615610575,139370,53236,22247,0.328747295608983,169988,24396,9083,29637,1018148,284286,3362487,56534,44173,9465,1656,134,695676,123106,46059,1635,156263,25191,6737,410,1635626,138788,58389,3031,56643,21722,646,220847
21,2014,4383272,3759466,816010,195042,0.162701289287009,348206,92385,44267,0.157762751983858,8822,1848,839,0.232683254875588,140564,53608,23307,0.339915119044036,174333,23829,8703,31081,1017272,280045,3366000,53375,42733,7687,1675,146,689835,120428,43172,2562,154869,25440,6933,691,1638536,138016,59770,3382,57375,21231,560,216028
22,2007,4344053,2691663,597472,89580,0.166290057863693,1394612,427604,204890,0.295077780658543,21249,5414,1813,0.370656666156437,131873,36070,7974,0.293556704370247,155387,14988,2822,30964,1102206,314948,3241847,39289,20037,17458,798,204,363024,502052,20904,5830,64128,83942,4116,634,1269453,513778,61361,8188,256426,10276,2186,127746
22,2008,4342582,2701035,594647,85869,0.158723912968465,1371351,431395,194468,0.283002468495972,23950,6529,2209,0.342073387958675,142028,40643,9949,0.302129761096364,156447,14170,2912,33819,1108278,300878,3234304,35463,17929,15732,729,179,359801,491174,21773,6933,56811,74152,3854,897,1296762,516875,66397,9472,258747,13832,2698,133931
22,2009,4439903,2740248,603129,83785,0.151669687801535,1410371,420947,184959,0.261132778022598,23531,6407,2560,0.335232189212576,155700,47200,12579,0.283075295037843,164798,14725,2807,34776,1116376,292712,3323527,26131,11603,13011,516,183,294661,479503,22122,6849,64791,74090,4426,944,1321294,552736,69608,9738,255519,16662,2740,133946
