"stname","year","cl.blk","ent.blk","lifelos.blk","grp.inst.blk","cl.white","ent.white","lifelos.white","grp.inst.white","cl.nat.am","ent.nat.am","lifelos.nat.am","grp.inst.nat.am","state","tot","wht","wht.child","wht.child.pov","wht.lessHS","blk","blk.child","blk.child.pov","blk.lessHS","amind","amind.child","amind.child.pov","amind.lessHS","latino.child.pov","foreign","foreign.child","foreign.child.pov","foreign.lessHS","child","child.pov","adult","w.adult","b.adult","a.adult","wht.unemp","blk.unemp","amind.unemp","wht.emp","blk.emp","amind.emp","blk.singpar","latino.singpar","amind.singpar","wht.singpar","wht.f","blk.f","amind.f","incartot","new.incar","WHITEM","WHITEF","BLACKM","BLACKF","AIANM","AIANF","TOTRACEM","TOTRACEF","statename","inst6014_nom","v.crime.rt","pctblk1930","pctami1930","pctimm1930","pctblk1960","pctami1960","pctimm1960","boarding.n","board"
"MO",2012,3563,1319,778.195554220487,0,11060,4487,584.014364848371,0,70,25,520.632352941176,4,29,5982413,4839273,1055658,183090,0.115948204841482,689761,196711,81919,0.180624985961401,23153,5064,1490,0.159369307117281,29671,264596,29030,8190,42636,1417231,317040,4565182,3783615,493050,18089,182313,59086,1089,2340382,269138,9844,127545,27472,1663,254444,1949672,266945,9932,31205,18232,16635,2055,11229,563,88,17,28544,2703,"Missouri",48.51352,450.9,0.0622663085991953,0.00018276394201092,0.0431549091231557,0.0904317386231038,0.000370432109055213,0.0197116186031005,0,FALSE
"MS",2012,2975,1122,749.471724137931,0,2766,1176,543.669491525424,0,9,4,681.75,1,28,2967620,1720303,373248,65396,0.145835328644921,1104586,331425,163151,0.261996976459578,13801,4080,1550,0.233838580126959,9646,78677,8035,2123,19096,752885,244966,2214735,1347055,773161,9721,60672,78018,826,765468,393464,5735,201717,7773,1647,85490,694604,420938,5112,15791,8569,6464,944,13956,719,20,3,20646,1673,"Mississippi",27.57612,260.8,0.505999974778186,0.00115312657571015,0.00375076930760917,0.421998311492861,0.00157838710861506,0.00472598465660904,0,FALSE
"MT",2012,108,37,782.326530612245,15,1564,753,566.439696760855,218,1221,420,756.320224719101,122,30,990785,868801,178562,31002,0.0704084716584487,3648,1204,396,0.108917197452229,64353,21816,8919,0.192490952955368,4750,27459,3430,859,3174,222849,47421,767936,690239,2444,42537,28056,132,5593,435316,1614,22336,469,4480,9682,40774,345759,888,21811,3095,2022,2438,253,93,0,647,131,3210,399,"Montana",51.48849,272.2,0.00253380837906433,0.0257102533523684,0.151164051899949,0.00222156398104265,0.0331161137440758,0.0527547393364929,1,TRUE
"NC",2012,5433,1938,707.372049804869,0,6281,2503,597.69411576591,0,426,186,539.11320754717,0,37,9544249,6229963,1256932,179823,0.116161868779825,2043080,544166,208280,0.194854970729038,110715,30316,11102,0.314581780229611,129689,790797,84985,27159,194545,2273959,557453,7270290,4973031,1498914,80399,273826,159034,6033,2982297,835878,41286,314626,109788,13480,272268,2579316,819353,42357,37378,12099,11791,1473,19838,861,790,61,34675,2461,"North Carolina",47.12606,353.4,0.287364442368704,0.00527170481078041,0.00287822940234942,0.245639375353965,0.00860490743139123,0.00625172866443934,0,FALSE
"ND",2012,112,48,527.54128440367,32,1017,477,542.41875,0,636,255,742.870085470085,128,38,676253,600663,122441,11266,0.0896541151575619,7734,2302,1643,0.217068093963723,35760,12845,5849,0.169491525423729,1071,22130,4470,1760,2286,149840,20403,526413,478222,5432,22915,9986,430,1651,337747,3821,12584,1068,1647,6538,23163,237715,2003,12088,1413,1171,973,104,87,6,221,53,1341,171,"North Dakota",26.55721,244.7,0.000644836493776012,0.0127895876763288,0.158479884165958,0.00129672971092416,0.0180909608450882,0.0502561831867923,3,TRUE
"NE",2012,1709,465,824.104166666667,289,4374,1585,671.812187574387,619,789,282,763.448228882834,99,31,1827306,1500559,332660,38404,0.0618657314549348,84140,27827,12812,0.174383062884883,16911,6139,3167,0.227666389844584,21660,124295,15083,5610,40151,458108,80312,1369198,1167899,56313,10772,39845,6363,1254,816850,35227,5887,14302,24780,2916,64154,598784,28160,5642,4721,2826,2382,213,1197,70,162,30,4352,353,"Nebraska",20.10579,259.4,0.0101763986133961,0.00230204667036589,0.0878719599950622,0.0213860544217687,0.00474773242630386,0.0319019274376417,3,TRUE
"NH",2012,91,41,727.184210526316,0,884,402,740.956129032258,0,20,6,789.473684210526,0,33,1317474,1215137,250685,25960,0.0796655847677533,14798,4240,1562,0.15089952270224,2942,665,108,0.237089201877934,3176,81436,7746,1032,11181,285280,32848,1032194,964452,10558,2277,43917,652,88,650136,7844,1478,2086,5702,272,59519,494652,4716,1109,2568,1838,2104,187,156,5,4,1,2583,207,"New Hampshire",47.44414,187.9,0.00257402561953325,4.33364426227757e-05,0.176786976384369,0.00382031352917929,0.000329337373205111,0.0774601501778422,0,FALSE
"NJ",2012,5418,2137,764.571818358994,498,3209,1583,525.27616563417,257,10,1,602.888888888889,1,34,8793888,5206604,1058884,75538,0.0785547001166262,1189590,310687,88774,0.158071851213029,20608,5821,1544,0.245145438693826,122401,1921693,135274,24449,338733,2055099,302808,6738789,4147720,878903,14787,229103,93048,1269,2585150,507285,8655,171914,186642,2420,162768,2161279,478940,7377,23050,10447,4972,372,13577,538,9,2,22164,1061,"New Jersey",54.02336,290.2,0.052961313953019,4.49311961264829e-05,0.210113532318642,0.0849611789723555,0.000458269455846232,0.103357895257406,0,FALSE
"NM",2012,221,81,626.460093896714,16,969,469,463.122210414453,74,439,209,571.877108433735,55,35,2055287,832587,135851,18671,0.0604756409967954,41368,11764,4189,0.131157295252667,191915,59096,23993,0.235352522793451,103144,221072,22352,9094,82534,515230,150379,1540057,696736,29604,132819,27852,2074,11117,401067,17028,66381,6358,117153,28013,34921,356074,13405,69219,6640,3581,1448,177,485,47,80,11,6010,630,"New Mexico",40.3893,559.1,0.00709350576941856,0.0704229681493487,0.0569295007878273,0.0181209748705645,0.0594351138611778,0.0263290819547923,14,TRUE
"NV",2012,2399,955,683.114361702128,0,3148,1263,622.780013413816,0,189,71,830.372222222222,0,32,2704204,1462563,262494,31426,0.0786967474752005,219388,60203,19304,0.129893984314861,29833,7624,2154,0.162411118293471,76034,553838,40694,11928,152781,663187,137006,2041017,1200069,159185,22209,83027,17521,2899,714531,89667,11938,33580,84483,3213,70857,590512,79257,11863,12594,5263,5246,660,3399,220,212,27,11845,1038,"Nevada",42.22821,607.6,0.00494195061872431,0.0476970466173647,0.166356703041664,0.0464170523068293,0.0209648015706072,0.0476791473846585,0,FALSE
"NY",2012,14042,2906,1330.12735958086,0,6915,2552,801.493386042269,0,172,56,765.453987730061,0,36,19398125,11303711,2199572,293340,0.0853279230273247,3034509,765241,255676,0.195837622550331,68167,16941,5704,0.255264533916433,338523,4443792,269058,74868,1008333,4314534,958422,15083591,9104139,2269268,51226,416246,201265,4768,5588279,1267579,27897,442559,454627,7505,419587,4723148,1256477,26283,54058,23359,11935,853,25940,965,331,30,51963,2247,"New York",76.68759,406.8,0.0327254784399775,0.000628304299782389,0.26090113387108,0.0840025221973631,0.00123725938702022,0.138726814796097,0,FALSE
"OH",2012,8581,3603,673.703886010363,1375,11161,5128,529.587926258477,1305,91,44,574.894117647059,11,39,11533561,9356042,2021312,346986,0.106904855660545,1401191,396370,192259,0.17966322608623,22927,4115,1529,0.219665778638896,50024,502363,52028,12841,70018,2714669,632628,8818892,7334730,1004821,18812,411922,122851,1749,4484398,523324,9858,261206,57046,2024,491375,3794331,539515,9134,50872,21540,22962,2764,22445,1040,61,6,47008,3868,"Ohio",14.01641,299.7,0.0442433212060607,4.3160825843374e-05,0.0980404833076472,0.0806922482616534,0.000282255987638424,0.0425217615245944,0,FALSE
"OK",2012,3279,1158,836.232535885167,0,5384,2280,590.223287934011,0,3593,1369,662.519514310494,0,40,3749005,2575035,519718,93098,0.113208446648716,270899,77097,33261,0.13620722737448,262702,84739,24705,0.159729846162398,49881,233103,23699,7499,64082,926875,231344,2822130,2055317,193802,177963,73042,14393,10979,1239864,108668,107243,44860,44977,28594,129219,1057223,98758,94267,24370,7758,12106,1494,6788,510,2078,364,22728,2497,"Oklahoma",11.08666,469.3,0.0684716119456233,0.0380720341630134,0.0129687961326205,0.0671910286023407,0.0271855331060717,0.0109394722606239,43,TRUE
"OR",2012,1178,318,1220.54537205082,0,7370,2525,878.51117519827,347,1587,349,1054.73533424284,63,41,3836628,3009869,572699,97398,0.0749867292748689,68221,19073,8672,0.129528801139833,53044,15427,5899,0.233410062479448,63818,405393,36872,12685,99791,864009,188716,2972619,2437170,49148,37617,161761,5603,4103,1405531,26513,20819,11501,57892,5870,153404,1251895,22370,17096,14123,5380,9808,1044,1318,90,335,39,13609,1231,"Oregon",72.35201,247.6,0.00242112003264832,0.00411978481845742,0.120504694218476,0.0107576751657202,0.00452478450713785,0.0432116920431664,3,TRUE
"PA",2012,10801,4564,755.014980483173,3049,9978,4484,618.966378482229,0,54,24,689.288461538462,10,42,12699589,10090272,1977447,249835,0.0989181374748939,1372803,378022,154375,0.172493220872223,18306,4620,1191,0.206612287400208,104177,802103,73525,17146,135651,2780772,543195,9918817,8112825,994781,13686,386389,103203,1223,4957535,500962,7422,242247,124256,2546,426517,4208799,533790,6655,50228,18714,18420,1680,24172,835,36,13,48380,2745,"Pennsylvania",25.27934,348.7,0.0448140016603335,1.46404291746377e-05,0.130520329565677,0.0751562406158477,0.000353285733968777,0.0543795066011439,1,TRUE
"RI",2012,743,301,729.251506024096,209,1407,577,720.022924901186,378,48,20,841.883720930233,8,44,1052471,804880,142901,15124,0.121591873378181,64013,18364,7399,0.253191918609678,4223,1431,450,0.203389830508475,17544,144102,10288,2998,42253,223162,42930,829309,661979,45649,2792,35568,4631,359,414058,27836,1396,11368,23489,843,35310,348605,23394,1719,3042,893,1397,128,904,32,15,2,3043,186,"Rhode Island",78.75034,252.4,0.0150367508126797,0.000883588647164159,0.251241902213794,0.0216986403427081,0.00114080834419817,0.103091823430806,0,FALSE
"SC",2012,3053,1250,796.684156023473,679,3055,1352,603.401430030643,672,25,17,389.96,5,45,4630352,2966906,597120,91734,0.121241896479131,1292133,348167,148621,0.226885416815251,14903,3474,1123,0.279794376835921,33504,256149,25445,7524,52852,1077679,286445,3552673,2369786,943966,11429,127777,102267,1073,1375955,500943,6137,210647,27707,1751,133342,1224799,514473,5359,21867,6817,6605,732,13830,568,31,4,21051,1337,"South Carolina",2.580879,558.8,0.453026893948058,0.000416644941541889,0.00363686642230522,0.349309313346553,0.000680603636608073,0.00597418747689309,0,FALSE
"SD",2012,195,84,551.071428571429,38,714,335,603.008720930233,136,1540,732,604.097486671744,246,46,815871,689542,151617,17216,0.0826358004311433,11340,4785,1777,0.236498695041156,71788,28466,16121,0.227874226053175,3266,25432,3704,1050,4475,202292,40489,613579,537925,6555,43322,12617,769,6779,376439,4574,19044,2776,3923,14458,31913,272081,2208,22312,3596,1993,2035,226,217,10,855,173,3227,423,"South Dakota",22.85037,321.8,0.00118257006755081,0.0345340575472967,0.0967755995336592,0.00196711685261304,0.0361127422196124,0.0288021139166177,6,TRUE
"TN",2012,3219,1443,504.167539267016,0,8326,3680,475.970264867566,0,26,9,569.461538461538,3,47,6353226,4803715,1011559,189818,0.148153026887201,1058091,300599,127021,0.187387753113684,16478,3528,1067,0.260617059891107,45445,327895,37954,13302,66004,1492992,381716,4860234,3792156,757492,12950,202371,80331,1102,2200643,427139,7299,187283,37339,853,228005,1967602,411852,5897,19817,13935,12834,1688,12538,632,31,7,26048,2363,"Tennessee",10.68607,643.6,0.183810548916498,3.86647189943595e-05,0.00523052037341136,0.164726530520697,0.000269151835279077,0.00530453408695847,0,FALSE
"TX",2012,13330,4280,804.352631171045,0,13532,5139,646.464607170099,0,314,95,665.764900662252,0,48,25208897,11418834,2322672,253498,0.0788154562655002,2969460,841269,285538,0.142723311734318,123750,33555,10776,0.26426622296173,1178971,4347372,379964,134400,1510321,6847501,1767376,18361396,9096162,2128191,90195,364664,183127,6208,5698081,1266122,55433,459358,1050989,10420,478558,4645849,1125552,43825,155195,75378,45884,6197,54743,4229,84,28,152823,13549,"Texas",8.660797,408.6,0.144891223174954,0.000216751792953316,0.0631082980873482,0.123538618861782,0.000598952355114051,0.0343719348039318,0,FALSE
"UT",2012,305,125,738.880952380952,29,3161,1451,526.253185233584,283,252,96,725.818565400844,28,49,2766233,2224906,655820,70003,0.0555894171734853,29809,11965,2931,0.164798796540053,30920,9961,3737,0.206144146371616,45028,249589,27162,8329,58294,866533,129546,1899700,1569086,17844,20959,72016,1657,1902,1045905,11481,10844,3926,39432,3350,91253,793883,7098,10794,5309,3146,4159,456,415,19,258,23,6323,639,"Utah",4.519295,205.8,0.00258372219561786,0.00551273645119654,0.09767691914233,0.00608633158154786,0.00709697704711854,0.0411894174190361,1,TRUE
"VA",2012,2942,961,858.413986013986,0,3857,1433,634.751133635636,511,15,5,713.266666666667,1,51,8014955,5193199,1051673,106747,0.101190119391109,1558857,399422,119923,0.19108724567506,25262,4796,625,0.214040989223198,43410,995654,90215,13954,149437,1848448,292863,6166507,4141526,1159435,20466,151319,89309,1112,2652927,713691,12591,211787,62771,1513,202282,2121212,618261,9948,29708,11727,12236,1546,21045,1091,16,3,34362,2682,"Virginia",19.48438,190.1,0.279419273535332,0.00048034474239203,0.00962492186897002,0.206753275672721,0.000526334434924314,0.0150157141194273,0,FALSE
"VT",2012,41,22,453.315789473684,7,1488,569,650.755681818182,229,0,0,0,0,50,625498,589274,116733,16526,0.0847417510484545,5962,1806,647,0.128205128205128,1868,256,124,0.209090909090909,652,30872,3302,455,3312,127735,19183,497763,472541,4156,1612,21114,283,84,314912,2397,978,832,948,188,33113,242208,1902,652,2034,1918,1633,112,187,9,15,0,1907,127,"Vermont",90.08125,142.6,0.0017444919223594,0,0.128307066621787,0.00153917192550408,0.000153917192550408,0.0623877687137653,0,FALSE
"WA",2012,2310,729,776.676146788991,0,7909,3012,646.089963119073,0,1880,622,790.491534988713,0,53,6738714,4887570,958954,121105,0.0641152506388353,238477,64298,22133,0.123546634385293,92704,26451,8830,0.179338384771761,103854,968560,90699,24950,191078,1574803,287995,5163911,3928616,174179,66253,210328,16891,6673,2410410,104063,34524,30822,103444,12234,220888,1992084,78851,33900,16919,18259,9727,905,3041,135,603,89,15934,1337,"Washington",78.69927,295.6,0.00444508695016626,0.0075624787338454,0.171641680086608,0.0169241986595249,0.00748057993774363,0.0676617403740991,1,TRUE
"WI",2012,3972,1446,827.474210099919,593,4929,2108,634.741386829481,727,617,291,610.357522123894,86,55,5687219,4740297,981366,115175,0.0763586343227303,350185,115720,58612,0.207646606858788,50405,14384,5084,0.138739233382519,44585,289846,32095,6745,64076,1332634,244098,4354585,3758931,234465,36021,172481,28588,3783,2497919,122893,20362,82153,48531,6573,216434,1915113,122412,18104,22419,6200,9463,757,8991,350,604,56,21375,1225,"Wisconsin",8.424843,280.5,0.00411171790752704,0.00381808138023746,0.130796454760402,0.0188628633897482,0.00388189327071018,0.043728237104219,4,TRUE
"WV",2012,875,402,546.024038461538,0,6318,2963,512.111732762876,0,23,5,945.347826086957,9,54,1850481,1721606,349137,84220,0.169802327141456,59411,12690,5641,0.151950169754324,3111,480,38,0.0899543378995434,2168,31099,3074,1063,3972,387041,97686,1463440,1372469,46721,2631,59352,2537,169,719482,21236,1056,7307,2003,22,92733,707126,21216,914,5335,3530,5396,757,766,43,12,0,6265,805,"West Virginia",76.30331,316.3,0.0686647654845887,1.1492857992737e-05,0.0320006860316562,0.04801907872121,0.000161137848057752,0.0137074596081128,0,FALSE
"WY",2012,88,37,673.475,27,1406,760,458.065027755749,0,48,26,520.522727272727,9,56,562803,482128,106175,14692,0.0665669873156992,4354,828,399,0.117124081948203,13047,4741,1526,0.177345885211054,4195,20524,2491,677,3228,134508,21560,428295,375953,3526,8306,12333,253,957,256933,1990,4819,406,5555,1789,23702,185654,1206,4182,2187,916,1530,206,100,4,105,16,1966,238,"Wyoming",5.145569,201.4,0.00435686976743154,0.0115467655432108,0.0934231565493506,0.00484466783746139,0.0135650699448919,0.0297947072003876,0,FALSE
"AK",2011,207,69,750.387254901961,10,685,218,724.79086892489,39,1553,540,742.58449304175,92,2,700703,450744,99315,10103,0.048078618454977,24023,6331,476,0.0948471743751374,98596,32156,8248,0.184191331720987,2148,58419,5651,1014,8254,185955,26950,514748,351429,17692,66440,15141,1041,9329,250415,13177,34168,2067,4398,12691,22735,165192,7834,33472,6216,3789,2319,358,505,47,1815,222,4932,665,"Alaska",40.47055,610.1,0.00303090224513527,0.439735425382507,0.17968472137768,0.0318809776833156,0.0604852993269571,0.0434821112291888,2,TRUE
"AL",2011,3468,1179,985.453909339824,0,4375,1767,653.058147713951,0,36,9,1109.91666666667,0,1,4747424,3195098,678425,108717,0.157568337366498,1246742,347276,151946,0.228779018738755,25947,6464,1920,0.260976487523992,24856,192795,22072,6449,41060,1131599,295316,3615825,2516673,899466,19483,115634,85644,1453,1441362,473688,11231,211132,18599,1802,143869,1303550,495114,9689,26813,11943,11785,1720,17866,852,1,0,29696,2574,"Alabama",20.54358,419.8,0.351879028652581,9.15894079085531e-05,0.00621917820438949,0.30052978104425,0.00033685499923442,0.0056346654417394,0,FALSE
"AR",2011,2237,1082,572.652091254753,0,4622,2436,431.551025005632,0,123,56,625.965517241379,33,5,2895928,2167474,465388,91014,0.149339275143286,447755,135083,65145,0.223151486845386,18503,4722,1279,0.162071105594468,28099,141944,17361,6043,41470,708052,194300,2187876,1702086,312672,13781,73353,30646,1062,979821,164628,8300,84569,21592,1279,113172,877439,168324,7214,14090,7142,7757,817,6714,268,31,9,14995,1114,"Arkansas",68.7664,482.3,0.257666825748038,0.000172936811256834,0.00587543984683316,0.217383516557329,0.000526162595436939,0.00542955018695565,0,FALSE
"AZ",2011,2572,1172,553.797004991681,0,6983,3272,500.258435466788,0,1301,612,495.115668580804,0,4,6337373,3687779,683708,84864,0.0694605659105375,249536,75228,22481,0.116733285528679,283489,93532,41900,0.276442745926821,232739,947198,88144,34469,286176,1623204,389347,4714169,3004071,174308,189957,133978,15865,21887,1730126,100142,87883,39715,246195,44448,169692,1532190,82981,98930,39949,13109,13797,1857,4970,395,1709,264,36401,3548,"Arizona",4.105812,414.2,0.0262381312525237,0.0959802310806154,0.158205115904187,0.0343006295102103,0.0624136342699217,0.0582834331337325,4,TRUE
"CA",2011,22330,7113,1281.06174470375,2752,18881,7314,788.088381274676,2096,2699,953,924.839738348324,205,6,36969200,15036698,2609643,258369,0.0662767624994482,2245230,572308,181740,0.126806668729916,284208,71977,22150,0.254580696653555,1351221,10424372,652497,199490,3188913,9299332,1969401,27669868,12427055,1672922,212231,677341,163847,20843,7388170,896403,115559,325407,1446209,27591,556200,6287742,858313,107310,147578,96827,33430,2838,41209,2269,1186,102,141382,8187,"California",89.40877,411.2,0.0141793126799314,0.00349378357460497,0.195705971495203,0.0561417793666747,0.00264627676492665,0.0901922367399906,5,TRUE
"CO",2011,2203,914,718.838141025641,0,5254,2311,645.68085106383,0,288,149,525.557312252964,0,8,4966062,3492737,711280,65790,0.0490814831977625,195465,53547,18889,0.127098505829658,47665,12334,3907,0.192184563991927,116816,547304,57922,16174,139624,1212517,212392,3753545,2781457,141918,35331,127704,13274,3325,1880551,86581,20095,27058,116459,5408,140493,1406217,66367,17344,21862,9572,8746,1056,3905,307,487,78,19957,2021,"Colorado",67.05586,314.4,0.0100360192257353,0.000654332105116704,0.0976729068989461,0.0222774534841299,0.0027248267055819,0.0398463152134258,2,TRUE
"CT",2011,2636,806,1128.55426975259,0,2262,764,944.362179487179,0,28,8,1264.18518518519,0,9,3558172,2554513,508683,28972,0.0779813858886626,349308,97374,28174,0.186127470734751,8016,2008,539,0.277777777777778,48899,500161,40664,6061,89720,819792,110875,2738380,2045830,251934,6008,96031,27881,671,1326575,156724,3294,56620,74844,1092,89014,1066227,135375,2741,17877,6065,5216,655,7180,368,35,3,17090,1234,"Connecticut",82.21781,275.7,0.0188816274027584,9.01171324799398e-05,0.239623073501224,0.0416945971309827,0.000583582407356293,0.110352278731576,0,FALSE
"DE",2011,743,269,792.009776536313,80,428,221,548.992736077482,48,1,1,30,0,10,890856,587538,110842,9593,0.100718419861516,188469,53294,16045,0.158255699428024,2854,292,71,0.173809523809524,8712,80209,7685,1652,13909,205150,36876,685706,476696,135175,2562,20454,10698,398,292884,80762,1522,29448,9361,156,25201,248609,73254,1018,6546,3051,2272,342,3653,187,1,0,6202,537,"Delaware",76.57413,566.4,0.128865733246258,0,0.0754136772423766,0.137878516394911,0.00273248521770292,0.0342680523203727,0,FALSE
"FL",2011,12962,5762,688.190405416563,1915,16167,7727,514.876109686329,0,174,73,462.442424242424,18,12,18688787,10928664,1860913,250696,0.0945668647197731,2951415,852901,316967,0.223136836752173,58815,13545,4558,0.25916813425878,288897,3783248,265058,67860,761321,4005375,887043,14683412,9067751,2098514,45270,472999,220131,3826,4925765,1198560,24502,474938,359372,5210,466527,4665962,1115482,22217,100861,33422,44379,4623,47419,2306,93,11,95913,7142,"Florida",12.49154,514.6,0.296862475722392,0.00118329793775586,0.0490324161291572,0.178035120871844,0.000831788870987931,0.0583463552707554,0,FALSE
"GA",2011,6611,3080,567.782197273456,0,5626,2865,480.776567780698,0,23,14,384.952380952381,2,13,9600612,5408243,1182210,151205,0.124871142016466,2922665,852340,299244,0.179123084102721,22674,4971,1249,0.219889953128184,116164,1008099,101748,29941,211778,2478113,588396,7122499,4226033,2070325,17703,205326,207558,1741,2585190,1211314,9944,474015,82402,1326,230666,2173363,1131408,8329,52844,14877,16503,1994,33230,1862,26,3,52027,3917,"Georgia",3.849022,374.6,0.372305100396451,0,0.0049659302351427,0.284152562139358,0.000243385492196453,0.00809763814661948,0,FALSE
"HI",2011,155,78,599.206896551724,20,244,138,431.262443438914,0,112,47,573.801886792453,0,15,1346554,309152,41130,4529,0.0424873199607384,21705,4520,543,0.0451759899434318,3442,472,23,0.0599369085173502,9324,263015,22228,3886,42639,302013,41878,1044541,268022,17185,2970,9903,822,187,172041,13709,1860,884,15748,343,8648,122385,6189,1331,5454,1375,1156,187,232,21,31,3,5304,733,"Hawaii",87.11069,251.4,0.00207086545620571,5.46191336672475e-05,0.315425443036757,0.00838077166350411,0.000822264389626819,0.110025300442758,0,FALSE
"IA",2011,1855,712,691.754963131027,272,7077,2916,591.872640095895,960,313,124,619.33,27,19,3032266,2698685,595147,78899,0.0808156636588862,83340,28642,14602,0.192887569999521,9501,2779,1170,0.214865596247519,21897,140063,17698,4047,31772,724169,125158,2308097,2103538,54698,6722,75310,5084,488,1423620,32318,3438,17920,22014,1499,136221,1081691,26130,3528,9115,4741,5307,562,2266,137,152,8,8378,738,"Iowa",29.53123,257.3,0.00581192501363513,0.000112490176994651,0.0698493080536534,0.00926221422768945,0.000819600789137751,0.0212951143089242,0,FALSE
"ID",2011,98,47,548.791208791209,14,1974,946,452.030059044552,189,218,60,630.223880597015,24,16,1549987,1307090,327922,49556,0.083683588912319,9071,3283,792,0.142823639774859,19205,5839,2183,0.183465670247548,23595,103797,12233,4591,30722,423965,80029,1126022,979168,5788,13366,48482,749,1277,606590,3738,7197,1154,21173,2611,63120,496354,2247,6836,7470,3541,5074,687,183,8,257,65,6854,885,"Idaho",8.784706,202.2,0.00134754475879614,0.00707960492726857,0.0755843853635949,0.0026141041435053,0.00600943481265587,0.0297767494967098,0,FALSE
"IL",2011,11634,2080,1708.89582590082,0,8927,2412,951.506662111377,0,22,5,1070,4,17,12790182,8181447,1678760,174817,0.0817583851045607,1854870,527882,218313,0.181885583414975,24741,5322,1336,0.203440914228306,184462,1832170,133087,30969,442141,3134845,609290,9655337,6502687,1326988,19419,330218,155673,2038,4150118,683891,11001,339216,203343,1594,321458,3359900,725850,9677,48427,31230,12851,1337,26375,1266,49,7,45562,2865,"Illinois",84.30063,424,0.0436510896704775,3.70494303944677e-05,0.164392783272729,0.103570549809904,0.00054369825937185,0.069339386771861,0,FALSE
"IN",2011,6107,2199,672.544926545952,0,11761,4710,536.202924235711,0,145,48,736.510791366906,17,18,6454254,5282226,1197570,188530,0.118224001932662,576766,175591,75590,0.176252815358101,14417,2736,572,0.214084223252065,53148,318165,36827,10445,69266,1604957,338598,4849297,4084656,401175,11681,219226,45501,1181,2538835,218323,6201,111379,52797,899,289125,2105806,214159,5509,27402,18784,14867,1884,10057,535,40,6,26406,2500,"Indiana",10.38423,331.8,0.0350735824288378,0.000174384541828791,0.0435289209842896,0.0579241487860632,0.000437454699850322,0.0216154086984865,0,FALSE
"KS",2011,1949,604,808.799687825182,130,6098,2308,647.480681626455,257,206,90,618.142156862745,7,20,2830985,2225129,498941,59173,0.0747506241990739,162725,48337,19487,0.132707774798928,24074,6902,2578,0.141336707353379,39356,203316,22383,6481,55408,718535,130980,2112450,1726188,114388,17172,63511,12458,1045,1159772,66798,10759,28522,38105,3331,107232,887520,56710,8087,9330,5000,4619,385,2900,199,138,22,8647,680,"Kansas",5.382538,355.7,0.0370760680538641,0.00138586697622198,0.0423771980119046,0.0410815573544799,0.0027901683279182,0.0177230757934541,1,TRUE
"KY",2011,2110,813,670.016,366,8717,3788,566.454788202452,1225,26,12,651.84,6,21,4316043,3738062,831056,193837,0.180486223482593,337648,94923,45294,0.178444844459093,8941,1746,790,0.235622112474112,19927,159918,21286,6059,26663,1021579,274267,3294464,2907006,242725,7195,149018,23984,625,1653567,134214,3579,59752,17692,691,218231,1503363,125682,3339,14001,15598,13651,2139,5036,274,24,5,19091,2454,"Kentucky",62.43007,239.6,0.089531819390877,0,0.00825382198237616,0.0704947601242825,8.55758597082521e-05,0.00714229290641951,0,FALSE
"LA",2011,3964,1845,644.614487249051,364,3813,1748,557.370191014259,218,43,14,810.325581395349,5,22,4484596,2724419,587706,84227,0.144581688969204,1428939,422408,192051,0.256046341084008,26774,7383,2523,0.338139418254764,13807,183617,14663,3476,37177,1111323,303178,3373273,2136713,1006531,19391,77843,83318,1326,1296600,550426,10809,256835,18423,2963,134919,1098196,541474,9287,18844,16414,10902,1198,26250,1179,11,2,37326,2384,"Louisiana",28.25478,554.6,0.370303584391584,0.0006063611645974,0.0179567112163252,0.319175726306738,0.00117314661261593,0.010754867637123,0,FALSE
"MA",2011,3246,1143,844.878351206434,0,6466,2499,743.831444061114,0,112,42,756.894230769231,7,25,6512227,5007267,971731,76199,0.0822773500433317,433006,120952,34795,0.180713383209308,12944,2645,696,0.228650469088285,80400,1012437,74006,14475,197551,1422255,207457,5089972,4035536,312054,10299,200564,32652,1393,2621517,193973,5616,66339,114446,1441,185970,2115682,164296,5187,11467,3013,4448,558,3162,120,76,3,10832,791,"Massachusetts",91.6323,427.3,0.0116627722875016,3.74868585916936e-05,0.253468849025441,0.0217076363184408,0.000551526991808659,0.113187321093577,0,FALSE
"MD",2011,5817,1726,1335.15394471902,0,2243,838,783.491391344812,0,9,2,1367.71428571429,1,24,5736545,3166865,640692,43886,0.0854001938755579,1688000,444195,92820,0.134169096097634,16557,3715,449,0.216373710355369,23703,832342,75558,10144,132216,1355010,174574,4381535,2526173,1243805,12842,96080,100218,1002,1674550,816477,8237,225999,43831,884,115654,1306941,684726,6310,23001,9865,5612,411,15863,562,5,2,21576,982,"Maryland",86.79333,493.5,0.170567315737493,0,0.0590080714604611,0.16765104133084,0.000593203946095815,0.0331871816364691,0,FALSE
