"stname","year","cl.blk","ent.blk","lifelos.blk","grp.inst.blk","cl.white","ent.white","lifelos.white","grp.inst.white","cl.nat.am","ent.nat.am","lifelos.nat.am","grp.inst.nat.am","state","tot","wht","wht.child","wht.child.pov","wht.lessHS","blk","blk.child","blk.child.pov","blk.lessHS","amind","amind.child","amind.child.pov","amind.lessHS","latino.child.pov","foreign","foreign.child","foreign.child.pov","foreign.lessHS","child","child.pov","adult","w.adult","b.adult","a.adult","wht.unemp","blk.unemp","amind.unemp","wht.emp","blk.emp","amind.emp","blk.singpar","latino.singpar","amind.singpar","wht.singpar","wht.f","blk.f","amind.f","incartot","new.incar","WHITEM","WHITEF","BLACKM","BLACKF","AIANM","AIANF","TOTRACEM","TOTRACEF","statename","inst6014_nom","v.crime.rt","pctblk1930","pctami1930","pctimm1930","pctblk1960","pctami1960","pctimm1960","boarding.n","board"
"HI",2014,157,78,451.680272108844,0,309,186,377.82332155477,0,93,42,534,12,15,1392704,318740,41601,5667,0.0339667726344196,26546,5434,621,0.0352244188292871,3155,433,57,0.121929824561404,9928,273013,21818,4320,46012,306369,49421,1086335,277139,21112,2722,9796,1423,121,175267,16101,1518,957,15710,327,8334,123805,7762,1181,5390,1883,1178,199,248,27,29,3,5198,668,"Hawaii",84.90182,259.2,0.00207086545620571,5.46191336672475e-05,0.315425443036757,0.00838077166350411,0.000822264389626819,0.110025300442758,0,FALSE
"IA",2014,1639,616,664.054838709677,275,6420,2484,584.180592105263,789,296,122,595.708185053381,18,19,3078116,2702199,582566,80272,0.068951512481082,95894,33102,15724,0.159603977296974,9096,2158,669,0.179064824654623,22785,159407,19153,5202,35290,724773,128476,2353343,2119633,62792,6938,72550,5734,462,1407652,36183,3879,20732,25607,763,135155,1086853,29884,3483,8845,5471,5160,562,2134,138,145,18,8086,752,"Iowa",34.38456,273.5,0.00581192501363513,0.000112490176994651,0.0698493080536534,0.00926221422768945,0.000819600789137751,0.0212951143089242,0,FALSE
"ID",2014,85,35,604.646341463415,7,1717,796,450.49695863747,113,207,80,588.121212121212,14,16,1599464,1333699,326517,54918,0.0733778284976542,8733,2923,588,0.192041522491349,20389,6002,2321,0.17631156543043,25612,108725,10734,4172,33334,428138,87480,1171326,1007182,5810,14387,47496,609,1620,604167,3310,7025,1149,21565,2998,68003,510013,2151,7503,7497,4611,5319,817,211,18,264,65,7080,1037,"Idaho",8.784706,212.2,0.00134754475879614,0.00707960492726857,0.0755843853635949,0.0026141041435053,0.00600943481265587,0.0297767494967098,0,FALSE
"IL",2014,11537,2468,1438.47418806478,0,8771,2213,953.150335105154,0,37,9,1173.5,3,17,12868747,8088505,1600940,186977,0.0705462979277845,1851573,494628,221420,0.162537131537428,27545,6697,1653,0.197202242736592,204519,1868812,119210,31075,447623,3054401,647591,9814346,6487565,1356945,20848,340789,178907,2260,4087095,665966,11118,321116,219976,1893,317838,3344626,739269,10823,48278,29742,12641,1391,26765,1250,50,17,45390,2888,"Illinois",83.17535,370,0.0436510896704775,3.70494303944677e-05,0.164392783272729,0.103570549809904,0.00054369825937185,0.069339386771861,0,FALSE
"IN",2014,6326,2494,699.716543209877,0,13239,5816,527.065688274996,0,102,28,726.510416666667,8,18,6542411,5287380,1162826,200480,0.1079923942314,595730,172788,78337,0.156614242840193,15092,3052,687,0.252623617282783,61840,342852,37947,11444,74120,1590962,367666,4951449,4124554,422942,12040,212308,48909,879,2518919,223616,6009,113091,57816,1156,297894,2123516,224534,5950,28073,17439,15657,2309,9284,465,54,9,26396,2875,"Indiana",10.24458,365.3,0.0350735824288378,0.000174384541828791,0.0435289209842896,0.0579241487860632,0.000437454699850322,0.0216154086984865,0,FALSE
"KS",2014,1872,612,812.636314067612,136,6739,2667,613.715224701926,0,267,102,639.365758754864,13,20,2882946,2232073,492208,64996,0.0687480875842966,165884,47626,18555,0.13263900661129,24389,7142,2354,0.122930920326639,42683,217291,22968,6988,59534,724474,140473,2158472,1739865,118258,17247,64914,11706,1744,1137897,67117,9993,25068,43894,3178,108301,891117,57602,8548,9644,5732,4960,541,2791,146,138,21,8881,782,"Kansas",5.382538,348.6,0.0370760680538641,0.00138586697622198,0.0423771980119046,0.0410815573544799,0.0027901683279182,0.0177230757934541,1,TRUE
"KY",2014,2294,1058,574.227272727273,0,9301,4218,557.365086652129,0,19,11,354.611111111111,4,21,4383272,3759466,816010,195042,0.162701289287009,348206,92385,44267,0.157762751983858,8822,1848,839,0.232683254875588,23307,174333,23829,8703,31081,1017272,280045,3366000,2943456,255821,6974,154869,25440,691,1638536,138016,3382,57375,21231,560,216028,1519784,131021,3513,12114,18502,13904,2303,4701,232,15,2,19084,2573,"Kentucky",62.28866,211.6,0.089531819390877,0,0.00825382198237616,0.0704947601242825,8.55758597082521e-05,0.00714229290641951,0,FALSE
"LA",2014,3756,1954,534.394024015638,0,3812,1913,484.001620307859,0,33,11,487.41935483871,4,22,4601049,2748849,580919,87608,0.130750369601543,1476584,420256,201433,0.236996846194295,28458,7105,1854,0.343774603531661,18711,200903,14893,3912,40666,1115068,320702,3485981,2167930,1056328,21353,85866,90820,1355,1289482,562839,11592,269940,23443,2591,143609,1112558,567973,10561,18710,16458,10969,1099,24812,971,19,4,35955,2075,"Louisiana",14.02937,514.7,0.370303584391584,0.0006063611645974,0.0179567112163252,0.319175726306738,0.00117314661261593,0.010754867637123,0,FALSE
"MA",2014,3438,1572,678.150830981499,0,6818,2899,660.920868890613,0,217,69,753.88995215311,9,25,6657291,4991630,920955,81487,0.0732794892602176,467430,123518,38899,0.180033056400655,14598,3327,1262,0.232536973833902,88131,1078247,74412,17940,201664,1402080,226835,5255211,4070675,343912,11271,210474,36705,1775,2621501,210418,5628,68881,120522,1853,184324,2127952,181390,5601,10447,2565,4252,497,2898,95,63,2,9985,728,"Massachusetts",91.44836,391.4,0.0116627722875016,3.74868585916936e-05,0.253468849025441,0.0217076363184408,0.000551526991808659,0.113187321093577,0,FALSE
"MD",2014,3964,1258,1156.63433242507,0,1892,609,785.390216787104,0,5,2,532.2,0,24,5887776,3150839,609350,47039,0.0753851156636503,1740466,435301,101321,0.118222682471969,16698,3532,542,0.225099786503295,28347,901371,74953,12310,147938,1348767,194117,4539009,2541489,1305165,13166,105327,114783,1003,1655925,823550,8355,229433,54545,1077,112012,1312173,715198,6896,21266,9259,5419,442,14463,460,50,4,20100,911,"Maryland",85.86098,446.1,0.170567315737493,0,0.0590080714604611,0.16765104133084,0.000593203946095815,0.0331871816364691,0,FALSE
